entry,at,order
"""arash @ --uhQWY45j"" posts a big blind of 20",2023-03-03T03:01:16.690Z,167781247669009
"""greror @ WJ-HPcQ09S"" posts a small blind of 10",2023-03-03T03:01:16.690Z,167781247669008
"Your hand is 6♦, 2♦",2023-03-03T03:01:16.690Z,167781247669007
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (780) | #2 ""dave @ Lcv4T4FOBq"" (4936) | #7 ""Stevo @ 5Ep7Sc0sJg"" (2484) | #8 ""Jonah @ axh4B_jN0P"" (928) | #9 ""greror @ WJ-HPcQ09S"" (2674) | #10 ""arash @ --uhQWY45j"" (198)",2023-03-03T03:01:16.690Z,167781247669001
"-- starting hand #124 (id: vfza6bcwdt6y)  (No Limit Texas Hold'em) (dealer: ""Jonah @ axh4B_jN0P"") --",2023-03-03T03:01:16.690Z,167781247669000
"""greror @ WJ-HPcQ09S"" shows a 7♣, K♦.",2023-03-03T03:01:15.286Z,167781247528600
"""dave @ Lcv4T4FOBq"" shows a J♣, 5♠.",2023-03-03T03:01:10.574Z,167781247057400
"""Jonah @ axh4B_jN0P"" shows a 9♠, J♠.",2023-03-03T03:01:09.852Z,167781246985200
"-- ending hand #123 --",2023-03-03T03:01:09.173Z,167781246917301
"""Stevo @ 5Ep7Sc0sJg"" collected 2484 from pot with Two Pair, Q's & 6's (combination: Q♥, Q♣, 6♣, 6♦, A♣)",2023-03-03T03:01:09.173Z,167781246917300
"River: Q♥, 8♥, Q♣, 6♦ [10♣]",2023-03-03T03:01:05.165Z,167781246516500
"""arash @ --uhQWY45j"" shows a K♠, 6♥.",2023-03-03T03:01:01.071Z,167781246107101
"""Stevo @ 5Ep7Sc0sJg"" shows a 6♣, A♣.",2023-03-03T03:01:01.071Z,167781246107100
"""Stevo @ 5Ep7Sc0sJg"" calls 462 and go all in",2023-03-03T03:01:00.215Z,167781246021500
"""arash @ --uhQWY45j"" bets 462",2023-03-03T03:00:56.045Z,167781245604500
"Turn: Q♥, 8♥, Q♣ [6♦]",2023-03-03T03:00:52.803Z,167781245280300
"""Stevo @ 5Ep7Sc0sJg"" calls 300",2023-03-03T03:00:51.975Z,167781245197500
"""dave @ Lcv4T4FOBq"" folds",2023-03-03T03:00:48.086Z,167781244808600
"""arash @ --uhQWY45j"" bets 300",2023-03-03T03:00:44.519Z,167781244451900
"Flop:  [Q♥, 8♥, Q♣]",2023-03-03T03:00:40.152Z,167781244015200
"""peelic @ c2JqQCu6sT"" folds",2023-03-03T03:00:39.287Z,167781243928700
