entry,at,order
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2022-03-25T02:00:38.983Z,164817363898309
"Dead Small Blind",2022-03-25T02:00:38.983Z,164817363898308
"Your hand is 3♣, K♠",2022-03-25T02:00:38.983Z,164817363898303
"Player stacks: #1 ""arash @ huBdniBdCU"" (1470) | #2 ""Jonah @ 333XEf7vEI"" (4470) | #6 ""Stevo @ 5Ep7Sc0sJg"" (3870) | #7 ""peelic @ c2JqQCu6sT"" (4170) | #10 ""annie @ QtThvm1cyo"" (3020)",2022-03-25T02:00:38.983Z,164817363898302
"-- starting hand #111  (No Limit Texas Hold'em) (dealer: ""Jonah @ 333XEf7vEI"") --",2022-03-25T02:00:38.983Z,164817363898301
"The player ""Spenny @ nR6Yv41Maz"" quits the game with a stack of 0.",2022-03-25T02:00:38.983Z,164817363898300
"-- ending hand #110 --",2022-03-25T02:00:32.970Z,164817363297001
"""Stevo @ 5Ep7Sc0sJg"" collected 1890 from pot with Three of a Kind, J's (combination: J♣, J♥, J♦, A♥, K♠)",2022-03-25T02:00:32.970Z,164817363297000
"River: 5♦, A♥, K♠, 7♣ [J♦]",2022-03-25T02:00:28.912Z,164817362891200
"Turn: 5♦, A♥, K♠ [7♣]",2022-03-25T02:00:24.773Z,164817362477300
"Flop:  [5♦, A♥, K♠]",2022-03-25T02:00:20.714Z,164817362071400
"""Stevo @ 5Ep7Sc0sJg"" shows a J♣, J♥.",2022-03-25T02:00:16.699Z,164817361669902
"""Spenny @ nR6Yv41Maz"" shows a 9♠, J♠.",2022-03-25T02:00:16.699Z,164817361669901
"Uncalled bet of 60 returned to ""Stevo @ 5Ep7Sc0sJg""",2022-03-25T02:00:16.699Z,164817361669900
"""Spenny @ nR6Yv41Maz"" calls 940 and go all in",2022-03-25T02:00:15.785Z,164817361578500
"""Jonah @ 333XEf7vEI"" folds",2022-03-25T02:00:14.409Z,164817361440900
"""arash @ huBdniBdCU"" folds",2022-03-25T02:00:13.430Z,164817361343000
"""annie @ QtThvm1cyo"" folds",2022-03-25T02:00:12.425Z,164817361242500
"""peelic @ c2JqQCu6sT"" folds",2022-03-25T02:00:11.323Z,164817361132300
"""Stevo @ 5Ep7Sc0sJg"" raises to 1000",2022-03-25T02:00:10.196Z,164817361019600
"""Spenny @ nR6Yv41Maz"" posts a big blind of 20",2022-03-25T02:00:07.084Z,164817360708409
"""Jonah @ 333XEf7vEI"" posts a small blind of 10",2022-03-25T02:00:07.084Z,164817360708408
"Your hand is 9♣, 2♥",2022-03-25T02:00:07.084Z,164817360708402
"Player stacks: #1 ""arash @ huBdniBdCU"" (1470) | #2 ""Jonah @ 333XEf7vEI"" (4480) | #5 ""Spenny @ nR6Yv41Maz"" (940) | #6 ""Stevo @ 5Ep7Sc0sJg"" (2920) | #7 ""peelic @ c2JqQCu6sT"" (4170) | #10 ""annie @ QtThvm1cyo"" (3020)",2022-03-25T02:00:07.084Z,164817360708401
