entry,at,order
"The player ""arash @ huBdniBdCU"" quits the game with a stack of 0.",2022-09-02T01:30:15.739Z,166208221573900
"-- ending hand #90 --",2022-09-02T01:30:09.735Z,166208220973501
"""gegreeger @ WJ-HPcQ09S"" collected 15200 from pot with Two Pair, Q's & 10's (combination: Q♣, Q♠, 10♦, 10♠, J♠)",2022-09-02T01:30:09.735Z,166208220973500
"River: 7♥, 6♣, 10♠, Q♠ [J♠]",2022-09-02T01:30:05.642Z,166208220564200
"""arash @ huBdniBdCU"" shows a J♥, 9♥.",2022-09-02T01:30:01.597Z,166208220159701
"""gegreeger @ WJ-HPcQ09S"" shows a 10♦, Q♣.",2022-09-02T01:30:01.597Z,166208220159700
"""arash @ huBdniBdCU"" calls 5040 and go all in",2022-09-02T01:30:00.685Z,166208220068500
"""gegreeger @ WJ-HPcQ09S"" raises to 5040",2022-09-02T01:29:59.256Z,166208219925600
"""arash @ huBdniBdCU"" bets 4000",2022-09-02T01:29:55.702Z,166208219570200
"Turn: 7♥, 6♣, 10♠ [Q♠]",2022-09-02T01:29:51.183Z,166208219118300
"""arash @ huBdniBdCU"" calls 1280",2022-09-02T01:29:50.298Z,166208219029800
"""gegreeger @ WJ-HPcQ09S"" raises to 1280",2022-09-02T01:29:48.491Z,166208218849100
"""arash @ huBdniBdCU"" bets 640",2022-09-02T01:29:46.603Z,166208218660300
"Flop:  [7♥, 6♣, 10♠]",2022-09-02T01:29:44.275Z,166208218427500
"""gegreeger @ WJ-HPcQ09S"" calls 1280",2022-09-02T01:29:43.463Z,166208218346300
"""arash @ huBdniBdCU"" raises to 1280",2022-09-02T01:29:42.406Z,166208218240600
"""gegreeger @ WJ-HPcQ09S"" calls 640",2022-09-02T01:29:39.000Z,166208217900000
"""arash @ huBdniBdCU"" posts a big blind of 640",2022-09-02T01:29:36.571Z,166208217657105
"""gegreeger @ WJ-HPcQ09S"" posts a small blind of 320",2022-09-02T01:29:36.571Z,166208217657104
"Player stacks: #3 ""gegreeger @ WJ-HPcQ09S"" (17400) | #4 ""arash @ huBdniBdCU"" (7600)",2022-09-02T01:29:36.571Z,166208217657101
"-- starting hand #90  (No Limit Texas Hold'em) (dealer: ""gegreeger @ WJ-HPcQ09S"") --",2022-09-02T01:29:36.571Z,166208217657100
"-- ending hand #89 --",2022-09-02T01:29:30.569Z,166208217056902
"""gegreeger @ WJ-HPcQ09S"" collected 1280 from pot",2022-09-02T01:29:30.569Z,166208217056901
"Uncalled bet of 640 returned to ""gegreeger @ WJ-HPcQ09S""",2022-09-02T01:29:30.569Z,166208217056900
"""arash @ huBdniBdCU"" folds",2022-09-02T01:29:29.681Z,166208216968100
"""gegreeger @ WJ-HPcQ09S"" bets 640",2022-09-02T01:29:28.250Z,166208216825000
"Flop:  [A♠, J♣, 2♦]",2022-09-02T01:29:24.454Z,166208216445400
"""gegreeger @ WJ-HPcQ09S"" checks",2022-09-02T01:29:23.577Z,166208216357700
"""arash @ huBdniBdCU"" calls 640",2022-09-02T01:29:20.592Z,166208216059200
"""gegreeger @ WJ-HPcQ09S"" posts a big blind of 640",2022-09-02T01:29:19.256Z,166208215925605
"""arash @ huBdniBdCU"" posts a small blind of 320",2022-09-02T01:29:19.256Z,166208215925604
"Player stacks: #3 ""gegreeger @ WJ-HPcQ09S"" (16760) | #4 ""arash @ huBdniBdCU"" (8240)",2022-09-02T01:29:19.256Z,166208215925601
"-- starting hand #89  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2022-09-02T01:29:19.256Z,166208215925600
"""gegreeger @ WJ-HPcQ09S"" shows a 4♠, 6♣.",2022-09-02T01:29:17.244Z,166208215724400
"-- ending hand #88 --",2022-09-02T01:29:12.647Z,166208215264702
"""arash @ huBdniBdCU"" collected 640 from pot",2022-09-02T01:29:12.647Z,166208215264701
