entry,at,order
"""arash @ --uhQWY45j"" posts a big blind of 20",2023-05-12T02:00:50.098Z,168385685009808
"""Jonah @ axh4B_jN0P"" posts a small blind of 10",2023-05-12T02:00:50.098Z,168385685009807
"Your hand is 9♦, 4♦",2023-05-12T02:00:50.098Z,168385685009805
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (640) | #3 ""Jonah @ axh4B_jN0P"" (2000) | #6 ""arash @ --uhQWY45j"" (3366) | #7 ""Stevo @ kI2bCqDOyl"" (2994)",2023-05-12T02:00:50.098Z,168385685009802
"-- starting hand #88 (id: y1hd0wqkftbr)  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2023-05-12T02:00:50.098Z,168385685009801
"The player ""goeegee @ WJ-HPcQ09S"" quits the game with a stack of 0.",2023-05-12T02:00:50.098Z,168385685009800
"-- ending hand #87 --",2023-05-12T02:00:44.059Z,168385684405901
"""Stevo @ kI2bCqDOyl"" collected 2768 from pot with Full House, 3's over Q's (combination: 3♣, 3♠, 3♦, Q♠, Q♦)",2023-05-12T02:00:44.059Z,168385684405900
"River: Q♠, 4♠, 2♦, 3♦ [Q♦]",2023-05-12T02:00:40.049Z,168385684004900
"""goeegee @ WJ-HPcQ09S"" shows a K♥, K♦.",2023-05-12T02:00:36.007Z,168385683600701
"""Stevo @ kI2bCqDOyl"" shows a 3♣, 3♠.",2023-05-12T02:00:36.007Z,168385683600700
"""goeegee @ WJ-HPcQ09S"" calls 1044 and go all in",2023-05-12T02:00:35.149Z,168385683514900
"""Stevo @ kI2bCqDOyl"" bets 1044",2023-05-12T02:00:34.064Z,168385683406400
"Turn: Q♠, 4♠, 2♦ [3♦]",2023-05-12T02:00:31.227Z,168385683122700
"""arash @ --uhQWY45j"" folds",2023-05-12T02:00:30.405Z,168385683040500
"""peelic @ c2JqQCu6sT"" folds",2023-05-12T02:00:29.478Z,168385682947800
"""goeegee @ WJ-HPcQ09S"" calls 200",2023-05-12T02:00:28.595Z,168385682859500
"""Stevo @ kI2bCqDOyl"" raises to 200",2023-05-12T02:00:20.312Z,168385682031200
"""arash @ --uhQWY45j"" bets 20",2023-05-12T02:00:16.958Z,168385681695800
"""peelic @ c2JqQCu6sT"" checks",2023-05-12T02:00:14.615Z,168385681461500
"Flop:  [Q♠, 4♠, 2♦]",2023-05-12T02:00:12.572Z,168385681257200
