entry,at,order
"""arash @ --uhQWY45j"" posts a big blind of 20",2022-12-02T03:01:17.460Z,166995007746007
"""geoge @ WJ-HPcQ09S"" posts a small blind of 10",2022-12-02T03:01:17.460Z,166995007746006
"Your hand is 4♥, 9♦",2022-12-02T03:01:17.460Z,166995007746002
"Player stacks: #1 ""arash @ --uhQWY45j"" (4060) | #5 ""Spenny @ cu8vqwqurV"" (2850) | #8 ""Stevo @ 5Ep7Sc0sJg"" (1090) | #9 ""geoge @ WJ-HPcQ09S"" (2000)",2022-12-02T03:01:17.460Z,166995007746001
"-- starting hand #98 (id: h5g3wfdp9ucz)  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2022-12-02T03:01:17.460Z,166995007746000
"""Spenny @ cu8vqwqurV"" shows a A♥, 6♣.",2022-12-02T03:01:14.234Z,166995007423400
"""Stevo @ 5Ep7Sc0sJg"" shows a 8♦, 10♥.",2022-12-02T03:01:14.085Z,166995007408500
"-- ending hand #97 --",2022-12-02T03:01:13.058Z,166995007305802
"""Spenny @ cu8vqwqurV"" collected 140 from pot",2022-12-02T03:01:13.058Z,166995007305801
"Uncalled bet of 60 returned to ""Spenny @ cu8vqwqurV""",2022-12-02T03:01:13.058Z,166995007305800
"""arash @ --uhQWY45j"" folds",2022-12-02T03:01:12.191Z,166995007219100
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-12-02T03:01:11.070Z,166995007107000
"""Spenny @ cu8vqwqurV"" bets 60",2022-12-02T03:01:10.100Z,166995007010000
"""arash @ --uhQWY45j"" checks",2022-12-02T03:01:05.623Z,166995006562300
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-12-02T03:01:04.406Z,166995006440600
"River: 2♣, 7♣, 2♦, 6♠ [3♠]",2022-12-02T03:01:02.264Z,166995006226400
"""arash @ --uhQWY45j"" calls 20",2022-12-02T03:01:01.440Z,166995006144000
"""geoge @ WJ-HPcQ09S"" folds",2022-12-02T03:01:00.503Z,166995006050300
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-12-02T03:00:59.606Z,166995005960600
"""Spenny @ cu8vqwqurV"" bets 20",2022-12-02T03:00:53.677Z,166995005367700
"""arash @ --uhQWY45j"" checks",2022-12-02T03:00:52.171Z,166995005217100
"""geoge @ WJ-HPcQ09S"" checks",2022-12-02T03:00:51.084Z,166995005108400
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-12-02T03:00:50.136Z,166995005013600
"Turn: 2♣, 7♣, 2♦ [6♠]",2022-12-02T03:00:47.950Z,166995004795000
"""Spenny @ cu8vqwqurV"" checks",2022-12-02T03:00:47.104Z,166995004710400
