entry,at,order
"""arash @ --uhQWY45j"" posts a big blind of 20",2023-03-10T03:02:40.162Z,167841736016209
"""Jonah @ axh4B_jN0P"" posts a small blind of 10",2023-03-10T03:02:40.162Z,167841736016208
"Your hand is 3♦, J♣",2023-03-10T03:02:40.162Z,167841736016207
"Player stacks: #1 ""Spenny @ cu8vqwqurV"" (2254) | #2 ""gororge @ WJ-HPcQ09S"" (6065) | #5 ""Stevo @ 5Ep7Sc0sJg"" (1704) | #6 ""Sam @ Dq9eCR5R7G"" (1489) | #8 ""Jonah @ axh4B_jN0P"" (670) | #10 ""arash @ --uhQWY45j"" (1818)",2023-03-10T03:02:40.162Z,167841736016201
"-- starting hand #86 (id: pwrsukcs0izd)  (No Limit Texas Hold'em) (dealer: ""Sam @ Dq9eCR5R7G"") --",2023-03-10T03:02:40.162Z,167841736016200
"""Stevo @ 5Ep7Sc0sJg"" shows a Q♠, J♦.",2023-03-10T03:02:35.724Z,167841735572400
"-- ending hand #85 --",2023-03-10T03:02:33.606Z,167841735360602
"""gororge @ WJ-HPcQ09S"" collected 1320 from pot with Full House, K's over 5's (combination: K♠, K♦, K♣, 5♥, 5♠)",2023-03-10T03:02:33.606Z,167841735360601
"""gororge @ WJ-HPcQ09S"" shows a K♠, 5♥.",2023-03-10T03:02:33.606Z,167841735360600
"""Jonah @ axh4B_jN0P"" calls 430",2023-03-10T03:02:32.776Z,167841735277600
"""Stevo @ 5Ep7Sc0sJg"" folds",2023-03-10T03:02:12.673Z,167841733267300
"""gororge @ WJ-HPcQ09S"" raises to 430",2023-03-10T03:02:01.813Z,167841732181300
"""Jonah @ axh4B_jN0P"" bets 100",2023-03-10T03:01:47.037Z,167841730703700
"River: K♦, 9♦, K♣, J♥ [5♠]",2023-03-10T03:01:38.332Z,167841729833200
"""Stevo @ 5Ep7Sc0sJg"" calls 90",2023-03-10T03:01:37.492Z,167841729749200
"""gororge @ WJ-HPcQ09S"" calls 90",2023-03-10T03:01:36.532Z,167841729653200
"""Spenny @ cu8vqwqurV"" folds",2023-03-10T03:01:33.238Z,167841729323800
"""Jonah @ axh4B_jN0P"" bets 90",2023-03-10T03:01:29.111Z,167841728911100
"Turn: K♦, 9♦, K♣ [J♥]",2023-03-10T03:01:21.795Z,167841728179500
"""Spenny @ cu8vqwqurV"" calls 20",2023-03-10T03:01:20.972Z,167841728097200
"""arash @ --uhQWY45j"" folds",2023-03-10T03:01:16.889Z,167841727688900
"""Jonah @ axh4B_jN0P"" calls 20",2023-03-10T03:01:15.975Z,167841727597500
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2023-03-10T03:01:15.071Z,167841727507100
"""gororge @ WJ-HPcQ09S"" bets 20",2023-03-10T03:01:13.998Z,167841727399800
"""Spenny @ cu8vqwqurV"" checks",2023-03-10T03:01:12.585Z,167841727258500
"""arash @ --uhQWY45j"" checks",2023-03-10T03:01:11.693Z,167841727169300
"""Jonah @ axh4B_jN0P"" checks",2023-03-10T03:01:10.632Z,167841727063200
"Flop:  [K♦, 9♦, K♣]",2023-03-10T03:01:08.460Z,167841726846000
"""Jonah @ axh4B_jN0P"" checks",2023-03-10T03:01:07.604Z,167841726760400
"""Sam @ Dq9eCR5R7G"" folds",2023-03-10T03:01:05.694Z,167841726569400
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2023-03-10T03:01:04.859Z,167841726485900
"""gororge @ WJ-HPcQ09S"" calls 20",2023-03-10T03:01:03.931Z,167841726393100
"""Spenny @ cu8vqwqurV"" calls 20",2023-03-10T03:01:02.974Z,167841726297400
"""arash @ --uhQWY45j"" calls 20",2023-03-10T03:00:55.129Z,167841725512900
"""Jonah @ axh4B_jN0P"" posts a big blind of 20",2023-03-10T03:00:53.448Z,167841725344809
"""Sam @ Dq9eCR5R7G"" posts a small blind of 10",2023-03-10T03:00:53.448Z,167841725344808
"Your hand is 6♣, 7♠",2023-03-10T03:00:53.448Z,167841725344807
"Player stacks: #1 ""Spenny @ cu8vqwqurV"" (2294) | #2 ""gororge @ WJ-HPcQ09S"" (5305) | #5 ""Stevo @ 5Ep7Sc0sJg"" (1834) | #6 ""Sam @ Dq9eCR5R7G"" (1499) | #8 ""Jonah @ axh4B_jN0P"" (1230) | #10 ""arash @ --uhQWY45j"" (1838)",2023-03-10T03:00:53.448Z,167841725344801
"-- starting hand #85 (id: gjjj6hxq9fbe)  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2023-03-10T03:00:53.448Z,167841725344800
"""Stevo @ 5Ep7Sc0sJg"" shows a 2♣, 8♣.",2023-03-10T03:00:48.216Z,167841724821600
"-- ending hand #84 --",2023-03-10T03:00:46.888Z,167841724688804
"""arash @ --uhQWY45j"" collected 330 from pot with Pair, J's (combination: J♠, J♣, A♣, K♠, 10♥)",2023-03-10T03:00:46.888Z,167841724688803
"""arash @ --uhQWY45j"" shows a 10♥, A♣.",2023-03-10T03:00:46.888Z,167841724688802
"""Jonah @ axh4B_jN0P"" collected 330 from pot with Pair, J's (combination: J♠, J♣, A♥, K♠, 10♣)",2023-03-10T03:00:46.888Z,167841724688801
"""Jonah @ axh4B_jN0P"" shows a 10♣, A♥.",2023-03-10T03:00:46.888Z,167841724688800
"""arash @ --uhQWY45j"" checks",2023-03-10T03:00:46.078Z,167841724607800
