entry,at,order
"""gorgere @ G4RdqDSm6Z"" posts a big blind of 20",2022-08-05T02:00:53.906Z,165966485390607
"""Stevo @ 5Ep7Sc0sJg"" posts a small blind of 10",2022-08-05T02:00:53.906Z,165966485390606
"Your hand is 7♠, 8♠",2022-08-05T02:00:53.906Z,165966485390605
"Player stacks: #1 ""Spenny @ nR6Yv41Maz"" (1590) | #2 ""Stevo @ 5Ep7Sc0sJg"" (900) | #8 ""gorgere @ G4RdqDSm6Z"" (2870) | #10 ""arash @ huBdniBdCU"" (1830)",2022-08-05T02:00:53.906Z,165966485390601
"-- starting hand #117  (No Limit Texas Hold'em) (dealer: ""Spenny @ nR6Yv41Maz"") --",2022-08-05T02:00:53.906Z,165966485390600
"""gorgere @ G4RdqDSm6Z"" shows a A♣, A♠.",2022-08-05T02:00:48.239Z,165966484823900
"-- ending hand #116 --",2022-08-05T02:00:47.312Z,165966484731202
"""Spenny @ nR6Yv41Maz"" collected 560 from pot with Flush, Qs High (combination: Q♠, 7♠, 6♠, 5♠, 4♠)",2022-08-05T02:00:47.312Z,165966484731201
"""Spenny @ nR6Yv41Maz"" shows a 5♠, Q♠.",2022-08-05T02:00:47.312Z,165966484731200
"""gorgere @ G4RdqDSm6Z"" calls 100",2022-08-05T02:00:46.499Z,165966484649900
"""Spenny @ nR6Yv41Maz"" bets 100",2022-08-05T02:00:41.890Z,165966484189000
"River: 7♥, 7♠, 4♠, 6♠ [K♣]",2022-08-05T02:00:34.491Z,165966483449100
"""gorgere @ G4RdqDSm6Z"" calls 100",2022-08-05T02:00:33.622Z,165966483362200
"""Spenny @ nR6Yv41Maz"" bets 100",2022-08-05T02:00:32.663Z,165966483266300
"Turn: 7♥, 7♠, 4♠ [6♠]",2022-08-05T02:00:27.789Z,165966482778900
"""Spenny @ nR6Yv41Maz"" calls 40",2022-08-05T02:00:26.968Z,165966482696800
"""arash @ huBdniBdCU"" folds",2022-08-05T02:00:25.442Z,165966482544200
"""gorgere @ G4RdqDSm6Z"" raises to 40",2022-08-05T02:00:23.556Z,165966482355600
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-08-05T02:00:19.138Z,165966481913800
"""Spenny @ nR6Yv41Maz"" bets 20",2022-08-05T02:00:18.012Z,165966481801200
"Flop:  [7♥, 7♠, 4♠]",2022-08-05T02:00:13.889Z,165966481388900
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-08-05T02:00:13.057Z,165966481305700
"""Spenny @ nR6Yv41Maz"" calls 20",2022-08-05T02:00:12.140Z,165966481214000
"""arash @ huBdniBdCU"" calls 20",2022-08-05T02:00:11.248Z,165966481124800
"""gorgere @ G4RdqDSm6Z"" calls 20",2022-08-05T02:00:10.040Z,165966481004000
