entry,at,order
"""Spenny @ nR6Yv41Maz"" posts a big blind of 20",2022-09-09T02:00:55.239Z,166268885523908
"""peelic @ c2JqQCu6sT"" posts a small blind of 10",2022-09-09T02:00:55.239Z,166268885523907
"Your hand is J♣, 3♠",2022-09-09T02:00:55.239Z,166268885523906
"Player stacks: #1 ""gegreeger @ WJ-HPcQ09S"" (1390) | #5 ""Jonah @ KdrqU8EIQ1"" (3220) | #6 ""peelic @ c2JqQCu6sT"" (1520) | #8 ""Spenny @ nR6Yv41Maz"" (1420) | #9 ""arash @ --uhQWY45j"" (1450)",2022-09-09T02:00:55.239Z,166268885523901
"-- starting hand #90  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2022-09-09T02:00:55.239Z,166268885523900
"""gegreeger @ WJ-HPcQ09S"" shows a 6♥, 2♥.",2022-09-09T02:00:52.552Z,166268885255200
"Undealt cards: K♣, 3♣, 8♦, 3♦ [3♥]",2022-09-09T02:00:49.742Z,166268884974200
"-- ending hand #89 --",2022-09-09T02:00:48.537Z,166268884853702
"""Jonah @ KdrqU8EIQ1"" collected 220 from pot",2022-09-09T02:00:48.537Z,166268884853701
"Uncalled bet of 120 returned to ""Jonah @ KdrqU8EIQ1""",2022-09-09T02:00:48.537Z,166268884853700
"""peelic @ c2JqQCu6sT"" folds",2022-09-09T02:00:47.689Z,166268884768900
"""Jonah @ KdrqU8EIQ1"" bets 120",2022-09-09T02:00:44.035Z,166268884403500
"Turn: K♣, 3♣, 8♦ [3♦]",2022-09-09T02:00:39.635Z,166268883963500
"""gegreeger @ WJ-HPcQ09S"" folds",2022-09-09T02:00:38.806Z,166268883880600
"""arash @ --uhQWY45j"" folds",2022-09-09T02:00:36.910Z,166268883691000
"""Spenny @ nR6Yv41Maz"" folds",2022-09-09T02:00:35.923Z,166268883592300
"""peelic @ c2JqQCu6sT"" calls 60",2022-09-09T02:00:32.572Z,166268883257200
"""Jonah @ KdrqU8EIQ1"" bets 60",2022-09-09T02:00:25.354Z,166268882535400
"Flop:  [K♣, 3♣, 8♦]",2022-09-09T02:00:21.025Z,166268882102500
"""peelic @ c2JqQCu6sT"" checks",2022-09-09T02:00:20.213Z,166268882021300
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-09-09T02:00:19.304Z,166268881930400
"""gegreeger @ WJ-HPcQ09S"" calls 20",2022-09-09T02:00:18.367Z,166268881836700
"""arash @ --uhQWY45j"" calls 20",2022-09-09T02:00:16.596Z,166268881659600
"""Spenny @ nR6Yv41Maz"" calls 20",2022-09-09T02:00:15.498Z,166268881549800
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2022-09-09T02:00:13.814Z,166268881381408
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2022-09-09T02:00:13.814Z,166268881381407
"Your hand is 5♠, J♥",2022-09-09T02:00:13.814Z,166268881381406
"Player stacks: #1 ""gegreeger @ WJ-HPcQ09S"" (1410) | #5 ""Jonah @ KdrqU8EIQ1"" (3080) | #6 ""peelic @ c2JqQCu6sT"" (1600) | #8 ""Spenny @ nR6Yv41Maz"" (1440) | #9 ""arash @ --uhQWY45j"" (1470)",2022-09-09T02:00:13.814Z,166268881381401
"-- starting hand #89  (No Limit Texas Hold'em) (dealer: ""gegreeger @ WJ-HPcQ09S"") --",2022-09-09T02:00:13.814Z,166268881381400
"Undealt cards: 5♠, 3♣, Q♣ [6♦, Q♥]",2022-09-09T02:00:08.441Z,166268880844100
"-- ending hand #88 --",2022-09-09T02:00:07.801Z,166268880780102
"""arash @ --uhQWY45j"" collected 60 from pot",2022-09-09T02:00:07.801Z,166268880780101
"Uncalled bet of 40 returned to ""arash @ --uhQWY45j""",2022-09-09T02:00:07.801Z,166268880780100
"""Jonah @ KdrqU8EIQ1"" folds",2022-09-09T02:00:06.909Z,166268880690900
"""gegreeger @ WJ-HPcQ09S"" folds",2022-09-09T02:00:02.263Z,166268880226300
"""arash @ --uhQWY45j"" bets 40",2022-09-09T02:00:01.363Z,166268880136300
"""Jonah @ KdrqU8EIQ1"" checks",2022-09-09T01:59:57.287Z,166268879728700
"""gegreeger @ WJ-HPcQ09S"" checks",2022-09-09T01:59:56.370Z,166268879637000
"Flop:  [5♠, 3♣, Q♣]",2022-09-09T01:59:53.394Z,166268879339400
"""Jonah @ KdrqU8EIQ1"" checks",2022-09-09T01:59:52.482Z,166268879248200
"""gegreeger @ WJ-HPcQ09S"" calls 20",2022-09-09T01:59:51.476Z,166268879147600
"""arash @ --uhQWY45j"" calls 20",2022-09-09T01:59:50.587Z,166268879058700
"""Spenny @ nR6Yv41Maz"" folds",2022-09-09T01:59:49.191Z,166268878919100
"""peelic @ c2JqQCu6sT"" folds",2022-09-09T01:59:43.667Z,166268878366700
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2022-09-09T01:59:39.267Z,166268877926708
"""gegreeger @ WJ-HPcQ09S"" posts a small blind of 10",2022-09-09T01:59:39.267Z,166268877926707
"Your hand is 2♣, 9♠",2022-09-09T01:59:39.267Z,166268877926706
"Player stacks: #1 ""gegreeger @ WJ-HPcQ09S"" (1430) | #5 ""Jonah @ KdrqU8EIQ1"" (3100) | #6 ""peelic @ c2JqQCu6sT"" (1600) | #8 ""Spenny @ nR6Yv41Maz"" (1440) | #9 ""arash @ --uhQWY45j"" (1430)",2022-09-09T01:59:39.267Z,166268877926701
"-- starting hand #88  (No Limit Texas Hold'em) (dealer: ""arash @ --uhQWY45j"") --",2022-09-09T01:59:39.267Z,166268877926700
"-- ending hand #87 --",2022-09-09T01:59:33.200Z,166268877320002
"""gegreeger @ WJ-HPcQ09S"" collected 580 from pot with Two Pair, 6's & 2's (combination: 6♠, 6♣, 2♥, 2♦, A♠)",2022-09-09T01:59:33.200Z,166268877320001
"""gegreeger @ WJ-HPcQ09S"" shows a 2♥, 6♠.",2022-09-09T01:59:33.200Z,166268877320000
"""arash @ --uhQWY45j"" folds",2022-09-09T01:59:32.371Z,166268877237100
"""Spenny @ nR6Yv41Maz"" folds",2022-09-09T01:59:31.342Z,166268877134200
"""peelic @ c2JqQCu6sT"" folds",2022-09-09T01:59:14.535Z,166268875453500
"""Jonah @ KdrqU8EIQ1"" calls 80",2022-09-09T01:59:08.500Z,166268874850000
"""gegreeger @ WJ-HPcQ09S"" raises to 80",2022-09-09T01:59:07.501Z,166268874750100
"""arash @ --uhQWY45j"" bets 20",2022-09-09T01:59:04.602Z,166268874460200
"River: 2♦, A♠, 6♣, K♥ [5♠]",2022-09-09T01:59:01.961Z,166268874196100
"""arash @ --uhQWY45j"" calls 40",2022-09-09T01:59:01.073Z,166268874107300
"""Spenny @ nR6Yv41Maz"" calls 40",2022-09-09T01:58:59.194Z,166268873919400
"""peelic @ c2JqQCu6sT"" calls 40",2022-09-09T01:58:50.137Z,166268873013700
"""Jonah @ KdrqU8EIQ1"" calls 40",2022-09-09T01:58:39.210Z,166268871921000
"""gegreeger @ WJ-HPcQ09S"" bets 40",2022-09-09T01:58:38.264Z,166268871826400
"""arash @ --uhQWY45j"" checks",2022-09-09T01:58:35.314Z,166268871531400
"Turn: 2♦, A♠, 6♣ [K♥]",2022-09-09T01:58:34.120Z,166268871412000
"""arash @ --uhQWY45j"" calls 20",2022-09-09T01:58:33.254Z,166268871325400
"""Spenny @ nR6Yv41Maz"" calls 20",2022-09-09T01:58:32.274Z,166268871227400
"""peelic @ c2JqQCu6sT"" calls 20",2022-09-09T01:58:31.372Z,166268871137200
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-09-09T01:58:29.610Z,166268870961000
"""gegreeger @ WJ-HPcQ09S"" bets 20",2022-09-09T01:58:28.699Z,166268870869900
"""arash @ --uhQWY45j"" checks",2022-09-09T01:58:26.469Z,166268870646900
"Flop:  [2♦, A♠, 6♣]",2022-09-09T01:58:24.513Z,166268870451300
"""gegreeger @ WJ-HPcQ09S"" checks",2022-09-09T01:58:23.637Z,166268870363700
"""arash @ --uhQWY45j"" calls 20",2022-09-09T01:58:22.769Z,166268870276900
"""Spenny @ nR6Yv41Maz"" calls 20",2022-09-09T01:58:21.087Z,166268870108700
"""peelic @ c2JqQCu6sT"" calls 20",2022-09-09T01:58:19.590Z,166268869959000
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-09-09T01:58:18.616Z,166268869861600
