entry,at,order
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2023-01-06T03:01:09.398Z,167297406939809
"""Stevo @ 5Ep7Sc0sJg"" posts a small blind of 10",2023-01-06T03:01:09.398Z,167297406939808
"Your hand is 10♦, 2♦",2023-01-06T03:01:09.398Z,167297406939804
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (890) | #2 ""Daveeeeeed @ Lcv4T4FOBq"" (2031) | #4 ""arash @ --uhQWY45j"" (1420) | #5 ""Jonah @ axh4B_jN0P"" (4956) | #6 ""Spenny @ cu8vqwqurV"" (1204) | #9 ""Stevo @ 5Ep7Sc0sJg"" (1499)",2023-01-06T03:01:09.398Z,167297406939801
"-- starting hand #110 (id: 97r1qoabptcv)  (No Limit Texas Hold'em) (dealer: ""Spenny @ cu8vqwqurV"") --",2023-01-06T03:01:09.398Z,167297406939800
"Undealt cards: 3♦, 10♦, 2♠, K♥ [5♥]",2023-01-06T03:01:03.759Z,167297406375900
"""Stevo @ 5Ep7Sc0sJg"" shows a 10♠, Q♠.",2023-01-06T03:01:03.617Z,167297406361700
"""Daveeeeeed @ Lcv4T4FOBq"" shows a 5♠, K♠.",2023-01-06T03:01:02.936Z,167297406293600
"-- ending hand #109 --",2023-01-06T03:01:02.068Z,167297406206802
"""Daveeeeeed @ Lcv4T4FOBq"" collected 520 from pot",2023-01-06T03:01:02.068Z,167297406206801
"Uncalled bet of 1499 returned to ""Daveeeeeed @ Lcv4T4FOBq""",2023-01-06T03:01:02.068Z,167297406206800
"""Stevo @ 5Ep7Sc0sJg"" folds",2023-01-06T03:01:01.200Z,167297406120000
"""Daveeeeeed @ Lcv4T4FOBq"" raises to 1519",2023-01-06T03:00:45.918Z,167297404591800
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2023-01-06T03:00:43.409Z,167297404340900
"Turn: 3♦, 10♦, 2♠ [K♥]",2023-01-06T03:00:42.259Z,167297404225900
"""Daveeeeeed @ Lcv4T4FOBq"" calls 100",2023-01-06T03:00:41.389Z,167297404138900
"""peelic @ c2JqQCu6sT"" folds",2023-01-06T03:00:38.952Z,167297403895200
"""Stevo @ 5Ep7Sc0sJg"" bets 100",2023-01-06T03:00:37.748Z,167297403774800
"Flop:  [3♦, 10♦, 2♠]",2023-01-06T03:00:34.856Z,167297403485600
"""peelic @ c2JqQCu6sT"" calls 90",2023-01-06T03:00:33.997Z,167297403399700
"""Stevo @ 5Ep7Sc0sJg"" calls 90",2023-01-06T03:00:29.907Z,167297402990700
"""Spenny @ cu8vqwqurV"" folds",2023-01-06T03:00:28.918Z,167297402891800
"""Jonah @ axh4B_jN0P"" folds",2023-01-06T03:00:23.966Z,167297402396600
"""arash @ --uhQWY45j"" folds",2023-01-06T03:00:23.045Z,167297402304500
"""Daveeeeeed @ Lcv4T4FOBq"" raises to 90",2023-01-06T03:00:22.002Z,167297402200200
"""peelic @ c2JqQCu6sT"" calls 20",2023-01-06T03:00:18.725Z,167297401872500
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2023-01-06T03:00:16.632Z,167297401663209
"""Spenny @ cu8vqwqurV"" posts a small blind of 10",2023-01-06T03:00:16.632Z,167297401663208
"Your hand is 7♠, 2♣",2023-01-06T03:00:16.632Z,167297401663204
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (980) | #2 ""Daveeeeeed @ Lcv4T4FOBq"" (1721) | #4 ""arash @ --uhQWY45j"" (1420) | #5 ""Jonah @ axh4B_jN0P"" (4956) | #6 ""Spenny @ cu8vqwqurV"" (1214) | #9 ""Stevo @ 5Ep7Sc0sJg"" (1709)",2023-01-06T03:00:16.632Z,167297401663201
"-- starting hand #109 (id: he8vtgujfeta)  (No Limit Texas Hold'em) (dealer: ""Jonah @ axh4B_jN0P"") --",2023-01-06T03:00:16.632Z,167297401663200
"""peelic @ c2JqQCu6sT"" shows a 4♠, 2♠.",2023-01-06T03:00:13.111Z,167297401311100
"Undealt cards: J♣, 3♥, 8♠, 5♥ [A♣]",2023-01-06T03:00:10.834Z,167297401083400
"-- ending hand #108 --",2023-01-06T03:00:09.949Z,167297400994902
"""Jonah @ axh4B_jN0P"" collected 220 from pot",2023-01-06T03:00:09.949Z,167297400994901
"Uncalled bet of 150 returned to ""Jonah @ axh4B_jN0P""",2023-01-06T03:00:09.949Z,167297400994900
"""arash @ --uhQWY45j"" folds",2023-01-06T03:00:09.106Z,167297400910600
"""Jonah @ axh4B_jN0P"" bets 150",2023-01-06T03:00:05.946Z,167297400594600
"Turn: J♣, 3♥, 8♠ [5♥]",2023-01-06T03:00:00.033Z,167297400003300
"""arash @ --uhQWY45j"" calls 60",2023-01-06T02:59:59.171Z,167297399917100
"""peelic @ c2JqQCu6sT"" folds",2023-01-06T02:59:57.693Z,167297399769300
"""Stevo @ 5Ep7Sc0sJg"" folds",2023-01-06T02:59:56.775Z,167297399677500
"""Spenny @ cu8vqwqurV"" folds",2023-01-06T02:59:55.753Z,167297399575300
"""Jonah @ axh4B_jN0P"" bets 60",2023-01-06T02:59:51.827Z,167297399182700
"Flop:  [J♣, 3♥, 8♠]",2023-01-06T02:59:44.409Z,167297398440900
"""Spenny @ cu8vqwqurV"" checks",2023-01-06T02:59:43.594Z,167297398359400
"""Jonah @ axh4B_jN0P"" calls 20",2023-01-06T02:59:42.707Z,167297398270700
"""arash @ --uhQWY45j"" calls 20",2023-01-06T02:59:41.795Z,167297398179500
"""Daveeeeeed @ Lcv4T4FOBq"" folds",2023-01-06T02:59:40.846Z,167297398084600
