entry,at,order
"""arash @ --uhQWY45j"" posts a big blind of 20",2023-01-13T03:01:31.614Z,167357889161410
"""Jonah @ axh4B_jN0P"" posts a small blind of 10",2023-01-13T03:01:31.614Z,167357889161409
"Your hand is 4♣, 5♦",2023-01-13T03:01:31.614Z,167357889161403
"Player stacks: #1 ""arash @ --uhQWY45j"" (2235) | #2 ""Spenny @ cu8vqwqurV"" (630) | #4 ""Stevo @ 5Ep7Sc0sJg"" (2145) | #5 ""greergoo @ WJ-HPcQ09S"" (1000) | #8 ""peelic @ c2JqQCu6sT"" (3730) | #10 ""Jonah @ axh4B_jN0P"" (3260)",2023-01-13T03:01:31.614Z,167357889161402
"-- starting hand #93 (id: hrj2as0anvcn)  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2023-01-13T03:01:31.614Z,167357889161401
"The player ""greergoo @ WJ-HPcQ09S"" joined the game with a stack of 1000.",2023-01-13T03:01:31.614Z,167357889161400
"-- ending hand #92 --",2023-01-13T03:01:25.607Z,167357888560704
"""Stevo @ 5Ep7Sc0sJg"" collected 920 from pot with Straight, Q High (combination: Q♠, J♠, 10♣, 9♦, 8♥)",2023-01-13T03:01:25.607Z,167357888560703
"""Stevo @ 5Ep7Sc0sJg"" shows a 9♦, J♠.",2023-01-13T03:01:25.607Z,167357888560702
"""arash @ --uhQWY45j"" collected 920 from pot with Straight, Q High (combination: Q♠, J♦, 10♣, 9♣, 8♥)",2023-01-13T03:01:25.607Z,167357888560701
"""arash @ --uhQWY45j"" shows a 7♣, 9♣.",2023-01-13T03:01:25.607Z,167357888560700
"""Stevo @ 5Ep7Sc0sJg"" calls 500",2023-01-13T03:01:24.740Z,167357888474000
"""arash @ --uhQWY45j"" bets 500",2023-01-13T03:01:19.977Z,167357887997700
"River: Q♠, 10♣, 8♥, J♦ [2♥]",2023-01-13T03:01:13.997Z,167357887399700
"""arash @ --uhQWY45j"" calls 300",2023-01-13T03:01:13.122Z,167357887312200
"""Stevo @ 5Ep7Sc0sJg"" bets 300",2023-01-13T03:01:11.082Z,167357887108200
"""arash @ --uhQWY45j"" checks",2023-01-13T03:01:05.291Z,167357886529100
"Turn: Q♠, 10♣, 8♥ [J♦]",2023-01-13T03:01:03.989Z,167357886398900
"""arash @ --uhQWY45j"" calls 80",2023-01-13T03:01:03.174Z,167357886317400
"""Jonah @ axh4B_jN0P"" folds",2023-01-13T03:01:01.951Z,167357886195100
"""peelic @ c2JqQCu6sT"" folds",2023-01-13T03:01:00.984Z,167357886098400
"""Stevo @ 5Ep7Sc0sJg"" raises to 80",2023-01-13T03:00:58.091Z,167357885809100
"""arash @ --uhQWY45j"" bets 40",2023-01-13T03:00:54.698Z,167357885469800
"""Jonah @ axh4B_jN0P"" checks",2023-01-13T03:00:51.548Z,167357885154800
"""peelic @ c2JqQCu6sT"" checks",2023-01-13T03:00:49.017Z,167357884901700
"Flop:  [Q♠, 10♣, 8♥]",2023-01-13T03:00:47.578Z,167357884757800
"""Jonah @ axh4B_jN0P"" checks",2023-01-13T03:00:46.684Z,167357884668400
"""peelic @ c2JqQCu6sT"" calls 20",2023-01-13T03:00:45.052Z,167357884505200
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2023-01-13T03:00:44.140Z,167357884414000
"""Spenny @ cu8vqwqurV"" folds",2023-01-13T03:00:43.231Z,167357884323100
"""arash @ --uhQWY45j"" calls 20",2023-01-13T03:00:42.301Z,167357884230100
"""Jonah @ axh4B_jN0P"" posts a big blind of 20",2023-01-13T03:00:39.053Z,167357883905308
"""peelic @ c2JqQCu6sT"" posts a small blind of 10",2023-01-13T03:00:39.053Z,167357883905307
"Your hand is 7♣, 9♣",2023-01-13T03:00:39.053Z,167357883905302
"Player stacks: #1 ""arash @ --uhQWY45j"" (2215) | #2 ""Spenny @ cu8vqwqurV"" (630) | #4 ""Stevo @ 5Ep7Sc0sJg"" (2125) | #8 ""peelic @ c2JqQCu6sT"" (3750) | #10 ""Jonah @ axh4B_jN0P"" (3280)",2023-01-13T03:00:39.053Z,167357883905301
"-- starting hand #92 (id: t8qqkb8r3cmd)  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2023-01-13T03:00:39.053Z,167357883905300
"""peelic @ c2JqQCu6sT"" shows a 4♦, 9♥.",2023-01-13T03:00:37.820Z,167357883782000
