entry,at,order
"""geogreor @ _sqcLETZ0C"" posts a big blind of 20",2025-08-14T02:31:00.210Z,175513866021008
"""Spenny @ S8ENkJ8OQS"" posts a small blind of 10",2025-08-14T02:31:00.210Z,175513866021007
"Your hand is J♥, 9♠",2025-08-14T02:31:00.210Z,175513866021004
"Player stacks: #1 ""Stevo @ GBEr6xd4D5"" (1960) | #2 ""peelic @ vOeqrOXpLT"" (900) | #3 ""arash @ 5YifPUu0Ym"" (1980) | #4 ""Spenny @ S8ENkJ8OQS"" (440) | #10 ""geogreor @ _sqcLETZ0C"" (1720)",2025-08-14T02:31:00.210Z,175513866021001
"-- starting hand #129 (id: elfg4pcwtqze)  (No Limit Texas Hold'em) (dealer: ""arash @ 5YifPUu0Ym"") --",2025-08-14T02:31:00.210Z,175513866021000
"""Spenny @ S8ENkJ8OQS"" shows a A♠, J♦.",2025-08-14T02:30:58.889Z,175513865888900
"""Stevo @ GBEr6xd4D5"" shows a 4♥, J♣.",2025-08-14T02:30:56.591Z,175513865659100
"-- ending hand #128 --",2025-08-14T02:30:55.850Z,175513865585002
"""Stevo @ GBEr6xd4D5"" collected 240 from pot",2025-08-14T02:30:55.850Z,175513865585001
"Uncalled bet of 40 returned to ""Stevo @ GBEr6xd4D5""",2025-08-14T02:30:55.850Z,175513865585000
"""Spenny @ S8ENkJ8OQS"" folds",2025-08-14T02:30:55.028Z,175513865502800
"""Stevo @ GBEr6xd4D5"" bets 40",2025-08-14T02:30:53.303Z,175513865330300
"""Spenny @ S8ENkJ8OQS"" checks",2025-08-14T02:30:46.614Z,175513864661400
"River: 10♥, 5♥, 6♠, K♣ [8♦]",2025-08-14T02:30:44.933Z,175513864493300
"""Stevo @ GBEr6xd4D5"" checks",2025-08-14T02:30:44.072Z,175513864407200
"""Spenny @ S8ENkJ8OQS"" checks",2025-08-14T02:30:43.110Z,175513864311000
"Turn: 10♥, 5♥, 6♠ [K♣]",2025-08-14T02:30:41.330Z,175513864133000
"""geogreor @ _sqcLETZ0C"" folds",2025-08-14T02:30:40.438Z,175513864043800
"""Spenny @ S8ENkJ8OQS"" calls 80",2025-08-14T02:30:39.581Z,175513863958100
"""arash @ 5YifPUu0Ym"" folds",2025-08-14T02:30:36.224Z,175513863622400
"""Stevo @ GBEr6xd4D5"" bets 80",2025-08-14T02:30:33.213Z,175513863321300
"""geogreor @ _sqcLETZ0C"" checks",2025-08-14T02:30:29.761Z,175513862976100
"""Spenny @ S8ENkJ8OQS"" checks",2025-08-14T02:30:28.925Z,175513862892500
"""arash @ 5YifPUu0Ym"" checks",2025-08-14T02:30:27.432Z,175513862743200
"Flop:  [10♥, 5♥, 6♠]",2025-08-14T02:30:25.134Z,175513862513400
"""Spenny @ S8ENkJ8OQS"" checks",2025-08-14T02:30:24.242Z,175513862424200
"""arash @ 5YifPUu0Ym"" calls 20",2025-08-14T02:30:21.877Z,175513862187700
"""peelic @ vOeqrOXpLT"" folds",2025-08-14T02:30:20.871Z,175513862087100
"""Stevo @ GBEr6xd4D5"" calls 20",2025-08-14T02:30:17.906Z,175513861790600
"""geogreor @ _sqcLETZ0C"" calls 20",2025-08-14T02:30:16.574Z,175513861657400
"""Spenny @ S8ENkJ8OQS"" posts a big blind of 20",2025-08-14T02:30:14.798Z,175513861479808
"""arash @ 5YifPUu0Ym"" posts a small blind of 10",2025-08-14T02:30:14.798Z,175513861479807
"Your hand is 4♣, A♦",2025-08-14T02:30:14.798Z,175513861479804
"Player stacks: #1 ""Stevo @ GBEr6xd4D5"" (1820) | #2 ""peelic @ vOeqrOXpLT"" (900) | #3 ""arash @ 5YifPUu0Ym"" (2000) | #4 ""Spenny @ S8ENkJ8OQS"" (540) | #10 ""geogreor @ _sqcLETZ0C"" (1740)",2025-08-14T02:30:14.798Z,175513861479801
"-- starting hand #128 (id: 4topac5jmor0)  (No Limit Texas Hold'em) (dealer: ""peelic @ vOeqrOXpLT"") --",2025-08-14T02:30:14.798Z,175513861479800
"""Spenny @ S8ENkJ8OQS"" shows a 3♦, Q♠.",2025-08-14T02:30:08.976Z,175513860897600
"-- ending hand #127 --",2025-08-14T02:30:08.290Z,175513860829003
"""Stevo @ GBEr6xd4D5"" collected 1820 from pot with Full House, A's over Q's (combination: A♠, A♦, A♥, Q♦, Q♥)",2025-08-14T02:30:08.290Z,175513860829002
"""Stevo @ GBEr6xd4D5"" shows a Q♦, 5♦.",2025-08-14T02:30:08.290Z,175513860829001
"""peelic @ vOeqrOXpLT"" shows a J♣, J♦.",2025-08-14T02:30:08.290Z,175513860829000
"""arash @ 5YifPUu0Ym"" checks",2025-08-14T02:30:07.413Z,175513860741300
"""peelic @ vOeqrOXpLT"" checks",2025-08-14T02:30:06.499Z,175513860649900
"River: A♠, A♦, A♥, 6♦ [Q♥]",2025-08-14T02:30:05.490Z,175513860549000
"""arash @ 5YifPUu0Ym"" checks",2025-08-14T02:30:04.674Z,175513860467400
"""peelic @ vOeqrOXpLT"" checks",2025-08-14T02:30:03.771Z,175513860377100
"Turn: A♠, A♦, A♥ [6♦]",2025-08-14T02:30:02.265Z,175513860226500
"""arash @ 5YifPUu0Ym"" calls 480",2025-08-14T02:30:01.302Z,175513860130200
"""peelic @ vOeqrOXpLT"" calls 480",2025-08-14T02:29:57.860Z,175513859786000
"""Stevo @ GBEr6xd4D5"" raises to 480 and go all in",2025-08-14T02:29:53.330Z,175513859333000
"""arash @ 5YifPUu0Ym"" bets 100",2025-08-14T02:29:49.576Z,175513858957600
"""peelic @ vOeqrOXpLT"" checks",2025-08-14T02:29:45.749Z,175513858574900
"Flop:  [A♠, A♦, A♥]",2025-08-14T02:29:40.403Z,175513858040300
"""arash @ 5YifPUu0Ym"" calls 120",2025-08-14T02:29:39.602Z,175513857960200
"""peelic @ vOeqrOXpLT"" calls 120",2025-08-14T02:29:38.668Z,175513857866800
"""Stevo @ GBEr6xd4D5"" raises to 120",2025-08-14T02:29:35.839Z,175513857583900
"""geogreor @ _sqcLETZ0C"" folds",2025-08-14T02:29:33.169Z,175513857316900
"""arash @ 5YifPUu0Ym"" raises to 60",2025-08-14T02:29:29.978Z,175513856997800
"""peelic @ vOeqrOXpLT"" calls 20",2025-08-14T02:29:26.437Z,175513856643700
"""Stevo @ GBEr6xd4D5"" calls 20",2025-08-14T02:29:25.548Z,175513856554800
"""geogreor @ _sqcLETZ0C"" calls 20",2025-08-14T02:29:24.599Z,175513856459900
"""Spenny @ S8ENkJ8OQS"" folds",2025-08-14T02:29:22.152Z,175513856215200
"""arash @ 5YifPUu0Ym"" posts a big blind of 20",2025-08-14T02:29:20.695Z,175513856069508
"""peelic @ vOeqrOXpLT"" posts a small blind of 10",2025-08-14T02:29:20.695Z,175513856069507
"Your hand is K♣, 4♠",2025-08-14T02:29:20.695Z,175513856069504
"Player stacks: #1 ""Stevo @ GBEr6xd4D5"" (600) | #2 ""peelic @ vOeqrOXpLT"" (1500) | #3 ""arash @ 5YifPUu0Ym"" (2600) | #4 ""Spenny @ S8ENkJ8OQS"" (540) | #10 ""geogreor @ _sqcLETZ0C"" (1760)",2025-08-14T02:29:20.695Z,175513856069501
"-- starting hand #127 (id: 8ow89xdjsqku)  (No Limit Texas Hold'em) (dealer: ""Stevo @ GBEr6xd4D5"") --",2025-08-14T02:29:20.695Z,175513856069500
"""geogreor @ _sqcLETZ0C"" shows a 2♣, 4♦.",2025-08-14T02:29:18.083Z,175513855808300
"-- ending hand #126 --",2025-08-14T02:29:17.091Z,175513855709102
"""arash @ 5YifPUu0Ym"" collected 280 from pot",2025-08-14T02:29:17.091Z,175513855709101
"Uncalled bet of 150 returned to ""arash @ 5YifPUu0Ym""",2025-08-14T02:29:17.091Z,175513855709100
"""Stevo @ GBEr6xd4D5"" folds",2025-08-14T02:29:16.205Z,175513855620500
"""arash @ 5YifPUu0Ym"" raises to 200",2025-08-14T02:29:15.124Z,175513855512400
"""peelic @ vOeqrOXpLT"" folds",2025-08-14T02:29:11.881Z,175513855188100
"""Stevo @ GBEr6xd4D5"" bets 50",2025-08-14T02:29:09.744Z,175513854974400
"River: 9♥, K♠, 4♠, 3♠ [4♥]",2025-08-14T02:29:06.890Z,175513854689000
"""arash @ 5YifPUu0Ym"" calls 20",2025-08-14T02:29:06.083Z,175513854608300
"""peelic @ vOeqrOXpLT"" calls 20",2025-08-14T02:29:02.731Z,175513854273100
"""Stevo @ GBEr6xd4D5"" bets 20",2025-08-14T02:29:01.241Z,175513854124100
"Turn: 9♥, K♠, 4♠ [3♠]",2025-08-14T02:29:00.087Z,175513854008700
"""arash @ 5YifPUu0Ym"" calls 20",2025-08-14T02:28:59.238Z,175513853923800
"""peelic @ vOeqrOXpLT"" calls 20",2025-08-14T02:28:57.931Z,175513853793100
"""Stevo @ GBEr6xd4D5"" bets 20",2025-08-14T02:28:54.050Z,175513853405000
"Flop:  [9♥, K♠, 4♠]",2025-08-14T02:28:52.915Z,175513853291500
"""peelic @ vOeqrOXpLT"" checks",2025-08-14T02:28:52.105Z,175513853210500
"""Stevo @ GBEr6xd4D5"" calls 20",2025-08-14T02:28:51.262Z,175513853126200
"""geogreor @ _sqcLETZ0C"" folds",2025-08-14T02:28:50.341Z,175513853034100
"""Spenny @ S8ENkJ8OQS"" folds",2025-08-14T02:28:49.486Z,175513852948600
"""arash @ 5YifPUu0Ym"" calls 20",2025-08-14T02:28:45.243Z,175513852524300
"""peelic @ vOeqrOXpLT"" posts a big blind of 20",2025-08-14T02:28:43.964Z,175513852396408
"""Stevo @ GBEr6xd4D5"" posts a small blind of 10",2025-08-14T02:28:43.964Z,175513852396407
"Your hand is K♦, 3♦",2025-08-14T02:28:43.964Z,175513852396404
"Player stacks: #1 ""Stevo @ GBEr6xd4D5"" (710) | #2 ""peelic @ vOeqrOXpLT"" (1560) | #3 ""arash @ 5YifPUu0Ym"" (2430) | #4 ""Spenny @ S8ENkJ8OQS"" (540) | #10 ""geogreor @ _sqcLETZ0C"" (1760)",2025-08-14T02:28:43.964Z,175513852396401
"-- starting hand #126 (id: mql1yfkdmmyz)  (No Limit Texas Hold'em) (dealer: ""geogreor @ _sqcLETZ0C"") --",2025-08-14T02:28:43.964Z,175513852396400
"-- ending hand #125 --",2025-08-14T02:28:38.051Z,175513851805102
"""peelic @ vOeqrOXpLT"" collected 200 from pot",2025-08-14T02:28:38.051Z,175513851805101
"Uncalled bet of 160 returned to ""peelic @ vOeqrOXpLT""",2025-08-14T02:28:38.051Z,175513851805100
"""geogreor @ _sqcLETZ0C"" folds",2025-08-14T02:28:37.174Z,175513851717400
"""peelic @ vOeqrOXpLT"" bets 160",2025-08-14T02:28:36.021Z,175513851602100
"""geogreor @ _sqcLETZ0C"" checks",2025-08-14T02:28:33.435Z,175513851343500
"Turn: Q♠, 10♣, 10♦ [3♠]",2025-08-14T02:28:32.430Z,175513851243000
"""Stevo @ GBEr6xd4D5"" folds",2025-08-14T02:28:31.584Z,175513851158400
"""geogreor @ _sqcLETZ0C"" calls 50",2025-08-14T02:28:30.662Z,175513851066200
"""Spenny @ S8ENkJ8OQS"" folds",2025-08-14T02:28:27.358Z,175513850735800
"""arash @ 5YifPUu0Ym"" folds",2025-08-14T02:28:24.951Z,175513850495100
"""peelic @ vOeqrOXpLT"" bets 50",2025-08-14T02:28:24.027Z,175513850402700
"""Stevo @ GBEr6xd4D5"" checks",2025-08-14T02:28:20.175Z,175513850017500
"""geogreor @ _sqcLETZ0C"" checks",2025-08-14T02:28:19.239Z,175513849923900
"Flop:  [Q♠, 10♣, 10♦]",2025-08-14T02:28:17.289Z,175513849728900
"""Stevo @ GBEr6xd4D5"" checks",2025-08-14T02:28:16.452Z,175513849645200
"""geogreor @ _sqcLETZ0C"" calls 20",2025-08-14T02:28:15.516Z,175513849551600
