entry,at,order
"""arash @ --uhQWY45j"" posts a big blind of 20",2022-10-14T02:02:14.925Z,166571293492509
"""Spenny @ nR6Yv41Maz"" posts a small blind of 10",2022-10-14T02:02:14.925Z,166571293492508
"Your hand is 2♦, 4♦",2022-10-14T02:02:14.925Z,166571293492507
"Player stacks: #1 ""Jonah @ 333XEf7vEI"" (590) | #2 ""Sam @ SM85ny3M6H"" (1523) | #3 ""googegoeereeo @ WJ-HPcQ09S"" (1258) | #5 ""Stevo @ 5Ep7Sc0sJg"" (4541) | #7 ""Spenny @ nR6Yv41Maz"" (108) | #10 ""arash @ --uhQWY45j"" (6980)",2022-10-14T02:02:14.925Z,166571293492501
"-- starting hand #96  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2022-10-14T02:02:14.925Z,166571293492500
"""Spenny @ nR6Yv41Maz"" shows a 10♦, 7♠.",2022-10-14T02:02:09.685Z,166571292968500
"-- ending hand #95 --",2022-10-14T02:02:08.322Z,166571292832202
"""Stevo @ 5Ep7Sc0sJg"" collected 1024 from pot with Three of a Kind, 6's (combination: 6♠, 6♥, 6♦, Q♦, 8♥)",2022-10-14T02:02:08.322Z,166571292832201
"""Stevo @ 5Ep7Sc0sJg"" shows a 6♠, 6♥.",2022-10-14T02:02:08.322Z,166571292832200
"""googegoeereeo @ WJ-HPcQ09S"" calls 352",2022-10-14T02:02:07.416Z,166571292741600
"""Stevo @ 5Ep7Sc0sJg"" raises to 352",2022-10-14T02:02:04.141Z,166571292414100
"""googegoeereeo @ WJ-HPcQ09S"" raises to 220",2022-10-14T02:02:00.557Z,166571292055700
"""Spenny @ nR6Yv41Maz"" folds",2022-10-14T02:01:43.520Z,166571290352000
"""Stevo @ 5Ep7Sc0sJg"" bets 108",2022-10-14T02:01:18.505Z,166571287850500
"River: 8♥, Q♦, 7♥, 6♦ [2♠]",2022-10-14T02:01:13.288Z,166571287328800
"""googegoeereeo @ WJ-HPcQ09S"" calls 20",2022-10-14T02:01:12.401Z,166571287240100
"""Spenny @ nR6Yv41Maz"" calls 20",2022-10-14T02:01:11.221Z,166571287122100
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2022-10-14T02:01:09.981Z,166571286998100
"Turn: 8♥, Q♦, 7♥ [6♦]",2022-10-14T02:01:05.701Z,166571286570100
"""Stevo @ 5Ep7Sc0sJg"" calls 60",2022-10-14T02:01:04.851Z,166571286485100
"""googegoeereeo @ WJ-HPcQ09S"" calls 60",2022-10-14T02:01:03.682Z,166571286368200
"""Jonah @ 333XEf7vEI"" folds",2022-10-14T02:01:00.335Z,166571286033500
"""Spenny @ nR6Yv41Maz"" raises to 60",2022-10-14T02:00:54.853Z,166571285485300
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2022-10-14T02:00:51.952Z,166571285195200
"Flop:  [8♥, Q♦, 7♥]",2022-10-14T02:00:50.479Z,166571285047900
"""Spenny @ nR6Yv41Maz"" checks",2022-10-14T02:00:49.544Z,166571284954400
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-10-14T02:00:48.600Z,166571284860000
"""googegoeereeo @ WJ-HPcQ09S"" calls 20",2022-10-14T02:00:47.689Z,166571284768900
"""Sam @ SM85ny3M6H"" folds",2022-10-14T02:00:43.589Z,166571284358900
"""Jonah @ 333XEf7vEI"" calls 20",2022-10-14T02:00:24.225Z,166571282422500
"""arash @ --uhQWY45j"" folds",2022-10-14T02:00:20.418Z,166571282041800
"""Spenny @ nR6Yv41Maz"" posts a big blind of 20",2022-10-14T02:00:18.470Z,166571281847009
"""Stevo @ 5Ep7Sc0sJg"" posts a small blind of 10",2022-10-14T02:00:18.470Z,166571281847008
"Your hand is 4♠, J♦",2022-10-14T02:00:18.470Z,166571281847007
"Player stacks: #1 ""Jonah @ 333XEf7vEI"" (610) | #2 ""Sam @ SM85ny3M6H"" (1523) | #3 ""googegoeereeo @ WJ-HPcQ09S"" (1710) | #5 ""Stevo @ 5Ep7Sc0sJg"" (3969) | #7 ""Spenny @ nR6Yv41Maz"" (208) | #10 ""arash @ --uhQWY45j"" (6980)",2022-10-14T02:00:18.470Z,166571281847001
"-- starting hand #95  (No Limit Texas Hold'em) (dealer: ""googegoeereeo @ WJ-HPcQ09S"") --",2022-10-14T02:00:18.470Z,166571281847000
"""Spenny @ nR6Yv41Maz"" shows a 4♠, J♠.",2022-10-14T02:00:14.473Z,166571281447300
"""Stevo @ 5Ep7Sc0sJg"" shows a 3♦, 2♣.",2022-10-14T02:00:13.809Z,166571281380900
"Undealt cards: A♥, J♣, 5♥, K♦ [4♣]",2022-10-14T02:00:12.941Z,166571281294100
"-- ending hand #94 --",2022-10-14T02:00:11.088Z,166571281108802
"""Sam @ SM85ny3M6H"" collected 540 from pot",2022-10-14T02:00:11.088Z,166571281108801
"Uncalled bet of 983 returned to ""Sam @ SM85ny3M6H""",2022-10-14T02:00:11.088Z,166571281108800
