entry,at,order
"""Jonah @ VdEHFtBZzk"" posts a big blind of 20",2024-02-29T04:03:00.100Z,170917938010008
"""Spenny @ cu8vqwqurV"" posts a small blind of 10",2024-02-29T04:03:00.100Z,170917938010007
"Your hand is Q♥, 10♠",2024-02-29T04:03:00.100Z,170917938010002
"Player stacks: #1 ""arash @ 0bo0jRLLVc"" (3690) | #2 ""gerorooe @ WJ-HPcQ09S"" (2080) | #4 ""Stevo @ kI2bCqDOyl"" (1560) | #8 ""Spenny @ cu8vqwqurV"" (470) | #9 ""Jonah @ VdEHFtBZzk"" (2200)",2024-02-29T04:03:00.100Z,170917938010001
"-- starting hand #108 (id: m1ogeowrsl2v)  (No Limit Texas Hold'em) (dealer: ""Stevo @ kI2bCqDOyl"") --",2024-02-29T04:03:00.100Z,170917938010000
"""Spenny @ cu8vqwqurV"" shows a 9♦, A♦.",2024-02-29T04:02:54.919Z,170917937491900
"-- ending hand #107 --",2024-02-29T04:02:53.494Z,170917937349402
"""arash @ 0bo0jRLLVc"" collected 240 from pot with Two Pair, Q's & 4's (combination: Q♠, Q♣, 4♠, 4♣, J♣)",2024-02-29T04:02:53.494Z,170917937349401
"""arash @ 0bo0jRLLVc"" shows a 4♠, J♣.",2024-02-29T04:02:53.494Z,170917937349400
"""Spenny @ cu8vqwqurV"" calls 40",2024-02-29T04:02:52.639Z,170917937263900
"""gerorooe @ WJ-HPcQ09S"" folds",2024-02-29T04:02:46.089Z,170917936608900
"""arash @ 0bo0jRLLVc"" bets 40",2024-02-29T04:02:42.500Z,170917936250000
"""Spenny @ cu8vqwqurV"" checks",2024-02-29T04:02:39.521Z,170917935952100
"River: 2♥, Q♠, Q♣, 7♦ [4♣]",2024-02-29T04:02:33.297Z,170917935329700
"""gerorooe @ WJ-HPcQ09S"" checks",2024-02-29T04:02:32.479Z,170917935247900
"""arash @ 0bo0jRLLVc"" checks",2024-02-29T04:02:31.644Z,170917935164400
"""Spenny @ cu8vqwqurV"" checks",2024-02-29T04:02:30.715Z,170917935071500
"Turn: 2♥, Q♠, Q♣ [7♦]",2024-02-29T04:02:27.249Z,170917934724900
"""Stevo @ kI2bCqDOyl"" folds",2024-02-29T04:02:26.359Z,170917934635900
"""gerorooe @ WJ-HPcQ09S"" calls 20",2024-02-29T04:02:24.635Z,170917934463500
"""arash @ 0bo0jRLLVc"" calls 20",2024-02-29T04:02:23.765Z,170917934376500
"""Jonah @ VdEHFtBZzk"" folds",2024-02-29T04:02:22.853Z,170917934285300
"""Spenny @ cu8vqwqurV"" bets 20",2024-02-29T04:02:21.583Z,170917934158300
"""Stevo @ kI2bCqDOyl"" checks",2024-02-29T04:02:18.239Z,170917933823900
"Flop:  [2♥, Q♠, Q♣]",2024-02-29T04:02:13.982Z,170917933398200
"""Spenny @ cu8vqwqurV"" checks",2024-02-29T04:02:13.160Z,170917933316000
"""Stevo @ kI2bCqDOyl"" calls 20",2024-02-29T04:02:09.313Z,170917932931300
"""gerorooe @ WJ-HPcQ09S"" calls 20",2024-02-29T04:02:08.398Z,170917932839800
"""arash @ 0bo0jRLLVc"" calls 20",2024-02-29T04:02:07.543Z,170917932754300
"""Jonah @ VdEHFtBZzk"" calls 20",2024-02-29T04:02:03.589Z,170917932358900
"""Spenny @ cu8vqwqurV"" posts a big blind of 20",2024-02-29T04:01:59.858Z,170917931985808
"""Stevo @ kI2bCqDOyl"" posts a small blind of 10",2024-02-29T04:01:59.858Z,170917931985807
"Your hand is 4♠, J♣",2024-02-29T04:01:59.858Z,170917931985802
"Player stacks: #1 ""arash @ 0bo0jRLLVc"" (3530) | #2 ""gerorooe @ WJ-HPcQ09S"" (2120) | #4 ""Stevo @ kI2bCqDOyl"" (1580) | #8 ""Spenny @ cu8vqwqurV"" (550) | #9 ""Jonah @ VdEHFtBZzk"" (2220)",2024-02-29T04:01:59.858Z,170917931985801
"-- starting hand #107 (id: 082ibzvcm9ai)  (No Limit Texas Hold'em) (dealer: ""gerorooe @ WJ-HPcQ09S"") --",2024-02-29T04:01:59.858Z,170917931985800
"""gerorooe @ WJ-HPcQ09S"" shows a Q♦, Q♠.",2024-02-29T04:01:57.267Z,170917931726700
"-- ending hand #106 --",2024-02-29T04:01:56.214Z,170917931621402
"""gerorooe @ WJ-HPcQ09S"" collected 920 from pot",2024-02-29T04:01:56.214Z,170917931621401
"Uncalled bet of 320 returned to ""gerorooe @ WJ-HPcQ09S""",2024-02-29T04:01:56.214Z,170917931621400
"""arash @ 0bo0jRLLVc"" folds",2024-02-29T04:01:55.398Z,170917931539800
"""Spenny @ cu8vqwqurV"" folds",2024-02-29T04:01:54.461Z,170917931446100
"""gerorooe @ WJ-HPcQ09S"" bets 320",2024-02-29T04:01:44.607Z,170917930460700
"River: 10♣, 8♣, 10♥, J♥ [9♣]",2024-02-29T04:01:38.476Z,170917929847600
"""arash @ 0bo0jRLLVc"" calls 160",2024-02-29T04:01:37.640Z,170917929764000
"""Jonah @ VdEHFtBZzk"" folds",2024-02-29T04:01:32.714Z,170917929271400
"""Spenny @ cu8vqwqurV"" calls 160",2024-02-29T04:01:27.403Z,170917928740300
"""gerorooe @ WJ-HPcQ09S"" bets 160",2024-02-29T04:01:19.227Z,170917927922700
"Turn: 10♣, 8♣, 10♥ [J♥]",2024-02-29T04:01:15.127Z,170917927512700
"""arash @ 0bo0jRLLVc"" calls 60",2024-02-29T04:01:14.310Z,170917927431000
