entry,at,order
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2023-02-17T03:01:50.443Z,167660291044308
"""arash @ --uhQWY45j"" posts a small blind of 10",2023-02-17T03:01:50.443Z,167660291044307
"Your hand is 3♦, 9♥",2023-02-17T03:01:50.443Z,167660291044303
"Player stacks: #2 ""Jonah @ 333XEf7vEI"" (3210) | #5 ""arash @ --uhQWY45j"" (2690) | #8 ""Stevo @ 5Ep7Sc0sJg"" (2010) | #9 ""peelic @ c2JqQCu6sT"" (2340) | #10 ""Spenny @ cu8vqwqurV"" (1750)",2023-02-17T03:01:50.443Z,167660291044301
"-- starting hand #97 (id: ih86vzynvmhs)  (No Limit Texas Hold'em) (dealer: ""Jonah @ 333XEf7vEI"") --",2023-02-17T03:01:50.443Z,167660291044300
"-- ending hand #96 --",2023-02-17T03:01:44.439Z,167660290443904
"""arash @ --uhQWY45j"" collected 630 from pot with Pair, Q's (combination: Q♣, Q♦, J♥, 8♦, 7♦)",2023-02-17T03:01:44.439Z,167660290443903
"""arash @ --uhQWY45j"" shows a 2♣, Q♣.",2023-02-17T03:01:44.439Z,167660290443902
"""Jonah @ 333XEf7vEI"" collected 630 from pot with Pair, Q's (combination: Q♠, Q♦, J♥, 8♦, 7♦)",2023-02-17T03:01:44.439Z,167660290443901
"""Jonah @ 333XEf7vEI"" shows a Q♠, 4♠.",2023-02-17T03:01:44.439Z,167660290443900
"""peelic @ c2JqQCu6sT"" folds",2023-02-17T03:01:43.612Z,167660290361200
"""arash @ --uhQWY45j"" calls 120",2023-02-17T03:01:42.718Z,167660290271800
"""Jonah @ 333XEf7vEI"" bets 120",2023-02-17T03:01:27.857Z,167660288785700
"River: J♥, Q♦, 5♣, 7♦ [8♦]",2023-02-17T03:01:22.911Z,167660288291100
"""peelic @ c2JqQCu6sT"" calls 120",2023-02-17T03:01:22.101Z,167660288210100
"""arash @ --uhQWY45j"" calls 120",2023-02-17T03:01:21.201Z,167660288120100
"""Jonah @ 333XEf7vEI"" bets 120",2023-02-17T03:01:20.193Z,167660288019300
"Turn: J♥, Q♦, 5♣ [7♦]",2023-02-17T03:01:15.704Z,167660287570400
"""Spenny @ cu8vqwqurV"" folds",2023-02-17T03:01:14.887Z,167660287488700
"""peelic @ c2JqQCu6sT"" calls 120",2023-02-17T03:01:04.499Z,167660286449900
"""Stevo @ 5Ep7Sc0sJg"" folds",2023-02-17T03:01:03.518Z,167660286351800
"""arash @ --uhQWY45j"" calls 120",2023-02-17T03:01:02.600Z,167660286260000
"""Jonah @ 333XEf7vEI"" bets 120",2023-02-17T03:01:00.175Z,167660286017500
"Flop:  [J♥, Q♦, 5♣]",2023-02-17T03:00:56.406Z,167660285640600
"""peelic @ c2JqQCu6sT"" calls 60",2023-02-17T03:00:55.508Z,167660285550800
"""Stevo @ 5Ep7Sc0sJg"" calls 60",2023-02-17T03:00:54.509Z,167660285450900
"""arash @ --uhQWY45j"" calls 60",2023-02-17T03:00:53.550Z,167660285355000
"""Jonah @ 333XEf7vEI"" calls 60",2023-02-17T03:00:51.825Z,167660285182500
"""Spenny @ cu8vqwqurV"" raises to 60",2023-02-17T03:00:48.407Z,167660284840700
"""peelic @ c2JqQCu6sT"" calls 20",2023-02-17T03:00:45.680Z,167660284568000
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2023-02-17T03:00:37.865Z,167660283786500
"""arash @ --uhQWY45j"" posts a big blind of 20",2023-02-17T03:00:36.684Z,167660283668408
"""Jonah @ 333XEf7vEI"" posts a small blind of 10",2023-02-17T03:00:36.684Z,167660283668407
"Your hand is 2♣, Q♣",2023-02-17T03:00:36.684Z,167660283668403
"Player stacks: #2 ""Jonah @ 333XEf7vEI"" (3000) | #5 ""arash @ --uhQWY45j"" (2480) | #8 ""Stevo @ 5Ep7Sc0sJg"" (2070) | #9 ""peelic @ c2JqQCu6sT"" (2640) | #10 ""Spenny @ cu8vqwqurV"" (1810)",2023-02-17T03:00:36.684Z,167660283668401
"-- starting hand #96 (id: t9e0irhwgos9)  (No Limit Texas Hold'em) (dealer: ""Spenny @ cu8vqwqurV"") --",2023-02-17T03:00:36.684Z,167660283668400
"""Stevo @ 5Ep7Sc0sJg"" shows a K♠, 5♣.",2023-02-17T03:00:31.728Z,167660283172800
"-- ending hand #95 --",2023-02-17T03:00:30.174Z,167660283017403
"""Spenny @ cu8vqwqurV"" shows a A♣, 4♣.",2023-02-17T03:00:30.174Z,167660283017402
"""peelic @ c2JqQCu6sT"" collected 520 from pot with Pair, 10's (combination: 10♣, 10♦, K♦, 9♠, 8♦)",2023-02-17T03:00:30.174Z,167660283017401
"""peelic @ c2JqQCu6sT"" shows a 9♠, 10♣.",2023-02-17T03:00:30.174Z,167660283017400
"""peelic @ c2JqQCu6sT"" calls 20",2023-02-17T03:00:29.359Z,167660282935900
"""arash @ --uhQWY45j"" calls 20",2023-02-17T03:00:28.445Z,167660282844500
"""Spenny @ cu8vqwqurV"" bets 20",2023-02-17T03:00:23.944Z,167660282394400
"River: 8♦, 10♦, 4♥, K♦ [7♥]",2023-02-17T03:00:21.367Z,167660282136700
"""Spenny @ cu8vqwqurV"" calls 60",2023-02-17T03:00:20.539Z,167660282053900
"""peelic @ c2JqQCu6sT"" calls 60",2023-02-17T03:00:19.669Z,167660281966900
"""arash @ --uhQWY45j"" raises to 60",2023-02-17T03:00:04.985Z,167660280498500
"""Jonah @ 333XEf7vEI"" folds",2023-02-17T03:00:02.121Z,167660280212100
"""Spenny @ cu8vqwqurV"" bets 20",2023-02-17T03:00:00.792Z,167660280079200
"Turn: 8♦, 10♦, 4♥ [K♦]",2023-02-17T02:59:58.132Z,167660279813200
"""peelic @ c2JqQCu6sT"" calls 20",2023-02-17T02:59:57.293Z,167660279729300
"""Stevo @ 5Ep7Sc0sJg"" folds",2023-02-17T02:59:56.365Z,167660279636500
"""arash @ --uhQWY45j"" calls 20",2023-02-17T02:59:55.395Z,167660279539500
"""Jonah @ 333XEf7vEI"" calls 20",2023-02-17T02:59:54.454Z,167660279445400
"""Spenny @ cu8vqwqurV"" bets 20",2023-02-17T02:59:52.028Z,167660279202800
"Flop:  [8♦, 10♦, 4♥]",2023-02-17T02:59:50.111Z,167660279011100
"""Jonah @ 333XEf7vEI"" calls 40",2023-02-17T02:59:49.278Z,167660278927800
"""Spenny @ cu8vqwqurV"" calls 40",2023-02-17T02:59:48.367Z,167660278836700
"""peelic @ c2JqQCu6sT"" calls 40",2023-02-17T02:59:47.466Z,167660278746600
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2023-02-17T02:59:46.574Z,167660278657400
"""arash @ --uhQWY45j"" raises to 40",2023-02-17T02:59:45.553Z,167660278555300
"""Jonah @ 333XEf7vEI"" posts a big blind of 20",2023-02-17T02:59:42.661Z,167660278266108
"""Spenny @ cu8vqwqurV"" posts a small blind of 10",2023-02-17T02:59:42.661Z,167660278266107
"Your hand is A♥, Q♦",2023-02-17T02:59:42.661Z,167660278266103
"Player stacks: #2 ""Jonah @ 333XEf7vEI"" (3060) | #5 ""arash @ --uhQWY45j"" (2620) | #8 ""Stevo @ 5Ep7Sc0sJg"" (2110) | #9 ""peelic @ c2JqQCu6sT"" (2260) | #10 ""Spenny @ cu8vqwqurV"" (1950)",2023-02-17T02:59:42.661Z,167660278266101
"-- starting hand #95 (id: tgmsory6vs5w)  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2023-02-17T02:59:42.661Z,167660278266100
"""Stevo @ 5Ep7Sc0sJg"" shows a A♣, 4♦.",2023-02-17T02:59:37.355Z,167660277735500
"-- ending hand #94 --",2023-02-17T02:59:36.091Z,167660277609102
"""peelic @ c2JqQCu6sT"" collected 460 from pot with Three of a Kind, 5's (combination: 5♠, 5♣, 5♦, A♦, K♦)",2023-02-17T02:59:36.091Z,167660277609101
"""peelic @ c2JqQCu6sT"" shows a 6♦, 5♠.",2023-02-17T02:59:36.091Z,167660277609100
"""Stevo @ 5Ep7Sc0sJg"" checks",2023-02-17T02:59:35.242Z,167660277524200
"""peelic @ c2JqQCu6sT"" checks",2023-02-17T02:59:34.155Z,167660277415500
"River: 5♣, 5♦, A♦, 10♥ [K♦]",2023-02-17T02:59:32.770Z,167660277277000
"""Stevo @ 5Ep7Sc0sJg"" calls 120",2023-02-17T02:59:31.900Z,167660277190000
"""peelic @ c2JqQCu6sT"" bets 120",2023-02-17T02:59:30.947Z,167660277094700
"Turn: 5♣, 5♦, A♦ [10♥]",2023-02-17T02:59:26.766Z,167660276676600
"""Stevo @ 5Ep7Sc0sJg"" calls 60",2023-02-17T02:59:25.934Z,167660276593400
"""arash @ --uhQWY45j"" folds",2023-02-17T02:59:24.962Z,167660276496200
