entry,at,order
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2023-03-31T02:00:38.789Z,168022803878906
"""Jonah @ axh4B_jN0P"" posts a small blind of 10",2023-03-31T02:00:38.789Z,168022803878905
"Your hand is A♣, 5♠",2023-03-31T02:00:38.789Z,168022803878904
"Player stacks: #4 ""Jonah @ axh4B_jN0P"" (6140) | #7 ""Stevo @ 5Ep7Sc0sJg"" (2355) | #10 ""arash @ --uhQWY45j"" (2505)",2023-03-31T02:00:38.789Z,168022803878901
"-- starting hand #151 (id: powtwdmv9dak)  (No Limit Texas Hold'em) (dead button) --",2023-03-31T02:00:38.789Z,168022803878900
"-- ending hand #150 --",2023-03-31T02:00:32.785Z,168022803278503
"""Stevo @ 5Ep7Sc0sJg"" shows a 2♣, 4♣.",2023-03-31T02:00:32.785Z,168022803278502
"""arash @ --uhQWY45j"" collected 380 from pot with Straight, 5 High (combination: 5♥, 4♥, 3♥, 2♦, A♦)",2023-03-31T02:00:32.785Z,168022803278501
"""arash @ --uhQWY45j"" shows a Q♦, A♦.",2023-03-31T02:00:32.785Z,168022803278500
"""arash @ --uhQWY45j"" calls 20",2023-03-31T02:00:31.973Z,168022803197300
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2023-03-31T02:00:29.210Z,168022802921000
"River: 2♦, 10♥, 4♥, 5♥ [3♥]",2023-03-31T02:00:27.237Z,168022802723700
"""arash @ --uhQWY45j"" calls 60",2023-03-31T02:00:26.389Z,168022802638900
"""Stevo @ 5Ep7Sc0sJg"" bets 60",2023-03-31T02:00:25.244Z,168022802524400
"Turn: 2♦, 10♥, 4♥ [5♥]",2023-03-31T02:00:23.121Z,168022802312100
"""Jonah @ axh4B_jN0P"" folds",2023-03-31T02:00:22.265Z,168022802226500
"""arash @ --uhQWY45j"" calls 50",2023-03-31T02:00:19.533Z,168022801953300
"""Stevo @ 5Ep7Sc0sJg"" bets 50",2023-03-31T02:00:18.330Z,168022801833000
"""Jonah @ axh4B_jN0P"" checks",2023-03-31T02:00:16.015Z,168022801601500
"Flop:  [2♦, 10♥, 4♥]",2023-03-31T02:00:14.521Z,168022801452100
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2023-03-31T02:00:13.681Z,168022801368100
"""Jonah @ axh4B_jN0P"" calls 40",2023-03-31T02:00:11.058Z,168022801105800
"""arash @ --uhQWY45j"" raises to 40",2023-03-31T02:00:09.972Z,168022800997200
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2023-03-31T02:00:08.051Z,168022800805100
"""Jonah @ axh4B_jN0P"" posts a big blind of 20",2023-03-31T02:00:06.315Z,168022800631507
"Dead Small Blind",2023-03-31T02:00:06.315Z,168022800631506
"Your hand is Q♦, A♦",2023-03-31T02:00:06.315Z,168022800631505
"Player stacks: #4 ""Jonah @ axh4B_jN0P"" (6180) | #7 ""Stevo @ 5Ep7Sc0sJg"" (2525) | #10 ""arash @ --uhQWY45j"" (2295)",2023-03-31T02:00:06.315Z,168022800631502
"-- starting hand #150 (id: bsalgec3jqib)  (No Limit Texas Hold'em) (dealer: ""arash @ --uhQWY45j"") --",2023-03-31T02:00:06.315Z,168022800631501
"The player ""peelic @ c2JqQCu6sT"" quits the game with a stack of 0.",2023-03-31T02:00:06.315Z,168022800631500
"-- ending hand #149 --",2023-03-31T02:00:00.261Z,168022800026103
"""peelic @ c2JqQCu6sT"" shows a A♣, K♣.",2023-03-31T02:00:00.261Z,168022800026102
"""Jonah @ axh4B_jN0P"" collected 1450 from pot with Three of a Kind, 6's (combination: 6♦, 6♠, 6♣, A♠, J♦)",2023-03-31T02:00:00.261Z,168022800026101
"""Jonah @ axh4B_jN0P"" shows a 6♦, A♠.",2023-03-31T02:00:00.261Z,168022800026100
"""peelic @ c2JqQCu6sT"" calls 210 and go all in",2023-03-31T01:59:59.405Z,168022799940500
"""Jonah @ axh4B_jN0P"" bets 210",2023-03-31T01:59:58.501Z,168022799850100
"""peelic @ c2JqQCu6sT"" checks",2023-03-31T01:59:56.511Z,168022799651100
"River: J♦, 6♠, 6♣, 10♣ [2♥]",2023-03-31T01:59:54.852Z,168022799485200
"""arash @ --uhQWY45j"" folds",2023-03-31T01:59:54.006Z,168022799400600
"""Jonah @ axh4B_jN0P"" calls 260",2023-03-31T01:59:52.543Z,168022799254300
"""peelic @ c2JqQCu6sT"" raises to 260",2023-03-31T01:59:50.765Z,168022799076500
"""arash @ --uhQWY45j"" bets 50",2023-03-31T01:59:45.558Z,168022798555800
"Turn: J♦, 6♠, 6♣ [10♣]",2023-03-31T01:59:39.898Z,168022797989800
"""Stevo @ 5Ep7Sc0sJg"" folds",2023-03-31T01:59:39.070Z,168022797907000
"""Jonah @ axh4B_jN0P"" calls 100",2023-03-31T01:59:36.313Z,168022797631300
"""peelic @ c2JqQCu6sT"" calls 100",2023-03-31T01:59:33.431Z,168022797343100
"""arash @ --uhQWY45j"" bets 100",2023-03-31T01:59:31.804Z,168022797180400
"Flop:  [J♦, 6♠, 6♣]",2023-03-31T01:59:28.090Z,168022796809000
"""peelic @ c2JqQCu6sT"" calls 40",2023-03-31T01:59:27.256Z,168022796725600
"""arash @ --uhQWY45j"" calls 40",2023-03-31T01:59:26.322Z,168022796632200
