entry,at,order
"""Stevo @ GBEr6xd4D5"" folds",2025-06-05T03:01:15.599Z,174909247559900
"""Spenny @ tDnYEvSdfx"" posts a big blind of 20",2025-06-05T03:01:06.585Z,174909246658508
"""georgoeoge @ _sqcLETZ0C"" posts a small blind of 10",2025-06-05T03:01:06.585Z,174909246658507
"Your hand is 7♥, 9♠",2025-06-05T03:01:06.585Z,174909246658502
"Player stacks: #2 ""arash @ 5YifPUu0Ym"" (4030) | #3 ""georgoeoge @ _sqcLETZ0C"" (2030) | #4 ""Spenny @ tDnYEvSdfx"" (540) | #6 ""Stevo @ GBEr6xd4D5"" (1040) | #7 ""Jonah @ xrBY5OZYCv"" (360)",2025-06-05T03:01:06.585Z,174909246658501
"-- starting hand #138 (id: 2z4ohqta6knz)  (No Limit Texas Hold'em) (dealer: ""arash @ 5YifPUu0Ym"") --",2025-06-05T03:01:06.585Z,174909246658500
"Undealt cards: 8♦, 8♣, Q♠, 4♥ [9♣]",2025-06-05T03:01:02.379Z,174909246237900
"-- ending hand #137 --",2025-06-05T03:01:00.674Z,174909246067402
"""georgoeoge @ _sqcLETZ0C"" collected 120 from pot",2025-06-05T03:01:00.674Z,174909246067401
"Uncalled bet of 40 returned to ""georgoeoge @ _sqcLETZ0C""",2025-06-05T03:01:00.674Z,174909246067400
"""Jonah @ xrBY5OZYCv"" folds",2025-06-05T03:00:59.831Z,174909245983100
"""georgoeoge @ _sqcLETZ0C"" bets 40",2025-06-05T03:00:56.792Z,174909245679200
"Turn: 8♦, 8♣, Q♠ [4♥]",2025-06-05T03:00:53.790Z,174909245379000
"""arash @ 5YifPUu0Ym"" folds",2025-06-05T03:00:52.964Z,174909245296400
"""Jonah @ xrBY5OZYCv"" calls 20",2025-06-05T03:00:52.041Z,174909245204100
"""Spenny @ tDnYEvSdfx"" folds",2025-06-05T03:00:50.540Z,174909245054000
"""georgoeoge @ _sqcLETZ0C"" bets 20",2025-06-05T03:00:46.162Z,174909244616200
"""arash @ 5YifPUu0Ym"" checks",2025-06-05T03:00:44.861Z,174909244486100
"Flop:  [8♦, 8♣, Q♠]",2025-06-05T03:00:43.386Z,174909244338600
"""georgoeoge @ _sqcLETZ0C"" checks",2025-06-05T03:00:42.581Z,174909244258100
"""arash @ 5YifPUu0Ym"" calls 20",2025-06-05T03:00:39.985Z,174909243998500
"""Jonah @ xrBY5OZYCv"" calls 20",2025-06-05T03:00:39.079Z,174909243907900
"""Stevo @ GBEr6xd4D5"" folds",2025-06-05T03:00:38.139Z,174909243813900
"""Spenny @ tDnYEvSdfx"" calls 20",2025-06-05T03:00:37.192Z,174909243719200
"""georgoeoge @ _sqcLETZ0C"" posts a big blind of 20",2025-06-05T03:00:32.372Z,174909243237208
"""arash @ 5YifPUu0Ym"" posts a small blind of 10",2025-06-05T03:00:32.372Z,174909243237207
"Your hand is 2♥, 3♦",2025-06-05T03:00:32.372Z,174909243237202
"Player stacks: #2 ""arash @ 5YifPUu0Ym"" (4050) | #3 ""georgoeoge @ _sqcLETZ0C"" (1950) | #4 ""Spenny @ tDnYEvSdfx"" (560) | #6 ""Stevo @ GBEr6xd4D5"" (1040) | #7 ""Jonah @ xrBY5OZYCv"" (400)",2025-06-05T03:00:32.372Z,174909243237201
"-- starting hand #137 (id: gqmbf3jooj8w)  (No Limit Texas Hold'em) (dealer: ""Jonah @ xrBY5OZYCv"") --",2025-06-05T03:00:32.372Z,174909243237200
"""Spenny @ tDnYEvSdfx"" shows a A♥.",2025-06-05T03:00:30.058Z,174909243005800
"-- ending hand #136 --",2025-06-05T03:00:25.815Z,174909242581503
"""georgoeoge @ _sqcLETZ0C"" collected 500 from pot with Two Pair, 8's & 5's (combination: 8♣, 8♥, 5♣, 5♠, 10♦)",2025-06-05T03:00:25.815Z,174909242581502
"""georgoeoge @ _sqcLETZ0C"" shows a 8♣, 5♣.",2025-06-05T03:00:25.815Z,174909242581501
"""Jonah @ xrBY5OZYCv"" shows a K♠, 10♥.",2025-06-05T03:00:25.815Z,174909242581500
"""Spenny @ tDnYEvSdfx"" folds",2025-06-05T03:00:25.008Z,174909242500800
"""georgoeoge @ _sqcLETZ0C"" calls 110",2025-06-05T03:00:24.093Z,174909242409300
"""Jonah @ xrBY5OZYCv"" bets 110",2025-06-05T03:00:18.207Z,174909241820700
"River: 2♠, 8♥, 5♠, 3♠ [10♦]",2025-06-05T03:00:13.758Z,174909241375800
"""arash @ 5YifPUu0Ym"" folds",2025-06-05T03:00:12.954Z,174909241295400
"""Jonah @ xrBY5OZYCv"" calls 40",2025-06-05T03:00:12.032Z,174909241203200
"""Spenny @ tDnYEvSdfx"" calls 40",2025-06-05T03:00:10.640Z,174909241064000
"""georgoeoge @ _sqcLETZ0C"" bets 40",2025-06-05T03:00:08.809Z,174909240880900
"""arash @ 5YifPUu0Ym"" checks",2025-06-05T03:00:06.740Z,174909240674000
"""Jonah @ xrBY5OZYCv"" checks",2025-06-05T03:00:05.541Z,174909240554100
"Turn: 2♠, 8♥, 5♠ [3♠]",2025-06-05T03:00:01.497Z,174909240149700
"""arash @ 5YifPUu0Ym"" calls 20",2025-06-05T03:00:00.643Z,174909240064300
"""Jonah @ xrBY5OZYCv"" calls 20",2025-06-05T02:59:58.808Z,174909239880800
"""Spenny @ tDnYEvSdfx"" calls 20",2025-06-05T02:59:57.573Z,174909239757300
"""georgoeoge @ _sqcLETZ0C"" bets 20",2025-06-05T02:59:55.417Z,174909239541700
"""arash @ 5YifPUu0Ym"" checks",2025-06-05T02:59:54.344Z,174909239434400
"""Jonah @ xrBY5OZYCv"" checks",2025-06-05T02:59:53.160Z,174909239316000
"Flop:  [2♠, 8♥, 5♠]",2025-06-05T02:59:50.697Z,174909239069700
"""arash @ 5YifPUu0Ym"" checks",2025-06-05T02:59:49.849Z,174909238984900
"""Jonah @ xrBY5OZYCv"" calls 20",2025-06-05T02:59:48.936Z,174909238893600
"""Stevo @ GBEr6xd4D5"" folds",2025-06-05T02:59:48.010Z,174909238801000
"""Spenny @ tDnYEvSdfx"" calls 20",2025-06-05T02:59:47.076Z,174909238707600
"""georgoeoge @ _sqcLETZ0C"" calls 20",2025-06-05T02:59:45.471Z,174909238547100
"""arash @ 5YifPUu0Ym"" posts a big blind of 20",2025-06-05T02:59:44.288Z,174909238428808
"""Jonah @ xrBY5OZYCv"" posts a small blind of 10",2025-06-05T02:59:44.288Z,174909238428807
"Your hand is 3♦, 7♥",2025-06-05T02:59:44.288Z,174909238428802
"Player stacks: #2 ""arash @ 5YifPUu0Ym"" (4090) | #3 ""georgoeoge @ _sqcLETZ0C"" (1640) | #4 ""Spenny @ tDnYEvSdfx"" (640) | #6 ""Stevo @ GBEr6xd4D5"" (1040) | #7 ""Jonah @ xrBY5OZYCv"" (590)",2025-06-05T02:59:44.288Z,174909238428801
"-- starting hand #136 (id: 1wsgkc7dxy1b)  (No Limit Texas Hold'em) (dealer: ""Stevo @ GBEr6xd4D5"") --",2025-06-05T02:59:44.288Z,174909238428800
"Undealt cards: 3♥, 7♠, K♦ [J♥, A♠]",2025-06-05T02:59:39.594Z,174909237959400
"""georgoeoge @ _sqcLETZ0C"" shows a 4♥, J♦.",2025-06-05T02:59:39.158Z,174909237915800
"""arash @ 5YifPUu0Ym"" shows a Q♠, Q♦.",2025-06-05T02:59:38.011Z,174909237801100
"-- ending hand #135 --",2025-06-05T02:59:36.944Z,174909237694402
"""arash @ 5YifPUu0Ym"" collected 70 from pot",2025-06-05T02:59:36.944Z,174909237694401
"Uncalled bet of 50 returned to ""arash @ 5YifPUu0Ym""",2025-06-05T02:59:36.944Z,174909237694400
"""Jonah @ xrBY5OZYCv"" folds",2025-06-05T02:59:36.124Z,174909237612400
"""georgoeoge @ _sqcLETZ0C"" folds",2025-06-05T02:59:35.223Z,174909237522300
"""arash @ 5YifPUu0Ym"" bets 50",2025-06-05T02:59:30.585Z,174909237058500
"""Jonah @ xrBY5OZYCv"" checks",2025-06-05T02:59:27.313Z,174909236731300
"Flop:  [3♥, 7♠, K♦]",2025-06-05T02:59:25.732Z,174909236573200
"""Jonah @ xrBY5OZYCv"" checks",2025-06-05T02:59:24.917Z,174909236491700
"""Stevo @ GBEr6xd4D5"" folds",2025-06-05T02:59:23.985Z,174909236398500
"""Spenny @ tDnYEvSdfx"" folds",2025-06-05T02:59:23.024Z,174909236302400
"""georgoeoge @ _sqcLETZ0C"" calls 20",2025-06-05T02:59:22.143Z,174909236214300
"""arash @ 5YifPUu0Ym"" calls 20",2025-06-05T02:59:20.340Z,174909236034000
"""Jonah @ xrBY5OZYCv"" posts a big blind of 20",2025-06-05T02:59:16.885Z,174909235688508
"""Stevo @ GBEr6xd4D5"" posts a small blind of 10",2025-06-05T02:59:16.885Z,174909235688507
"Your hand is Q♠, Q♦",2025-06-05T02:59:16.885Z,174909235688502
"Player stacks: #2 ""arash @ 5YifPUu0Ym"" (4040) | #3 ""georgoeoge @ _sqcLETZ0C"" (1660) | #4 ""Spenny @ tDnYEvSdfx"" (640) | #6 ""Stevo @ GBEr6xd4D5"" (1050) | #7 ""Jonah @ xrBY5OZYCv"" (610)",2025-06-05T02:59:16.885Z,174909235688501
"-- starting hand #135 (id: zbj85uqef99n)  (No Limit Texas Hold'em) (dealer: ""Spenny @ tDnYEvSdfx"") --",2025-06-05T02:59:16.885Z,174909235688500
"Undealt cards: 8♥, 7♠, K♥ [9♠, A♣]",2025-06-05T02:59:12.323Z,174909235232300
"""georgoeoge @ _sqcLETZ0C"" shows a K♦, K♠.",2025-06-05T02:59:12.016Z,174909235201600
"-- ending hand #134 --",2025-06-05T02:59:10.277Z,174909235027702
"""georgoeoge @ _sqcLETZ0C"" collected 170 from pot",2025-06-05T02:59:10.277Z,174909235027701
"Uncalled bet of 40 returned to ""georgoeoge @ _sqcLETZ0C""",2025-06-05T02:59:10.277Z,174909235027700
"""Jonah @ xrBY5OZYCv"" folds",2025-06-05T02:59:09.468Z,174909234946800
"""georgoeoge @ _sqcLETZ0C"" bets 40",2025-06-05T02:58:59.384Z,174909233938400
"""Jonah @ xrBY5OZYCv"" checks",2025-06-05T02:58:54.859Z,174909233485900
"Flop:  [8♥, 7♠, K♥]",2025-06-05T02:58:53.247Z,174909233324700
"""Jonah @ xrBY5OZYCv"" calls 70",2025-06-05T02:58:52.404Z,174909233240400
"""Stevo @ GBEr6xd4D5"" folds",2025-06-05T02:58:51.470Z,174909233147000
"""Spenny @ tDnYEvSdfx"" folds",2025-06-05T02:58:50.521Z,174909233052100
"""georgoeoge @ _sqcLETZ0C"" raises to 70",2025-06-05T02:58:47.616Z,174909232761600
"""arash @ 5YifPUu0Ym"" folds",2025-06-05T02:58:42.304Z,174909232230400
"""Jonah @ xrBY5OZYCv"" raises to 40",2025-06-05T02:58:40.195Z,174909232019500
"""Stevo @ GBEr6xd4D5"" posts a big blind of 20",2025-06-05T02:58:37.038Z,174909231703808
"""Spenny @ tDnYEvSdfx"" posts a small blind of 10",2025-06-05T02:58:37.038Z,174909231703807
"Your hand is 8♦, 5♠",2025-06-05T02:58:37.038Z,174909231703802
"Player stacks: #2 ""arash @ 5YifPUu0Ym"" (4040) | #3 ""georgoeoge @ _sqcLETZ0C"" (1560) | #4 ""Spenny @ tDnYEvSdfx"" (650) | #6 ""Stevo @ GBEr6xd4D5"" (1070) | #7 ""Jonah @ xrBY5OZYCv"" (680)",2025-06-05T02:58:37.038Z,174909231703801
"-- starting hand #134 (id: bspreau3wvhn)  (No Limit Texas Hold'em) (dealer: ""georgoeoge @ _sqcLETZ0C"") --",2025-06-05T02:58:37.038Z,174909231703800
"""georgoeoge @ _sqcLETZ0C"" shows a A♦, 8♥.",2025-06-05T02:58:31.107Z,174909231110700
"Undealt cards: 5♦, 3♣, 4♣, 2♥ [10♠]",2025-06-05T02:58:30.672Z,174909231067200
"-- ending hand #133 --",2025-06-05T02:58:30.431Z,174909231043102
"""Stevo @ GBEr6xd4D5"" collected 240 from pot",2025-06-05T02:58:30.431Z,174909231043101
"Uncalled bet of 100 returned to ""Stevo @ GBEr6xd4D5""",2025-06-05T02:58:30.431Z,174909231043100
"""arash @ 5YifPUu0Ym"" folds",2025-06-05T02:58:29.625Z,174909230962500
"""Stevo @ GBEr6xd4D5"" bets 100",2025-06-05T02:58:22.125Z,174909230212500
"Turn: 5♦, 3♣, 4♣ [2♥]",2025-06-05T02:58:19.293Z,174909229929300
"""georgoeoge @ _sqcLETZ0C"" folds",2025-06-05T02:58:18.450Z,174909229845000
"""arash @ 5YifPUu0Ym"" calls 50",2025-06-05T02:58:17.604Z,174909229760400
"""Stevo @ GBEr6xd4D5"" bets 50",2025-06-05T02:58:16.346Z,174909229634600
"""georgoeoge @ _sqcLETZ0C"" checks",2025-06-05T02:58:12.036Z,174909229203600
"Flop:  [5♦, 3♣, 4♣]",2025-06-05T02:58:09.722Z,174909228972200
"""Spenny @ tDnYEvSdfx"" folds",2025-06-05T02:58:08.919Z,174909228891900
"""georgoeoge @ _sqcLETZ0C"" calls 40",2025-06-05T02:58:02.532Z,174909228253200
"""arash @ 5YifPUu0Ym"" calls 40",2025-06-05T02:57:59.669Z,174909227966900
"""Jonah @ xrBY5OZYCv"" folds",2025-06-05T02:57:57.955Z,174909227795500
"""Stevo @ GBEr6xd4D5"" raises to 40",2025-06-05T02:57:57.054Z,174909227705400
"""Spenny @ tDnYEvSdfx"" posts a big blind of 20",2025-06-05T02:57:55.027Z,174909227502708
"""georgoeoge @ _sqcLETZ0C"" posts a small blind of 10",2025-06-05T02:57:55.027Z,174909227502707
