entry,at,order
"""arash @ 21jHaBYWIi"" posts a big blind of 20",2025-11-27T03:00:54.177Z,176421245417707
"""Jonah @ xrBY5OZYCv"" posts a small blind of 10",2025-11-27T03:00:54.177Z,176421245417706
"Your hand is 4♦, 10♦",2025-11-27T03:00:54.177Z,176421245417703
"Player stacks: #3 ""Jonah @ xrBY5OZYCv"" (1080) | #5 ""arash @ 21jHaBYWIi"" (2210) | #8 ""Stevo @ GBEr6xd4D5"" (740) | #10 ""Spenny @ tDnYEvSdfx"" (970)",2025-11-27T03:00:54.177Z,176421245417701
"-- starting hand #81 (id: rsshx1fpe9ja)  (No Limit Texas Hold'em) (dealer: ""Spenny @ tDnYEvSdfx"") --",2025-11-27T03:00:54.177Z,176421245417700
"""Spenny @ tDnYEvSdfx"" shows a Q♠, 2♠.",2025-11-27T03:00:52.111Z,176421245211100
"-- ending hand #80 --",2025-11-27T03:00:50.545Z,176421245054502
"""Spenny @ tDnYEvSdfx"" collected 140 from pot",2025-11-27T03:00:50.545Z,176421245054501
"Uncalled bet of 20 returned to ""Spenny @ tDnYEvSdfx""",2025-11-27T03:00:50.545Z,176421245054500
"""Stevo @ GBEr6xd4D5"" folds",2025-11-27T03:00:49.739Z,176421244973900
"""arash @ 21jHaBYWIi"" folds",2025-11-27T03:00:47.537Z,176421244753700
"""Spenny @ tDnYEvSdfx"" bets 20",2025-11-27T03:00:44.905Z,176421244490500
"River: K♥, 2♣, 5♠, 3♣ [8♥]",2025-11-27T03:00:42.342Z,176421244234200
"""Stevo @ GBEr6xd4D5"" checks",2025-11-27T03:00:41.533Z,176421244153300
"""arash @ 21jHaBYWIi"" checks",2025-11-27T03:00:40.246Z,176421244024600
"""Spenny @ tDnYEvSdfx"" checks",2025-11-27T03:00:39.338Z,176421243933800
"Turn: K♥, 2♣, 5♠ [3♣]",2025-11-27T03:00:36.252Z,176421243625200
"""Stevo @ GBEr6xd4D5"" calls 20",2025-11-27T03:00:35.385Z,176421243538500
"""arash @ 21jHaBYWIi"" calls 20",2025-11-27T03:00:34.405Z,176421243440500
"""Jonah @ xrBY5OZYCv"" folds",2025-11-27T03:00:33.451Z,176421243345100
"""Spenny @ tDnYEvSdfx"" bets 20",2025-11-27T03:00:16.605Z,176421241660500
"Flop:  [K♥, 2♣, 5♠]",2025-11-27T03:00:13.022Z,176421241302200
"""Jonah @ xrBY5OZYCv"" checks",2025-11-27T03:00:12.174Z,176421241217400
"""Spenny @ tDnYEvSdfx"" calls 20",2025-11-27T03:00:02.208Z,176421240220800
"""Stevo @ GBEr6xd4D5"" calls 20",2025-11-27T02:59:59.862Z,176421239986200
"""arash @ 21jHaBYWIi"" calls 20",2025-11-27T02:59:56.501Z,176421239650100
"""Jonah @ xrBY5OZYCv"" posts a big blind of 20",2025-11-27T02:59:55.331Z,176421239533107
"""Spenny @ tDnYEvSdfx"" posts a small blind of 10",2025-11-27T02:59:55.331Z,176421239533106
"Your hand is 7♦, 10♣",2025-11-27T02:59:55.331Z,176421239533103
"Player stacks: #3 ""Jonah @ xrBY5OZYCv"" (1100) | #5 ""arash @ 21jHaBYWIi"" (2250) | #8 ""Stevo @ GBEr6xd4D5"" (780) | #10 ""Spenny @ tDnYEvSdfx"" (870)",2025-11-27T02:59:55.331Z,176421239533101
"-- starting hand #80 (id: 7gmshcbvvnzb)  (No Limit Texas Hold'em) (dealer: ""Stevo @ GBEr6xd4D5"") --",2025-11-27T02:59:55.331Z,176421239533100
"Undealt cards: J♣, 3♥, 4♣, 9♠ [4♦]",2025-11-27T02:59:50.060Z,176421239006000
"-- ending hand #79 --",2025-11-27T02:59:49.407Z,176421238940702
"""Stevo @ GBEr6xd4D5"" collected 300 from pot",2025-11-27T02:59:49.407Z,176421238940701
"Uncalled bet of 100 returned to ""Stevo @ GBEr6xd4D5""",2025-11-27T02:59:49.407Z,176421238940700
"""arash @ 21jHaBYWIi"" folds",2025-11-27T02:59:48.592Z,176421238859200
"""Spenny @ tDnYEvSdfx"" folds",2025-11-27T02:59:47.638Z,176421238763800
"""Stevo @ GBEr6xd4D5"" bets 100",2025-11-27T02:59:42.386Z,176421238238600
"Turn: J♣, 3♥, 4♣ [9♠]",2025-11-27T02:59:39.596Z,176421237959600
"""arash @ 21jHaBYWIi"" calls 20",2025-11-27T02:59:38.737Z,176421237873700
"""Spenny @ tDnYEvSdfx"" calls 20",2025-11-27T02:59:37.822Z,176421237782200
"""Stevo @ GBEr6xd4D5"" bets 20",2025-11-27T02:59:35.543Z,176421237554300
"Flop:  [J♣, 3♥, 4♣]",2025-11-27T02:59:34.229Z,176421237422900
"""arash @ 21jHaBYWIi"" calls 80",2025-11-27T02:59:33.412Z,176421237341200
"""Spenny @ tDnYEvSdfx"" calls 80",2025-11-27T02:59:32.455Z,176421237245500
"""Stevo @ GBEr6xd4D5"" raises to 80",2025-11-27T02:59:28.850Z,176421236885000
"""arash @ 21jHaBYWIi"" calls 20",2025-11-27T02:59:26.418Z,176421236641800
"""Jonah @ xrBY5OZYCv"" folds",2025-11-27T02:59:25.489Z,176421236548900
"""Spenny @ tDnYEvSdfx"" posts a big blind of 20",2025-11-27T02:59:24.412Z,176421236441207
"""Stevo @ GBEr6xd4D5"" posts a small blind of 10",2025-11-27T02:59:24.412Z,176421236441206
"Your hand is 5♥, 10♦",2025-11-27T02:59:24.412Z,176421236441203
"Player stacks: #3 ""Jonah @ xrBY5OZYCv"" (1100) | #5 ""arash @ 21jHaBYWIi"" (2350) | #8 ""Stevo @ GBEr6xd4D5"" (580) | #10 ""Spenny @ tDnYEvSdfx"" (970)",2025-11-27T02:59:24.412Z,176421236441201
"-- starting hand #79 (id: wszipdc8bjax)  (No Limit Texas Hold'em) (dealer: ""arash @ 21jHaBYWIi"") --",2025-11-27T02:59:24.412Z,176421236441200
"-- ending hand #78 --",2025-11-27T02:59:21.501Z,176421236150102
"""Stevo @ GBEr6xd4D5"" collected 160 from pot",2025-11-27T02:59:21.501Z,176421236150101
"Uncalled bet of 70 returned to ""Stevo @ GBEr6xd4D5""",2025-11-27T02:59:21.501Z,176421236150100
"""arash @ 21jHaBYWIi"" folds",2025-11-27T02:59:20.668Z,176421236066800
"""Stevo @ GBEr6xd4D5"" bets 70",2025-11-27T02:59:19.723Z,176421235972300
"""arash @ 21jHaBYWIi"" checks",2025-11-27T02:59:17.695Z,176421235769500
"River: 7♠, 2♦, K♣, 5♠ [K♠]",2025-11-27T02:59:15.496Z,176421235549600
"""arash @ 21jHaBYWIi"" calls 20",2025-11-27T02:59:14.674Z,176421235467400
"""Spenny @ tDnYEvSdfx"" folds",2025-11-27T02:59:13.752Z,176421235375200
"""Stevo @ GBEr6xd4D5"" bets 20",2025-11-27T02:59:06.434Z,176421234643400
"""arash @ 21jHaBYWIi"" checks",2025-11-27T02:59:04.661Z,176421234466100
"Turn: 7♠, 2♦, K♣ [5♠]",2025-11-27T02:59:01.882Z,176421234188200
"""arash @ 21jHaBYWIi"" calls 20",2025-11-27T02:59:01.043Z,176421234104300
"""Spenny @ tDnYEvSdfx"" calls 20",2025-11-27T02:58:55.619Z,176421233561900
"""Stevo @ GBEr6xd4D5"" bets 20",2025-11-27T02:58:50.794Z,176421233079400
"""arash @ 21jHaBYWIi"" checks",2025-11-27T02:58:49.675Z,176421232967500
"Flop:  [7♠, 2♦, K♣]",2025-11-27T02:58:41.458Z,176421232145800
"""Stevo @ GBEr6xd4D5"" checks",2025-11-27T02:58:40.627Z,176421232062700
"""arash @ 21jHaBYWIi"" calls 20",2025-11-27T02:58:39.700Z,176421231970000
"""Jonah @ xrBY5OZYCv"" folds",2025-11-27T02:58:38.780Z,176421231878000
"""Spenny @ tDnYEvSdfx"" calls 20",2025-11-27T02:58:37.890Z,176421231789000
"""Stevo @ GBEr6xd4D5"" posts a big blind of 20",2025-11-27T02:58:34.909Z,176421231490907
"""arash @ 21jHaBYWIi"" posts a small blind of 10",2025-11-27T02:58:34.909Z,176421231490906
"Your hand is 6♠, 9♥",2025-11-27T02:58:34.909Z,176421231490903
"Player stacks: #3 ""Jonah @ xrBY5OZYCv"" (1100) | #5 ""arash @ 21jHaBYWIi"" (2410) | #8 ""Stevo @ GBEr6xd4D5"" (480) | #10 ""Spenny @ tDnYEvSdfx"" (1010)",2025-11-27T02:58:34.909Z,176421231490901
"-- starting hand #78 (id: k84v30zcor6w)  (No Limit Texas Hold'em) (dealer: ""Jonah @ xrBY5OZYCv"") --",2025-11-27T02:58:34.909Z,176421231490900
"-- ending hand #77 --",2025-11-27T02:58:31.988Z,176421231198802
"""arash @ 21jHaBYWIi"" collected 90 from pot",2025-11-27T02:58:31.988Z,176421231198801
"Uncalled bet of 60 returned to ""arash @ 21jHaBYWIi""",2025-11-27T02:58:31.988Z,176421231198800
"""Stevo @ GBEr6xd4D5"" folds",2025-11-27T02:58:31.153Z,176421231115300
"""arash @ 21jHaBYWIi"" bets 60",2025-11-27T02:58:29.613Z,176421230961300
