entry,at,order
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2022-03-18T02:00:59.357Z,164756885935708
"""arash @ huBdniBdCU"" posts a small blind of 10",2022-03-18T02:00:59.357Z,164756885935707
"Your hand is 8♥, 4♣",2022-03-18T02:00:59.357Z,164756885935706
"Player stacks: #1 ""Jonah @ KdrqU8EIQ1"" (2205) | #4 ""gerog @ G4RdqDSm6Z"" (1425) | #8 ""Stevo @ 5Ep7Sc0sJg"" (610) | #9 ""peelic @ c2JqQCu6sT"" (1560) | #10 ""arash @ huBdniBdCU"" (1200)",2022-03-18T02:00:59.357Z,164756885935701
"-- starting hand #57  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2022-03-18T02:00:59.357Z,164756885935700
"""gerog @ G4RdqDSm6Z"" shows a 3♦, 3♣.",2022-03-18T02:00:55.692Z,164756885569200
"""Stevo @ 5Ep7Sc0sJg"" shows a A♠, J♦.",2022-03-18T02:00:53.983Z,164756885398300
"-- ending hand #56 --",2022-03-18T02:00:52.345Z,164756885234502
"""arash @ huBdniBdCU"" collected 280 from pot with Flush, Ac High (combination: A♣, Q♣, 10♣, 7♣, 5♣, 4♣)",2022-03-18T02:00:52.345Z,164756885234501
"""arash @ huBdniBdCU"" shows a 3♥, Q♣.",2022-03-18T02:00:52.345Z,164756885234500
"""gerog @ G4RdqDSm6Z"" checks",2022-03-18T02:00:51.436Z,164756885143600
"""arash @ huBdniBdCU"" checks",2022-03-18T02:00:49.436Z,164756884943600
"River: 10♣, 5♣, 7♣, 4♣ [A♣]",2022-03-18T02:00:46.742Z,164756884674200
"""Jonah @ KdrqU8EIQ1"" folds",2022-03-18T02:00:45.785Z,164756884578500
"""arash @ huBdniBdCU"" calls 40",2022-03-18T02:00:44.304Z,164756884430400
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-03-18T02:00:42.662Z,164756884266200
"""gerog @ G4RdqDSm6Z"" bets 40",2022-03-18T02:00:41.765Z,164756884176500
"""Jonah @ KdrqU8EIQ1"" checks",2022-03-18T02:00:39.123Z,164756883912300
"""arash @ huBdniBdCU"" checks",2022-03-18T02:00:35.539Z,164756883553900
"""peelic @ c2JqQCu6sT"" folds",2022-03-18T02:00:33.755Z,164756883375500
"Turn: 10♣, 5♣, 7♣ [4♣]",2022-03-18T02:00:29.344Z,164756882934400
"""arash @ huBdniBdCU"" calls 20",2022-03-18T02:00:28.515Z,164756882851500
"""peelic @ c2JqQCu6sT"" calls 20",2022-03-18T02:00:27.466Z,164756882746600
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-03-18T02:00:26.530Z,164756882653000
"""gerog @ G4RdqDSm6Z"" calls 20",2022-03-18T02:00:25.547Z,164756882554700
"""Jonah @ KdrqU8EIQ1"" bets 20",2022-03-18T02:00:24.586Z,164756882458600
"""arash @ huBdniBdCU"" checks",2022-03-18T02:00:21.898Z,164756882189800
"""peelic @ c2JqQCu6sT"" checks",2022-03-18T02:00:19.138Z,164756881913800
"Flop:  [10♣, 5♣, 7♣]",2022-03-18T02:00:13.515Z,164756881351500
"""arash @ huBdniBdCU"" checks",2022-03-18T02:00:12.590Z,164756881259000
"""peelic @ c2JqQCu6sT"" calls 20",2022-03-18T02:00:11.283Z,164756881128300
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-03-18T02:00:10.346Z,164756881034600
"""gerog @ G4RdqDSm6Z"" calls 20",2022-03-18T02:00:09.324Z,164756880932400
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-03-18T02:00:05.773Z,164756880577300
"""arash @ huBdniBdCU"" posts a big blind of 20",2022-03-18T02:00:04.647Z,164756880464708
"""peelic @ c2JqQCu6sT"" posts a small blind of 10",2022-03-18T02:00:04.647Z,164756880464707
"Your hand is 3♥, Q♣",2022-03-18T02:00:04.647Z,164756880464706
"Player stacks: #1 ""Jonah @ KdrqU8EIQ1"" (2245) | #4 ""gerog @ G4RdqDSm6Z"" (1505) | #8 ""Stevo @ 5Ep7Sc0sJg"" (650) | #9 ""peelic @ c2JqQCu6sT"" (1600) | #10 ""arash @ huBdniBdCU"" (1000)",2022-03-18T02:00:04.647Z,164756880464701
"-- starting hand #56  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2022-03-18T02:00:04.647Z,164756880464700
"""Jonah @ KdrqU8EIQ1"" shows a 6♥, 4♠.",2022-03-18T01:59:59.215Z,164756879921500
"""Stevo @ 5Ep7Sc0sJg"" shows a 3♦, K♠.",2022-03-18T01:59:59.047Z,164756879904700
"-- ending hand #55 --",2022-03-18T01:59:57.608Z,164756879760802
"""gerog @ G4RdqDSm6Z"" collected 520 from pot with Two Pair, K's & 6's (combination: K♥, K♦, 6♠, 6♣, J♠)",2022-03-18T01:59:57.608Z,164756879760801
"""gerog @ G4RdqDSm6Z"" shows a K♥, 6♠.",2022-03-18T01:59:57.608Z,164756879760800
"""Jonah @ KdrqU8EIQ1"" calls 120",2022-03-18T01:59:56.765Z,164756879676500
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-03-18T01:59:53.663Z,164756879366300
"""gerog @ G4RdqDSm6Z"" raises to 120",2022-03-18T01:59:48.535Z,164756878853500
"""Jonah @ KdrqU8EIQ1"" bets 60",2022-03-18T01:59:46.641Z,164756878664100
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-03-18T01:59:44.094Z,164756878409400
"River: 4♥, J♠, K♦, 6♣ [10♣]",2022-03-18T01:59:42.594Z,164756878259400
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2022-03-18T01:59:41.709Z,164756878170900
"""gerog @ G4RdqDSm6Z"" calls 40",2022-03-18T01:59:40.770Z,164756878077000
"""Jonah @ KdrqU8EIQ1"" raises to 40",2022-03-18T01:59:38.337Z,164756877833700
"""peelic @ c2JqQCu6sT"" folds",2022-03-18T01:59:36.414Z,164756877641400
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2022-03-18T01:59:32.020Z,164756877202000
"Turn: 4♥, J♠, K♦ [6♣]",2022-03-18T01:59:30.984Z,164756877098400
"""gerog @ G4RdqDSm6Z"" calls 20",2022-03-18T01:59:30.139Z,164756877013900
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-03-18T01:59:29.158Z,164756876915800
"""peelic @ c2JqQCu6sT"" calls 20",2022-03-18T01:59:28.236Z,164756876823600
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2022-03-18T01:59:24.793Z,164756876479300
"Flop:  [4♥, J♠, K♦]",2022-03-18T01:59:23.378Z,164756876337800
"""peelic @ c2JqQCu6sT"" checks",2022-03-18T01:59:22.463Z,164756876246300
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-03-18T01:59:21.543Z,164756876154300
"""gerog @ G4RdqDSm6Z"" calls 20",2022-03-18T01:59:20.614Z,164756876061400
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-03-18T01:59:19.070Z,164756875907000
"""arash @ huBdniBdCU"" folds",2022-03-18T01:59:18.128Z,164756875812800
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2022-03-18T01:59:13.575Z,164756875357508
"""Stevo @ 5Ep7Sc0sJg"" posts a small blind of 10",2022-03-18T01:59:13.575Z,164756875357507
"Your hand is 8♣, 3♠",2022-03-18T01:59:13.575Z,164756875357506
