entry,at,order
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2021-10-22T02:03:19.861Z,163486819986109
"""spange @ _e9FlRM2o-"" posts a small blind of 10",2021-10-22T02:03:19.861Z,163486819986108
"Your hand is 2♠, 8♣",2021-10-22T02:03:19.861Z,163486819986104
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (2830) | #2 ""spenny @ JLl85HIr5u"" (820) | #3 ""arash @ huBdniBdCU"" (1080) | #5 ""Jonah @ KdrqU8EIQ1"" (3090) | #8 ""grrgrgr @ G4RdqDSm6Z"" (680) | #9 ""spange @ _e9FlRM2o-"" (500)",2021-10-22T02:03:19.861Z,163486819986101
"-- starting hand #95  (No Limit Texas Hold'em) (dealer: ""grrgrgr @ G4RdqDSm6Z"") --",2021-10-22T02:03:19.861Z,163486819986100
"-- ending hand #94 --",2021-10-22T02:03:13.829Z,163486819382901
"""arash @ huBdniBdCU"" collected 1080 from pot with Two Pair, 9's & 3's (combination: 9♣, 9♥, 3♥, 3♠, K♣)",2021-10-22T02:03:13.829Z,163486819382900
"River: 4♠, 9♥, 3♥, 3♠ [K♣]",2021-10-22T02:03:09.810Z,163486818981000
"Turn: 4♠, 9♥, 3♥ [3♠]",2021-10-22T02:03:05.780Z,163486818578000
"""Jonah @ KdrqU8EIQ1"" shows a A♥, 2♦.",2021-10-22T02:03:01.759Z,163486818175901
"""arash @ huBdniBdCU"" shows a 8♣, 9♣.",2021-10-22T02:03:01.759Z,163486818175900
"""peelic @ c2JqQCu6sT"" folds",2021-10-22T02:03:00.949Z,163486818094900
"""Jonah @ KdrqU8EIQ1"" calls 410",2021-10-22T02:02:52.976Z,163486817297600
"""arash @ huBdniBdCU"" raises to 410 and go all in",2021-10-22T02:02:50.759Z,163486817075900
"""peelic @ c2JqQCu6sT"" calls 160",2021-10-22T02:02:47.061Z,163486816706100
"""spange @ _e9FlRM2o-"" folds",2021-10-22T02:02:44.911Z,163486816491100
"""grrgrgr @ G4RdqDSm6Z"" folds",2021-10-22T02:02:42.450Z,163486816245000
"""Jonah @ KdrqU8EIQ1"" raises to 160",2021-10-22T02:02:41.563Z,163486816156300
"""arash @ huBdniBdCU"" calls 80",2021-10-22T02:02:37.355Z,163486815735500
"""peelic @ c2JqQCu6sT"" bets 80",2021-10-22T02:02:34.211Z,163486815421100
"""spange @ _e9FlRM2o-"" checks",2021-10-22T02:02:31.569Z,163486815156900
"""grrgrgr @ G4RdqDSm6Z"" checks",2021-10-22T02:02:28.123Z,163486814812300
"Flop:  [4♠, 9♥, 3♥]",2021-10-22T02:02:26.183Z,163486814618300
"""spange @ _e9FlRM2o-"" checks",2021-10-22T02:02:25.377Z,163486814537700
"""grrgrgr @ G4RdqDSm6Z"" calls 20",2021-10-22T02:02:19.283Z,163486813928300
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-10-22T02:02:17.830Z,163486813783000
"""arash @ huBdniBdCU"" calls 20",2021-10-22T02:02:15.928Z,163486813592800
"""spenny @ JLl85HIr5u"" folds",2021-10-22T02:02:14.386Z,163486813438600
