entry,at,order
"""Stevo @ aL5upxHjBA"" posts a big blind of 20",2021-08-06T02:01:45.039Z,162821530503909
"""Spenny @ cu8vqwqurV"" posts a small blind of 10",2021-08-06T02:01:45.039Z,162821530503908
"Your hand is 5♥, 10♦",2021-08-06T02:01:45.039Z,162821530503902
"Player stacks: #1 ""arash @ huBdniBdCU"" (1797) | #2 ""Spenny @ cu8vqwqurV"" (560) | #3 ""Stevo @ aL5upxHjBA"" (4445) | #4 ""peelic @ c2JqQCu6sT"" (1961) | #7 ""egree @ G4RdqDSm6Z"" (2490) | #9 ""Jonah @ KdrqU8EIQ1"" (731)",2021-08-06T02:01:45.039Z,162821530503901
"-- starting hand #106  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2021-08-06T02:01:45.039Z,162821530503900
"""Spenny @ cu8vqwqurV"" shows a 4♣, K♠.",2021-08-06T02:01:42.279Z,162821530227900
"-- ending hand #105 --",2021-08-06T02:01:38.508Z,162821529850802
"""arash @ huBdniBdCU"" collected 920 from pot with Full House, 4's over J's (combination: 4♠, 4♥, 4♦, J♥, J♦)",2021-08-06T02:01:38.508Z,162821529850801
"""arash @ huBdniBdCU"" shows a 4♠, 4♥.",2021-08-06T02:01:38.508Z,162821529850800
"""Jonah @ KdrqU8EIQ1"" folds",2021-08-06T02:01:37.670Z,162821529767000
"""peelic @ c2JqQCu6sT"" calls 150",2021-08-06T02:01:04.914Z,162821526491400
"""Stevo @ aL5upxHjBA"" folds",2021-08-06T02:01:04.023Z,162821526402300
"""Spenny @ cu8vqwqurV"" folds",2021-08-06T02:01:03.123Z,162821526312300
"""arash @ huBdniBdCU"" bets 150",2021-08-06T02:01:01.301Z,162821526130100
"River: J♥, J♦, 4♦, Q♣ [7♣]",2021-08-06T02:00:55.295Z,162821525529500
"""peelic @ c2JqQCu6sT"" calls 60",2021-08-06T02:00:54.475Z,162821525447500
"""Stevo @ aL5upxHjBA"" calls 60",2021-08-06T02:00:50.547Z,162821525054700
"""Spenny @ cu8vqwqurV"" calls 60",2021-08-06T02:00:49.494Z,162821524949400
"""arash @ huBdniBdCU"" calls 60",2021-08-06T02:00:48.186Z,162821524818600
"""Jonah @ KdrqU8EIQ1"" raises to 60",2021-08-06T02:00:44.288Z,162821524428800
"""peelic @ c2JqQCu6sT"" calls 20",2021-08-06T02:00:42.443Z,162821524244300
"""Stevo @ aL5upxHjBA"" calls 20",2021-08-06T02:00:41.084Z,162821524108400
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-06T02:00:40.159Z,162821524015900
"""arash @ huBdniBdCU"" bets 20",2021-08-06T02:00:38.930Z,162821523893000
"Turn: J♥, J♦, 4♦ [Q♣]",2021-08-06T02:00:34.598Z,162821523459800
"""Stevo @ aL5upxHjBA"" calls 40",2021-08-06T02:00:33.792Z,162821523379200
"""Spenny @ cu8vqwqurV"" calls 40",2021-08-06T02:00:32.619Z,162821523261900
"""arash @ huBdniBdCU"" calls 40",2021-08-06T02:00:31.758Z,162821523175800
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-08-06T02:00:28.556Z,162821522855600
"""egree @ G4RdqDSm6Z"" folds",2021-08-06T02:00:27.690Z,162821522769000
"""peelic @ c2JqQCu6sT"" raises to 40",2021-08-06T02:00:26.828Z,162821522682800
"""Stevo @ aL5upxHjBA"" calls 20",2021-08-06T02:00:23.958Z,162821522395800
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-06T02:00:23.046Z,162821522304600
"""arash @ huBdniBdCU"" bets 20",2021-08-06T02:00:21.759Z,162821522175900
"Flop:  [J♥, J♦, 4♦]",2021-08-06T02:00:11.069Z,162821521106900
"""Spenny @ cu8vqwqurV"" checks",2021-08-06T02:00:10.246Z,162821521024600
"""arash @ huBdniBdCU"" calls 20",2021-08-06T02:00:09.382Z,162821520938200
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-08-06T02:00:08.445Z,162821520844500
"""egree @ G4RdqDSm6Z"" calls 20",2021-08-06T02:00:06.427Z,162821520642700
"""peelic @ c2JqQCu6sT"" calls 20",2021-08-06T01:59:46.382Z,162821518638200
"""Stevo @ aL5upxHjBA"" calls 20",2021-08-06T01:59:45.490Z,162821518549000
"""Spenny @ cu8vqwqurV"" posts a big blind of 20",2021-08-06T01:59:44.379Z,162821518437909
"""arash @ huBdniBdCU"" posts a small blind of 10",2021-08-06T01:59:44.379Z,162821518437908
"Your hand is 4♠, 4♥",2021-08-06T01:59:44.379Z,162821518437902
"Player stacks: #1 ""arash @ huBdniBdCU"" (1147) | #2 ""Spenny @ cu8vqwqurV"" (680) | #3 ""Stevo @ aL5upxHjBA"" (4565) | #4 ""peelic @ c2JqQCu6sT"" (2231) | #7 ""egree @ G4RdqDSm6Z"" (2510) | #9 ""Jonah @ KdrqU8EIQ1"" (851)",2021-08-06T01:59:44.379Z,162821518437901
"-- starting hand #105  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2021-08-06T01:59:44.379Z,162821518437900
"""Stevo @ aL5upxHjBA"" shows a 4♥, Q♥.",2021-08-06T01:59:41.204Z,162821518120400
"-- ending hand #104 --",2021-08-06T01:59:40.731Z,162821518073102
"""Jonah @ KdrqU8EIQ1"" collected 200 from pot",2021-08-06T01:59:40.731Z,162821518073101
"Uncalled bet of 651 returned to ""Jonah @ KdrqU8EIQ1""",2021-08-06T01:59:40.731Z,162821518073100
"""peelic @ c2JqQCu6sT"" folds",2021-08-06T01:59:39.922Z,162821517992200
"""Stevo @ aL5upxHjBA"" folds",2021-08-06T01:59:39.031Z,162821517903100
"""Jonah @ KdrqU8EIQ1"" bets 651 and go all in",2021-08-06T01:59:37.837Z,162821517783700
"Turn: K♠, 10♦, 8♣ [A♣]",2021-08-06T01:59:33.638Z,162821517363800
"""peelic @ c2JqQCu6sT"" calls 20",2021-08-06T01:59:32.830Z,162821517283000
"""Stevo @ aL5upxHjBA"" calls 20",2021-08-06T01:59:24.357Z,162821516435700
"""Jonah @ KdrqU8EIQ1"" bets 20",2021-08-06T01:59:22.840Z,162821516284000
"Flop:  [K♠, 10♦, 8♣]",2021-08-06T01:59:19.703Z,162821515970300
"""peelic @ c2JqQCu6sT"" calls 40",2021-08-06T01:59:18.895Z,162821515889500
"""Stevo @ aL5upxHjBA"" calls 40",2021-08-06T01:59:18.003Z,162821515800300
"""arash @ huBdniBdCU"" folds",2021-08-06T01:59:16.601Z,162821515660100
"""Jonah @ KdrqU8EIQ1"" raises to 40",2021-08-06T01:59:13.134Z,162821515313400
"""egree @ G4RdqDSm6Z"" folds",2021-08-06T01:59:05.125Z,162821514512500
"""peelic @ c2JqQCu6sT"" calls 20",2021-08-06T01:59:04.263Z,162821514426300
"""Stevo @ aL5upxHjBA"" calls 20",2021-08-06T01:58:59.851Z,162821513985100
"""Spenny @ cu8vqwqurV"" folds",2021-08-06T01:58:58.629Z,162821513862900
"""arash @ huBdniBdCU"" posts a big blind of 20",2021-08-06T01:58:54.962Z,162821513496209
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2021-08-06T01:58:54.962Z,162821513496208
"Your hand is J♥, 8♦",2021-08-06T01:58:54.962Z,162821513496202
"Player stacks: #1 ""arash @ huBdniBdCU"" (1167) | #2 ""Spenny @ cu8vqwqurV"" (680) | #3 ""Stevo @ aL5upxHjBA"" (4625) | #4 ""peelic @ c2JqQCu6sT"" (2291) | #7 ""egree @ G4RdqDSm6Z"" (2510) | #9 ""Jonah @ KdrqU8EIQ1"" (711)",2021-08-06T01:58:54.962Z,162821513496201
"-- starting hand #104  (No Limit Texas Hold'em) (dealer: ""egree @ G4RdqDSm6Z"") --",2021-08-06T01:58:54.962Z,162821513496200
"""Stevo @ aL5upxHjBA"" shows a 6♥, 9♦.",2021-08-06T01:58:50.093Z,162821513009300
"""egree @ G4RdqDSm6Z"" shows a J♥, J♠.",2021-08-06T01:58:49.991Z,162821512999100
"-- ending hand #103 --",2021-08-06T01:58:47.951Z,162821512795102
"""arash @ huBdniBdCU"" collected 666 from pot with Two Pair, Q's & 10's (combination: Q♥, Q♠, 10♣, 10♦, K♥)",2021-08-06T01:58:47.951Z,162821512795101
"""arash @ huBdniBdCU"" shows a 10♣, K♥.",2021-08-06T01:58:47.951Z,162821512795100
"""peelic @ c2JqQCu6sT"" checks",2021-08-06T01:58:47.146Z,162821512714600
"""arash @ huBdniBdCU"" checks",2021-08-06T01:58:46.258Z,162821512625800
"River: 10♦, 4♠, 8♦, Q♥ [Q♠]",2021-08-06T01:58:42.103Z,162821512210300
"""peelic @ c2JqQCu6sT"" calls 50",2021-08-06T01:58:41.296Z,162821512129600
"""Stevo @ aL5upxHjBA"" folds",2021-08-06T01:58:38.139Z,162821511813900
"""arash @ huBdniBdCU"" bets 50",2021-08-06T01:58:36.864Z,162821511686400
"Turn: 10♦, 4♠, 8♦ [Q♥]",2021-08-06T01:58:30.781Z,162821511078100
"""Jonah @ KdrqU8EIQ1"" folds",2021-08-06T01:58:29.969Z,162821510996900
"""peelic @ c2JqQCu6sT"" calls 80",2021-08-06T01:58:29.109Z,162821510910900
"""Stevo @ aL5upxHjBA"" calls 80",2021-08-06T01:58:28.221Z,162821510822100
"""arash @ huBdniBdCU"" raises to 80",2021-08-06T01:58:26.784Z,162821510678400
"""Jonah @ KdrqU8EIQ1"" bets 20",2021-08-06T01:58:22.239Z,162821510223900
"Flop:  [10♦, 4♠, 8♦]",2021-08-06T01:58:19.097Z,162821509909700
"""Spenny @ cu8vqwqurV"" folds",2021-08-06T01:58:18.285Z,162821509828500
"""arash @ huBdniBdCU"" calls 69",2021-08-06T01:58:17.412Z,162821509741200
"""Jonah @ KdrqU8EIQ1"" calls 69",2021-08-06T01:58:15.687Z,162821509568700
"""egree @ G4RdqDSm6Z"" folds",2021-08-06T01:58:14.823Z,162821509482300
"""peelic @ c2JqQCu6sT"" calls 69",2021-08-06T01:58:13.277Z,162821509327700
"""Stevo @ aL5upxHjBA"" raises to 69",2021-08-06T01:58:07.923Z,162821508792300
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-06T01:58:05.704Z,162821508570400
"""arash @ huBdniBdCU"" calls 20",2021-08-06T01:58:03.895Z,162821508389500
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2021-08-06T01:58:01.691Z,162821508169109
"""egree @ G4RdqDSm6Z"" posts a small blind of 10",2021-08-06T01:58:01.691Z,162821508169108
"Your hand is 10♣, K♥",2021-08-06T01:58:01.691Z,162821508169102
"Player stacks: #1 ""arash @ huBdniBdCU"" (700) | #2 ""Spenny @ cu8vqwqurV"" (700) | #3 ""Stevo @ aL5upxHjBA"" (4774) | #4 ""peelic @ c2JqQCu6sT"" (2490) | #7 ""egree @ G4RdqDSm6Z"" (2520) | #9 ""Jonah @ KdrqU8EIQ1"" (800)",2021-08-06T01:58:01.691Z,162821508169101
"-- starting hand #103  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2021-08-06T01:58:01.691Z,162821508169100
"""Spenny @ cu8vqwqurV"" shows a 4♦, 6♠.",2021-08-06T01:57:59.229Z,162821507922900
"""egree @ G4RdqDSm6Z"" shows a 2♥, 10♥.",2021-08-06T01:57:57.974Z,162821507797400
"""Stevo @ aL5upxHjBA"" shows a J♦, Q♥.",2021-08-06T01:57:57.190Z,162821507719000
"-- ending hand #102 --",2021-08-06T01:57:56.677Z,162821507667702
"""Stevo @ aL5upxHjBA"" collected 200 from pot",2021-08-06T01:57:56.677Z,162821507667701
"Uncalled bet of 80 returned to ""Stevo @ aL5upxHjBA""",2021-08-06T01:57:56.677Z,162821507667700
"""Spenny @ cu8vqwqurV"" folds",2021-08-06T01:57:55.855Z,162821507585500
"""Stevo @ aL5upxHjBA"" bets 80",2021-08-06T01:57:50.467Z,162821507046700
"""Spenny @ cu8vqwqurV"" checks",2021-08-06T01:57:47.440Z,162821506744000
"River: 7♦, 5♣, Q♦, 9♥ [J♠]",2021-08-06T01:57:45.351Z,162821506535100
"""Stevo @ aL5upxHjBA"" checks",2021-08-06T01:57:44.543Z,162821506454300
"""Spenny @ cu8vqwqurV"" checks",2021-08-06T01:57:43.609Z,162821506360900
"Turn: 7♦, 5♣, Q♦ [9♥]",2021-08-06T01:57:40.273Z,162821506027300
"""Spenny @ cu8vqwqurV"" calls 40",2021-08-06T01:57:39.459Z,162821505945900
"""arash @ huBdniBdCU"" folds",2021-08-06T01:57:38.538Z,162821505853800
"""Jonah @ KdrqU8EIQ1"" folds",2021-08-06T01:57:36.641Z,162821505664100
"""egree @ G4RdqDSm6Z"" folds",2021-08-06T01:57:35.686Z,162821505568600
"""peelic @ c2JqQCu6sT"" folds",2021-08-06T01:57:34.825Z,162821505482500
"""Stevo @ aL5upxHjBA"" bets 40",2021-08-06T01:57:33.889Z,162821505388900
