entry,at,order
"""Spenny @ -afoiXCW7F"" posts a big blind of 20",2022-02-18T03:01:32.814Z,164515329281409
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2022-02-18T03:01:32.814Z,164515329281408
"Your hand is 5♠, 9♦",2022-02-18T03:01:32.814Z,164515329281407
"Player stacks: #2 ""Stevo @ 5Ep7Sc0sJg"" (2160) | #3 ""gegre @ G4RdqDSm6Z"" (900) | #4 ""peelic @ c2JqQCu6sT"" (1380) | #5 ""Jonah @ KdrqU8EIQ1"" (2240) | #6 ""Spenny @ -afoiXCW7F"" (290) | #8 ""arash @ huBdniBdCU"" (1030)",2022-02-18T03:01:32.814Z,164515329281401
"-- starting hand #99  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2022-02-18T03:01:32.814Z,164515329281400
"""gegre @ G4RdqDSm6Z"" shows a A♥, 9♣.",2022-02-18T03:01:30.493Z,164515329049300
"""Stevo @ 5Ep7Sc0sJg"" shows a Q♣, A♠.",2022-02-18T03:01:29.126Z,164515328912600
"-- ending hand #98 --",2022-02-18T03:01:28.409Z,164515328840902
"""Jonah @ KdrqU8EIQ1"" collected 340 from pot",2022-02-18T03:01:28.409Z,164515328840901
"Uncalled bet of 160 returned to ""Jonah @ KdrqU8EIQ1""",2022-02-18T03:01:28.409Z,164515328840900
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-02-18T03:01:27.527Z,164515328752700
"""Jonah @ KdrqU8EIQ1"" bets 160",2022-02-18T03:01:26.078Z,164515328607800
"River: 10♣, 8♠, K♦, 9♠ [3♣]",2022-02-18T03:01:20.197Z,164515328019700
"""peelic @ c2JqQCu6sT"" folds",2022-02-18T03:01:19.276Z,164515327927600
"""gegre @ G4RdqDSm6Z"" folds",2022-02-18T03:01:18.275Z,164515327827500
"""Stevo @ 5Ep7Sc0sJg"" calls 60",2022-02-18T03:01:13.158Z,164515327315800
"""Spenny @ -afoiXCW7F"" folds",2022-02-18T03:01:12.243Z,164515327224300
"""Jonah @ KdrqU8EIQ1"" bets 60",2022-02-18T03:01:04.517Z,164515326451700
"""peelic @ c2JqQCu6sT"" checks",2022-02-18T03:01:01.876Z,164515326187600
"Turn: 10♣, 8♠, K♦ [9♠]",2022-02-18T03:01:00.591Z,164515326059100
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-02-18T03:00:59.678Z,164515325967800
"""peelic @ c2JqQCu6sT"" calls 20",2022-02-18T03:00:58.547Z,164515325854700
"""gegre @ G4RdqDSm6Z"" calls 20",2022-02-18T03:00:57.623Z,164515325762300
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-02-18T03:00:56.761Z,164515325676100
"""arash @ huBdniBdCU"" folds",2022-02-18T03:00:55.837Z,164515325583700
"""Spenny @ -afoiXCW7F"" bets 20",2022-02-18T03:00:51.134Z,164515325113400
"""Jonah @ KdrqU8EIQ1"" checks",2022-02-18T03:00:49.123Z,164515324912300
"""peelic @ c2JqQCu6sT"" checks",2022-02-18T03:00:47.509Z,164515324750900
"Flop:  [10♣, 8♠, K♦]",2022-02-18T03:00:45.784Z,164515324578400
"""Jonah @ KdrqU8EIQ1"" checks",2022-02-18T03:00:44.947Z,164515324494700
"""peelic @ c2JqQCu6sT"" calls 20",2022-02-18T03:00:44.025Z,164515324402500
"""gegre @ G4RdqDSm6Z"" calls 20",2022-02-18T03:00:43.094Z,164515324309400
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-02-18T03:00:42.153Z,164515324215300
"""arash @ huBdniBdCU"" calls 20",2022-02-18T03:00:41.201Z,164515324120100
"""Spenny @ -afoiXCW7F"" calls 20",2022-02-18T03:00:39.902Z,164515323990200
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2022-02-18T03:00:34.726Z,164515323472609
"""peelic @ c2JqQCu6sT"" posts a small blind of 10",2022-02-18T03:00:34.726Z,164515323472608
"Your hand is 7♥, Q♦",2022-02-18T03:00:34.726Z,164515323472607
"Player stacks: #2 ""Stevo @ 5Ep7Sc0sJg"" (2260) | #3 ""gegre @ G4RdqDSm6Z"" (940) | #4 ""peelic @ c2JqQCu6sT"" (1420) | #5 ""Jonah @ KdrqU8EIQ1"" (2000) | #6 ""Spenny @ -afoiXCW7F"" (330) | #8 ""arash @ huBdniBdCU"" (1050)",2022-02-18T03:00:34.726Z,164515323472601
"-- starting hand #98  (No Limit Texas Hold'em) (dealer: ""gegre @ G4RdqDSm6Z"") --",2022-02-18T03:00:34.726Z,164515323472600
"""Jonah @ KdrqU8EIQ1"" shows a 7♦, 9♠.",2022-02-18T03:00:29.995Z,164515322999500
"""Stevo @ 5Ep7Sc0sJg"" shows a 4♦, 8♣.",2022-02-18T03:00:29.330Z,164515322933000
"-- ending hand #97 --",2022-02-18T03:00:27.648Z,164515322764802
"""peelic @ c2JqQCu6sT"" collected 420 from pot with Two Pair, 10's & 6's (combination: 10♥, 10♦, 6♣, 6♠, K♥)",2022-02-18T03:00:27.648Z,164515322764801
"""peelic @ c2JqQCu6sT"" shows a 6♣, 10♥.",2022-02-18T03:00:27.648Z,164515322764800
"""Spenny @ -afoiXCW7F"" folds",2022-02-18T03:00:26.751Z,164515322675100
"""Jonah @ KdrqU8EIQ1"" calls 100",2022-02-18T03:00:18.793Z,164515321879300
"""peelic @ c2JqQCu6sT"" bets 100",2022-02-18T03:00:17.000Z,164515321700000
"River: K♥, 10♦, 7♣, 6♠ [9♣]",2022-02-18T03:00:13.813Z,164515321381300
"""Spenny @ -afoiXCW7F"" calls 20",2022-02-18T03:00:12.976Z,164515321297600
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-02-18T03:00:10.124Z,164515321012400
"""peelic @ c2JqQCu6sT"" bets 20",2022-02-18T03:00:09.138Z,164515320913800
"Turn: K♥, 10♦, 7♣ [6♠]",2022-02-18T03:00:05.726Z,164515320572600
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-02-18T03:00:04.873Z,164515320487300
"""peelic @ c2JqQCu6sT"" calls 20",2022-02-18T03:00:03.411Z,164515320341100
"""gegre @ G4RdqDSm6Z"" folds",2022-02-18T03:00:02.466Z,164515320246600
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-02-18T03:00:01.511Z,164515320151100
"""Spenny @ -afoiXCW7F"" bets 20",2022-02-18T02:59:59.829Z,164515319982900
"""Jonah @ KdrqU8EIQ1"" checks",2022-02-18T02:59:54.244Z,164515319424400
"""peelic @ c2JqQCu6sT"" checks",2022-02-18T02:59:52.074Z,164515319207400
"""gegre @ G4RdqDSm6Z"" checks",2022-02-18T02:59:51.028Z,164515319102800
"Flop:  [K♥, 10♦, 7♣]",2022-02-18T02:59:49.306Z,164515318930600
"""peelic @ c2JqQCu6sT"" checks",2022-02-18T02:59:48.435Z,164515318843500
"""gegre @ G4RdqDSm6Z"" calls 20",2022-02-18T02:59:46.829Z,164515318682900
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-02-18T02:59:45.886Z,164515318588600
"""arash @ huBdniBdCU"" folds",2022-02-18T02:59:44.990Z,164515318499000
"""Spenny @ -afoiXCW7F"" calls 20",2022-02-18T02:59:44.032Z,164515318403200
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-02-18T02:59:42.325Z,164515318232500
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2022-02-18T02:59:41.397Z,164515318139709
"""gegre @ G4RdqDSm6Z"" posts a small blind of 10",2022-02-18T02:59:41.397Z,164515318139708
"Your hand is 3♠, 9♦",2022-02-18T02:59:41.397Z,164515318139707
"Player stacks: #2 ""Stevo @ 5Ep7Sc0sJg"" (2280) | #3 ""gegre @ G4RdqDSm6Z"" (960) | #4 ""peelic @ c2JqQCu6sT"" (1160) | #5 ""Jonah @ KdrqU8EIQ1"" (2160) | #6 ""Spenny @ -afoiXCW7F"" (390) | #8 ""arash @ huBdniBdCU"" (1050)",2022-02-18T02:59:41.397Z,164515318139701
"-- starting hand #97  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2022-02-18T02:59:41.397Z,164515318139700
"Undealt cards: 8♥, 10♦, 4♠, 6♥ [J♠]",2022-02-18T02:59:37.152Z,164515317715200
"-- ending hand #96 --",2022-02-18T02:59:35.401Z,164515317540102
"""arash @ huBdniBdCU"" collected 360 from pot",2022-02-18T02:59:35.401Z,164515317540101
"Uncalled bet of 80 returned to ""arash @ huBdniBdCU""",2022-02-18T02:59:35.401Z,164515317540100
"""peelic @ c2JqQCu6sT"" folds",2022-02-18T02:59:34.579Z,164515317457900
"""arash @ huBdniBdCU"" bets 80",2022-02-18T02:59:30.873Z,164515317087300
"""peelic @ c2JqQCu6sT"" checks",2022-02-18T02:59:27.755Z,164515316775500
"Turn: 8♥, 10♦, 4♠ [6♥]",2022-02-18T02:59:25.794Z,164515316579400
