entry,at,order
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2021-09-10T02:01:27.459Z,163123928745910
"""grgrgreree @ G4RdqDSm6Z"" posts a small blind of 10",2021-09-10T02:01:27.459Z,163123928745909
"Your hand is A♦, 7♣",2021-09-10T02:01:27.459Z,163123928745908
"Player stacks: #1 ""Stevo @ aL5upxHjBA"" (1245) | #2 ""grgrgreree @ G4RdqDSm6Z"" (1420) | #3 ""Jonah @ KdrqU8EIQ1"" (1600) | #4 ""Spenny @ cu8vqwqurV"" (1000) | #9 ""peelic @ c2JqQCu6sT"" (1852) | #10 ""arash @ huBdniBdCU"" (2883)",2021-09-10T02:01:27.459Z,163123928745902
"-- starting hand #109  (No Limit Texas Hold'em) (dealer: ""Stevo @ aL5upxHjBA"") --",2021-09-10T02:01:27.459Z,163123928745901
"The player ""Spenny @ cu8vqwqurV"" joined the game with a stack of 1000.",2021-09-10T02:01:27.459Z,163123928745900
"""arash @ huBdniBdCU"" shows a K♠, 10♠.",2021-09-10T02:01:26.194Z,163123928619400
"""Stevo @ aL5upxHjBA"" shows a 4♥, 10♣.",2021-09-10T02:01:24.737Z,163123928473700
"""grgrgreree @ G4RdqDSm6Z"" shows a 7♦, 2♠.",2021-09-10T02:01:23.662Z,163123928366200
"-- ending hand #108 --",2021-09-10T02:01:22.448Z,163123928244802
"""arash @ huBdniBdCU"" collected 580 from pot",2021-09-10T02:01:22.448Z,163123928244801
"Uncalled bet of 300 returned to ""arash @ huBdniBdCU""",2021-09-10T02:01:22.448Z,163123928244800
"""Jonah @ KdrqU8EIQ1"" folds",2021-09-10T02:01:21.641Z,163123928164100
"""arash @ huBdniBdCU"" bets 300",2021-09-10T02:01:18.319Z,163123927831900
"""Jonah @ KdrqU8EIQ1"" checks",2021-09-10T02:01:11.935Z,163123927193500
"River: Q♦, 5♣, J♥, A♥ [2♣]",2021-09-10T02:01:09.805Z,163123926980500
"""arash @ huBdniBdCU"" calls 40",2021-09-10T02:01:09.001Z,163123926900100
"""Jonah @ KdrqU8EIQ1"" bets 40",2021-09-10T02:01:04.139Z,163123926413900
"The admin approved the player ""Spenny @ cu8vqwqurV"" participation with a stack of 1000.",2021-09-10T02:01:03.399Z,163123926339900
"Turn: Q♦, 5♣, J♥ [A♥]",2021-09-10T02:00:57.736Z,163123925773600
