entry,at,order
"""arash @ huBdniBdCU"" posts a big blind of 20",2021-05-14T02:02:33.734Z,162095775373509
"""Spenny @ EBDQ42JVqp"" posts a small blind of 10",2021-05-14T02:02:33.734Z,162095775373508
"Your hand is 4♦, Q♠",2021-05-14T02:02:33.734Z,162095775373507
"Player stacks: #1 ""Stevo @ aL5upxHjBA"" (2354) | #2 ""peelic @ c2JqQCu6sT"" (695) | #3 ""Jonah @ KdrqU8EIQ1"" (1082) | #4 ""greg @ G4RdqDSm6Z"" (967) | #5 ""Spenny @ EBDQ42JVqp"" (2710) | #10 ""arash @ huBdniBdCU"" (2192)",2021-05-14T02:02:33.734Z,162095775373501
"-- starting hand #88  (No Limit Texas Hold'em) (dealer: ""greg @ G4RdqDSm6Z"") --",2021-05-14T02:02:33.734Z,162095775373500
"""peelic @ c2JqQCu6sT"" shows a Q♠, 10♠.",2021-05-14T02:02:29.361Z,162095774936100
"""Spenny @ EBDQ42JVqp"" shows a 10♦, 9♦.",2021-05-14T02:02:27.903Z,162095774790400
"-- ending hand #87 --",2021-05-14T02:02:26.694Z,162095774669503
"""arash @ huBdniBdCU"" shows a 4♦, A♠.",2021-05-14T02:02:26.694Z,162095774669502
"""Jonah @ KdrqU8EIQ1"" collected 1082 from pot with Straight, A High (combination: A♦, K♥, Q♣, J♠, 10♥)",2021-05-14T02:02:26.694Z,162095774669501
"""Jonah @ KdrqU8EIQ1"" shows a J♠, K♥.",2021-05-14T02:02:26.694Z,162095774669500
"""peelic @ c2JqQCu6sT"" checks",2021-05-14T02:02:25.855Z,162095774585600
"""arash @ huBdniBdCU"" checks",2021-05-14T02:02:24.210Z,162095774421100
"River: 4♣, 10♥, A♦, Q♣ [7♣]",2021-05-14T02:02:20.340Z,162095774034500
"""peelic @ c2JqQCu6sT"" calls 254",2021-05-14T02:02:19.529Z,162095773953000
"""arash @ huBdniBdCU"" calls 254",2021-05-14T02:02:18.614Z,162095773861500
"""Spenny @ EBDQ42JVqp"" folds",2021-05-14T02:02:16.662Z,162095773666300
"""Jonah @ KdrqU8EIQ1"" raises to 254 and go all in",2021-05-14T02:02:15.084Z,162095773508500
"""peelic @ c2JqQCu6sT"" bets 20",2021-05-14T02:02:07.943Z,162095772794400
"""arash @ huBdniBdCU"" checks",2021-05-14T02:02:05.559Z,162095772556000
"""Spenny @ EBDQ42JVqp"" checks",2021-05-14T02:02:04.407Z,162095772440800
"Turn: 4♣, 10♥, A♦ [Q♣]",2021-05-14T02:01:59.537Z,162095771953900
"""Spenny @ EBDQ42JVqp"" calls 50",2021-05-14T02:01:58.728Z,162095771873000
"""greg @ G4RdqDSm6Z"" folds",2021-05-14T02:01:57.840Z,162095771784000
"""Jonah @ KdrqU8EIQ1"" calls 50",2021-05-14T02:01:56.984Z,162095771698400
"""peelic @ c2JqQCu6sT"" calls 50",2021-05-14T02:01:55.946Z,162095771594700
"""Stevo @ aL5upxHjBA"" folds",2021-05-14T02:01:40.665Z,162095770066500
"""arash @ huBdniBdCU"" bets 50",2021-05-14T02:01:39.759Z,162095769976000
"""Spenny @ EBDQ42JVqp"" checks",2021-05-14T02:01:37.013Z,162095769701400
"""greg @ G4RdqDSm6Z"" checks",2021-05-14T02:01:21.543Z,162095768154400
