entry,at,order
"""Spenny @ cu8vqwqurV"" posts a big blind of 20",2021-08-20T02:01:44.509Z,162942490450908
"""peelic @ c2JqQCu6sT"" posts a small blind of 10",2021-08-20T02:01:44.509Z,162942490450907
"Your hand is 9♦, 7♠",2021-08-20T02:01:44.509Z,162942490450902
"Player stacks: #2 ""arash @ huBdniBdCU"" (1530) | #5 ""Stevo @ aL5upxHjBA"" (1435) | #7 ""peelic @ c2JqQCu6sT"" (2725) | #9 ""Spenny @ cu8vqwqurV"" (2737) | #10 ""Jonah @ KdrqU8EIQ1"" (3420)",2021-08-20T02:01:44.509Z,162942490450901
"-- starting hand #85  (No Limit Texas Hold'em) (dealer: ""Stevo @ aL5upxHjBA"") --",2021-08-20T02:01:44.509Z,162942490450900
"""Stevo @ aL5upxHjBA"" shows a 5♦, 8♥.",2021-08-20T02:01:41.431Z,162942490143100
"-- ending hand #84 --",2021-08-20T02:01:40.891Z,162942490089102
"""Stevo @ aL5upxHjBA"" collected 540 from pot",2021-08-20T02:01:40.891Z,162942490089101
"Uncalled bet of 800 returned to ""Stevo @ aL5upxHjBA""",2021-08-20T02:01:40.891Z,162942490089100
"""Jonah @ KdrqU8EIQ1"" folds",2021-08-20T02:01:40.069Z,162942490006900
"""peelic @ c2JqQCu6sT"" folds",2021-08-20T02:01:39.205Z,162942489920500
"""Stevo @ aL5upxHjBA"" bets 800",2021-08-20T02:01:38.314Z,162942489831400
"River: 7♦, 2♥, 5♥, 5♠ [K♣]",2021-08-20T02:01:34.614Z,162942489461400
"""Jonah @ KdrqU8EIQ1"" calls 100",2021-08-20T02:01:33.808Z,162942489380800
"""Spenny @ cu8vqwqurV"" folds",2021-08-20T02:01:22.488Z,162942488248800
"""peelic @ c2JqQCu6sT"" calls 100",2021-08-20T02:01:21.620Z,162942488162000
"""Stevo @ aL5upxHjBA"" bets 100",2021-08-20T02:01:10.748Z,162942487074800
"Turn: 7♦, 2♥, 5♥ [5♠]",2021-08-20T02:01:06.496Z,162942486649600
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-08-20T02:01:05.686Z,162942486568600
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-20T02:01:04.788Z,162942486478800
"""peelic @ c2JqQCu6sT"" calls 20",2021-08-20T02:00:58.530Z,162942485853000
"""Stevo @ aL5upxHjBA"" bets 20",2021-08-20T02:00:57.402Z,162942485740200
"Flop:  [7♦, 2♥, 5♥]",2021-08-20T02:00:55.605Z,162942485560500
"""peelic @ c2JqQCu6sT"" calls 40",2021-08-20T02:00:54.799Z,162942485479900
"""Stevo @ aL5upxHjBA"" calls 40",2021-08-20T02:00:53.598Z,162942485359800
"""arash @ huBdniBdCU"" folds",2021-08-20T02:00:51.646Z,162942485164600
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-08-20T02:00:50.155Z,162942485015500
"""Spenny @ cu8vqwqurV"" raises to 40",2021-08-20T02:00:49.276Z,162942484927600
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2021-08-20T02:00:45.296Z,162942484529608
"""Stevo @ aL5upxHjBA"" posts a small blind of 10",2021-08-20T02:00:45.296Z,162942484529607
"Your hand is J♥, 4♠",2021-08-20T02:00:45.296Z,162942484529602
"Player stacks: #2 ""arash @ huBdniBdCU"" (1530) | #5 ""Stevo @ aL5upxHjBA"" (1055) | #7 ""peelic @ c2JqQCu6sT"" (2885) | #9 ""Spenny @ cu8vqwqurV"" (2797) | #10 ""Jonah @ KdrqU8EIQ1"" (3580)",2021-08-20T02:00:45.296Z,162942484529601
"-- starting hand #84  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2021-08-20T02:00:45.296Z,162942484529600
"-- ending hand #83 --",2021-08-20T02:00:39.282Z,162942483928203
"""Stevo @ aL5upxHjBA"" shows a J♣, 10♣.",2021-08-20T02:00:39.282Z,162942483928202
"""Spenny @ cu8vqwqurV"" collected 580 from pot with Pair, Q's (combination: Q♣, Q♠, A♥, 10♦, 9♠)",2021-08-20T02:00:39.282Z,162942483928201
"""Spenny @ cu8vqwqurV"" shows a 8♣, Q♣.",2021-08-20T02:00:39.282Z,162942483928200
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-20T02:00:38.474Z,162942483847400
"""Stevo @ aL5upxHjBA"" bets 20",2021-08-20T02:00:37.253Z,162942483725300
"River: Q♠, 2♠, 10♦, A♥ [9♠]",2021-08-20T02:00:36.211Z,162942483621100
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-20T02:00:35.402Z,162942483540200
"""Stevo @ aL5upxHjBA"" bets 20",2021-08-20T02:00:33.766Z,162942483376600
"Turn: Q♠, 2♠, 10♦ [A♥]",2021-08-20T02:00:32.592Z,162942483259200
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-20T02:00:31.750Z,162942483175000
"""Stevo @ aL5upxHjBA"" bets 20",2021-08-20T02:00:02.925Z,162942480292500
"Flop:  [Q♠, 2♠, 10♦]",2021-08-20T02:00:01.359Z,162942480135900
"""arash @ huBdniBdCU"" folds",2021-08-20T02:00:00.547Z,162942480054700
"""Jonah @ KdrqU8EIQ1"" folds",2021-08-20T01:59:52.577Z,162942479257700
"""Spenny @ cu8vqwqurV"" calls 200",2021-08-20T01:59:51.709Z,162942479170900
"""peelic @ c2JqQCu6sT"" folds",2021-08-20T01:59:43.669Z,162942478366900
"""Stevo @ aL5upxHjBA"" raises to 200",2021-08-20T01:59:40.747Z,162942478074700
"""arash @ huBdniBdCU"" calls 20",2021-08-20T01:59:38.550Z,162942477855000
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-08-20T01:59:36.179Z,162942477617900
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-20T01:59:35.315Z,162942477531500
"""peelic @ c2JqQCu6sT"" calls 20",2021-08-20T01:59:34.402Z,162942477440200
"""Stevo @ aL5upxHjBA"" posts a big blind of 20",2021-08-20T01:59:25.988Z,162942476598809
"""arash @ huBdniBdCU"" posts a small blind of 10",2021-08-20T01:59:25.988Z,162942476598808
"Your hand is 2♦, 9♦",2021-08-20T01:59:25.988Z,162942476598803
"Player stacks: #2 ""arash @ huBdniBdCU"" (1550) | #5 ""Stevo @ aL5upxHjBA"" (1315) | #7 ""peelic @ c2JqQCu6sT"" (2905) | #9 ""Spenny @ cu8vqwqurV"" (2477) | #10 ""Jonah @ KdrqU8EIQ1"" (3600)",2021-08-20T01:59:25.988Z,162942476598802
"-- starting hand #83  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2021-08-20T01:59:25.988Z,162942476598801
"The player ""groegeeg @ G4RdqDSm6Z"" quits the game with a stack of 0.",2021-08-20T01:59:25.988Z,162942476598800
"-- ending hand #82 --",2021-08-20T01:59:19.953Z,162942475995303
"""groegeeg @ G4RdqDSm6Z"" shows a 8♥, 6♥.",2021-08-20T01:59:19.953Z,162942475995302
"""Jonah @ KdrqU8EIQ1"" collected 1940 from pot with Three of a Kind, 10's (combination: 10♥, 10♠, 10♣, K♣, 8♣)",2021-08-20T01:59:19.953Z,162942475995301
"""Jonah @ KdrqU8EIQ1"" shows a 10♥, K♣.",2021-08-20T01:59:19.953Z,162942475995300
"""Jonah @ KdrqU8EIQ1"" calls 710",2021-08-20T01:59:19.101Z,162942475910100
"""groegeeg @ G4RdqDSm6Z"" raises to 710 and go all in",2021-08-20T01:59:18.232Z,162942475823200
"""Jonah @ KdrqU8EIQ1"" bets 100",2021-08-20T01:59:15.379Z,162942475537900
"River: 10♠, 10♣, 8♣, 5♠ [3♣]",2021-08-20T01:59:10.721Z,162942475072100
"""groegeeg @ G4RdqDSm6Z"" calls 100",2021-08-20T01:59:09.913Z,162942474991300
"""Jonah @ KdrqU8EIQ1"" bets 100",2021-08-20T01:59:09.048Z,162942474904800
"Turn: 10♠, 10♣, 8♣ [5♠]",2021-08-20T01:59:01.143Z,162942474114300
"""peelic @ c2JqQCu6sT"" folds",2021-08-20T01:59:00.334Z,162942474033400
"""Stevo @ aL5upxHjBA"" folds",2021-08-20T01:58:59.432Z,162942473943200
"""arash @ huBdniBdCU"" folds",2021-08-20T01:58:58.518Z,162942473851800
"""Jonah @ KdrqU8EIQ1"" calls 100",2021-08-20T01:58:57.570Z,162942473757000
"""Spenny @ cu8vqwqurV"" folds",2021-08-20T01:58:56.683Z,162942473668300
"""groegeeg @ G4RdqDSm6Z"" bets 100",2021-08-20T01:58:51.800Z,162942473180000
"""peelic @ c2JqQCu6sT"" checks",2021-08-20T01:58:48.662Z,162942472866200
"""Stevo @ aL5upxHjBA"" checks",2021-08-20T01:58:47.277Z,162942472727700
"""arash @ huBdniBdCU"" checks",2021-08-20T01:58:45.621Z,162942472562100
"""Jonah @ KdrqU8EIQ1"" checks",2021-08-20T01:58:44.393Z,162942472439300
"Flop:  [10♠, 10♣, 8♣]",2021-08-20T01:58:42.069Z,162942472206900
"""arash @ huBdniBdCU"" checks",2021-08-20T01:58:41.259Z,162942472125900
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-08-20T01:58:40.283Z,162942472028300
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-20T01:58:39.415Z,162942471941500
"""groegeeg @ G4RdqDSm6Z"" calls 20",2021-08-20T01:58:31.983Z,162942471198300
"""peelic @ c2JqQCu6sT"" calls 20",2021-08-20T01:58:30.928Z,162942471092800
"""Stevo @ aL5upxHjBA"" calls 20",2021-08-20T01:58:29.845Z,162942470984500
"""arash @ huBdniBdCU"" posts a big blind of 20",2021-08-20T01:58:28.758Z,162942470875809
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2021-08-20T01:58:28.758Z,162942470875808
"Your hand is 2♣, 4♠",2021-08-20T01:58:28.758Z,162942470875802
"Player stacks: #2 ""arash @ huBdniBdCU"" (1570) | #5 ""Stevo @ aL5upxHjBA"" (1335) | #7 ""peelic @ c2JqQCu6sT"" (2925) | #8 ""groegeeg @ G4RdqDSm6Z"" (930) | #9 ""Spenny @ cu8vqwqurV"" (2497) | #10 ""Jonah @ KdrqU8EIQ1"" (2590)",2021-08-20T01:58:28.758Z,162942470875801
"-- starting hand #82  (No Limit Texas Hold'em) (dealer: ""Spenny @ cu8vqwqurV"") --",2021-08-20T01:58:28.758Z,162942470875800
"""Stevo @ aL5upxHjBA"" shows a 9♦, Q♣.",2021-08-20T01:58:22.703Z,162942470270300
"-- ending hand #81 --",2021-08-20T01:58:22.202Z,162942470220205
"""arash @ huBdniBdCU"" shows a 6♥, A♥.",2021-08-20T01:58:22.202Z,162942470220204
"""Jonah @ KdrqU8EIQ1"" shows a 6♣, 7♥.",2021-08-20T01:58:22.202Z,162942470220203
"""Spenny @ cu8vqwqurV"" shows a 9♣, 8♥.",2021-08-20T01:58:22.202Z,162942470220202
"""groegeeg @ G4RdqDSm6Z"" collected 280 from pot with Pair, J's (combination: J♣, J♦, A♠, K♣, 10♠)",2021-08-20T01:58:22.202Z,162942470220201
"""groegeeg @ G4RdqDSm6Z"" shows a J♣, A♠.",2021-08-20T01:58:22.202Z,162942470220200
"""groegeeg @ G4RdqDSm6Z"" checks",2021-08-20T01:58:21.390Z,162942470139000
"""arash @ huBdniBdCU"" checks",2021-08-20T01:58:20.467Z,162942470046700
"""Jonah @ KdrqU8EIQ1"" checks",2021-08-20T01:58:18.832Z,162942469883200
"""Spenny @ cu8vqwqurV"" checks",2021-08-20T01:58:17.962Z,162942469796200
"River: K♣, J♦, 6♠, 10♠ [5♦]",2021-08-20T01:58:15.896Z,162942469589600
"""arash @ huBdniBdCU"" calls 20",2021-08-20T01:58:15.078Z,162942469507800
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-08-20T01:58:14.156Z,162942469415600
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-20T01:58:12.254Z,162942469225400
"""groegeeg @ G4RdqDSm6Z"" bets 20",2021-08-20T01:58:09.752Z,162942468975200
"""arash @ huBdniBdCU"" checks",2021-08-20T01:58:08.553Z,162942468855300
"""Jonah @ KdrqU8EIQ1"" checks",2021-08-20T01:58:07.111Z,162942468711100
"""Spenny @ cu8vqwqurV"" checks",2021-08-20T01:58:06.010Z,162942468601000
"Turn: K♣, J♦, 6♠ [10♠]",2021-08-20T01:58:02.465Z,162942468246500
"""peelic @ c2JqQCu6sT"" folds",2021-08-20T01:58:01.655Z,162942468165500
"""Stevo @ aL5upxHjBA"" folds",2021-08-20T01:58:00.767Z,162942468076700
"""arash @ huBdniBdCU"" calls 20",2021-08-20T01:57:59.867Z,162942467986700
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-08-20T01:57:56.619Z,162942467661900
"""Spenny @ cu8vqwqurV"" calls 20",2021-08-20T01:57:55.741Z,162942467574100
"""groegeeg @ G4RdqDSm6Z"" bets 20",2021-08-20T01:57:50.679Z,162942467067900
"""peelic @ c2JqQCu6sT"" checks",2021-08-20T01:57:49.535Z,162942466953500
"""Stevo @ aL5upxHjBA"" checks",2021-08-20T01:57:48.646Z,162942466864600
"""arash @ huBdniBdCU"" checks",2021-08-20T01:57:47.740Z,162942466774000
"""Jonah @ KdrqU8EIQ1"" checks",2021-08-20T01:57:45.929Z,162942466592900
"""Spenny @ cu8vqwqurV"" checks",2021-08-20T01:57:44.205Z,162942466420500
"Flop:  [K♣, J♦, 6♠]",2021-08-20T01:57:34.857Z,162942465485700
"""Jonah @ KdrqU8EIQ1"" checks",2021-08-20T01:57:34.043Z,162942465404300
