entry,at,order
"""Spenny @ cu8vqwqurV"" posts a big blind of 20",2021-05-28T02:01:42.726Z,162216730272710
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2021-05-28T02:01:42.726Z,162216730272709
"Your hand is A♦, K♦",2021-05-28T02:01:42.726Z,162216730272708
"Player stacks: #1 ""Stevo @ aL5upxHjBA"" (884) | #2 ""Jonah @ KdrqU8EIQ1"" (1888) | #3 ""Spenny @ cu8vqwqurV"" (739) | #4 ""gereg @ G4RdqDSm6Z"" (1980) | #5 ""Sam @ jqRy3NVhsN"" (1603) | #9 ""peelic @ c2JqQCu6sT"" (1776) | #10 ""arash @ huBdniBdCU"" (2130)",2021-05-28T02:01:42.726Z,162216730272701
"-- starting hand #99  (No Limit Texas Hold'em) (dealer: ""Stevo @ aL5upxHjBA"") --",2021-05-28T02:01:42.726Z,162216730272700
"""Stevo @ aL5upxHjBA"" shows a 6♦, 5♣.",2021-05-28T02:01:40.101Z,162216730010100
"""arash @ huBdniBdCU"" shows a 8♠, Q♠.",2021-05-28T02:01:39.866Z,162216729986600
"-- ending hand #98 --",2021-05-28T02:01:38.415Z,162216729841702
"""arash @ huBdniBdCU"" collected 600 from pot",2021-05-28T02:01:38.415Z,162216729841701
"Uncalled bet of 200 returned to ""arash @ huBdniBdCU""",2021-05-28T02:01:38.415Z,162216729841700
"""Jonah @ KdrqU8EIQ1"" folds",2021-05-28T02:01:37.591Z,162216729759200
"""Stevo @ aL5upxHjBA"" folds",2021-05-28T02:01:21.157Z,162216728115700
"""arash @ huBdniBdCU"" bets 200",2021-05-28T02:01:16.931Z,162216727693200
"""Jonah @ KdrqU8EIQ1"" checks",2021-05-28T02:01:13.508Z,162216727350800
"""Stevo @ aL5upxHjBA"" checks",2021-05-28T02:01:12.643Z,162216727264400
"Turn: 4♣, 4♠, K♠ [8♦]",2021-05-28T02:01:10.711Z,162216727071300
"""arash @ huBdniBdCU"" calls 60",2021-05-28T02:01:09.903Z,162216726990400
"""peelic @ c2JqQCu6sT"" folds",2021-05-28T02:01:08.991Z,162216726899100
"""Sam @ jqRy3NVhsN"" folds",2021-05-28T02:01:07.581Z,162216726758200
"""Jonah @ KdrqU8EIQ1"" calls 60",2021-05-28T02:01:06.705Z,162216726670600
"""Stevo @ aL5upxHjBA"" bets 60",2021-05-28T02:01:04.889Z,162216726489000
"Flop:  [4♣, 4♠, K♠]",2021-05-28T02:01:01.108Z,162216726111000
"""arash @ huBdniBdCU"" calls 80",2021-05-28T02:01:00.302Z,162216726030200
"""peelic @ c2JqQCu6sT"" calls 80",2021-05-28T02:00:59.335Z,162216725933600
"""Sam @ jqRy3NVhsN"" calls 80",2021-05-28T02:00:58.445Z,162216725844600
"""Spenny @ cu8vqwqurV"" folds",2021-05-28T02:00:57.589Z,162216725759000
"""Jonah @ KdrqU8EIQ1"" calls 80",2021-05-28T02:00:55.669Z,162216725567000
"""Stevo @ aL5upxHjBA"" raises to 80",2021-05-28T02:00:54.812Z,162216725481200
"""arash @ huBdniBdCU"" calls 40",2021-05-28T02:00:51.752Z,162216725175300
"""peelic @ c2JqQCu6sT"" raises to 40",2021-05-28T02:00:49.438Z,162216724943900
"""Sam @ jqRy3NVhsN"" calls 20",2021-05-28T02:00:47.282Z,162216724728300
"""gereg @ G4RdqDSm6Z"" folds",2021-05-28T02:00:46.341Z,162216724634200
"""Spenny @ cu8vqwqurV"" calls 20",2021-05-28T02:00:44.924Z,162216724492500
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2021-05-28T02:00:37.115Z,162216723711610
"""Stevo @ aL5upxHjBA"" posts a small blind of 10",2021-05-28T02:00:37.115Z,162216723711609
"Your hand is 8♠, Q♠",2021-05-28T02:00:37.115Z,162216723711608
"Player stacks: #1 ""Stevo @ aL5upxHjBA"" (1024) | #2 ""Jonah @ KdrqU8EIQ1"" (2028) | #3 ""Spenny @ cu8vqwqurV"" (759) | #4 ""gereg @ G4RdqDSm6Z"" (1980) | #5 ""Sam @ jqRy3NVhsN"" (1683) | #9 ""peelic @ c2JqQCu6sT"" (1856) | #10 ""arash @ huBdniBdCU"" (1670)",2021-05-28T02:00:37.115Z,162216723711601
"-- starting hand #98  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2021-05-28T02:00:37.115Z,162216723711600
"-- ending hand #97 --",2021-05-28T02:00:34.198Z,162216723419902
"""Jonah @ KdrqU8EIQ1"" collected 140 from pot",2021-05-28T02:00:34.198Z,162216723419901
"Uncalled bet of 40 returned to ""Jonah @ KdrqU8EIQ1""",2021-05-28T02:00:34.198Z,162216723419900
"""Stevo @ aL5upxHjBA"" folds",2021-05-28T02:00:33.389Z,162216723339100
"""peelic @ c2JqQCu6sT"" folds",2021-05-28T02:00:28.830Z,162216722883100
"""Jonah @ KdrqU8EIQ1"" bets 40",2021-05-28T02:00:27.379Z,162216722738000
"""Stevo @ aL5upxHjBA"" checks",2021-05-28T02:00:24.538Z,162216722453900
"Flop:  [10♣, 7♦, K♥]",2021-05-28T02:00:22.667Z,162216722266800
"""arash @ huBdniBdCU"" folds",2021-05-28T02:00:21.859Z,162216722186000
"""peelic @ c2JqQCu6sT"" calls 40",2021-05-28T02:00:20.957Z,162216722095800
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-05-28T02:00:19.858Z,162216721985800
"""Stevo @ aL5upxHjBA"" raises to 40",2021-05-28T02:00:18.836Z,162216721883700
"""arash @ huBdniBdCU"" calls 20",2021-05-28T02:00:15.900Z,162216721590200
"""peelic @ c2JqQCu6sT"" calls 20",2021-05-28T02:00:14.995Z,162216721499600
"""Sam @ jqRy3NVhsN"" folds",2021-05-28T02:00:14.091Z,162216721409100
"""gereg @ G4RdqDSm6Z"" folds",2021-05-28T02:00:11.356Z,162216721135700
"""Spenny @ cu8vqwqurV"" folds",2021-05-28T02:00:10.270Z,162216721027000
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-05-28T01:59:56.894Z,162216719689500
"""Stevo @ aL5upxHjBA"" posts a big blind of 20",2021-05-28T01:59:54.457Z,162216719445810
"""arash @ huBdniBdCU"" posts a small blind of 10",2021-05-28T01:59:54.457Z,162216719445809
"Your hand is 8♠, 5♠",2021-05-28T01:59:54.457Z,162216719445808
"Player stacks: #1 ""Stevo @ aL5upxHjBA"" (1064) | #2 ""Jonah @ KdrqU8EIQ1"" (1928) | #3 ""Spenny @ cu8vqwqurV"" (759) | #4 ""gereg @ G4RdqDSm6Z"" (1980) | #5 ""Sam @ jqRy3NVhsN"" (1683) | #9 ""peelic @ c2JqQCu6sT"" (1896) | #10 ""arash @ huBdniBdCU"" (1690)",2021-05-28T01:59:54.457Z,162216719445801
"-- starting hand #97  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2021-05-28T01:59:54.457Z,162216719445800
"-- ending hand #96 --",2021-05-28T01:59:51.548Z,162216719154802
"""Spenny @ cu8vqwqurV"" collected 340 from pot",2021-05-28T01:59:51.548Z,162216719154801
"Uncalled bet of 340 returned to ""Spenny @ cu8vqwqurV""",2021-05-28T01:59:51.548Z,162216719154800
"""arash @ huBdniBdCU"" folds",2021-05-28T01:59:50.742Z,162216719074300
"""peelic @ c2JqQCu6sT"" folds",2021-05-28T01:59:49.846Z,162216718984700
"""Sam @ jqRy3NVhsN"" folds",2021-05-28T01:59:28.523Z,162216716852400
"""Spenny @ cu8vqwqurV"" raises to 380",2021-05-28T01:59:26.520Z,162216716652100
"""Stevo @ aL5upxHjBA"" folds",2021-05-28T01:59:22.594Z,162216716259500
"""arash @ huBdniBdCU"" calls 40",2021-05-28T01:59:21.692Z,162216716169300
"""peelic @ c2JqQCu6sT"" bets 40",2021-05-28T01:59:18.397Z,162216715839800
"Turn: 4♦, 5♥, 7♣ [6♥]",2021-05-28T01:59:14.285Z,162216715428700
"""peelic @ c2JqQCu6sT"" calls 20",2021-05-28T01:59:13.447Z,162216715344800
"""Sam @ jqRy3NVhsN"" calls 20",2021-05-28T01:59:12.559Z,162216715256000
"""Spenny @ cu8vqwqurV"" calls 20",2021-05-28T01:59:09.611Z,162216714961300
"""Jonah @ KdrqU8EIQ1"" folds",2021-05-28T01:59:07.186Z,162216714718700
"""Stevo @ aL5upxHjBA"" calls 20",2021-05-28T01:59:05.790Z,162216714579100
"""arash @ huBdniBdCU"" bets 20",2021-05-28T01:59:04.755Z,162216714475600
"""peelic @ c2JqQCu6sT"" checks",2021-05-28T01:59:03.086Z,162216714308600
"Flop:  [4♦, 5♥, 7♣]",2021-05-28T01:58:57.794Z,162216713779500
"""arash @ huBdniBdCU"" checks",2021-05-28T01:58:56.987Z,162216713698800
"""peelic @ c2JqQCu6sT"" calls 20",2021-05-28T01:58:56.087Z,162216713608800
"""Sam @ jqRy3NVhsN"" calls 20",2021-05-28T01:58:55.194Z,162216713519500
"""gereg @ G4RdqDSm6Z"" folds",2021-05-28T01:58:52.136Z,162216713213700
"""Spenny @ cu8vqwqurV"" calls 20",2021-05-28T01:58:48.920Z,162216712892100
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-05-28T01:58:44.742Z,162216712474300
"""Stevo @ aL5upxHjBA"" calls 20",2021-05-28T01:58:43.560Z,162216712356100
"""arash @ huBdniBdCU"" posts a big blind of 20",2021-05-28T01:58:42.420Z,162216712242210
"""peelic @ c2JqQCu6sT"" posts a small blind of 10",2021-05-28T01:58:42.420Z,162216712242209
"Your hand is 2♦, 3♠",2021-05-28T01:58:42.420Z,162216712242208
