entry,at,order
"""arash @ huBdniBdCU"" posts a big blind of 20",2021-06-11T02:00:53.720Z,162337685372108
"""eorgeg @ G4RdqDSm6Z"" posts a small blind of 10",2021-06-11T02:00:53.720Z,162337685372107
"Your hand is 10♥, Q♦",2021-06-11T02:00:53.720Z,162337685372102
"Player stacks: #1 ""arash @ huBdniBdCU"" (1100) | #2 ""Jonah @ KdrqU8EIQ1"" (5109) | #3 ""peelic @ c2JqQCu6sT"" (2066) | #4 ""Stevo @ aL5upxHjBA"" (35) | #9 ""eorgeg @ G4RdqDSm6Z"" (1690)",2021-06-11T02:00:53.720Z,162337685372101
"-- starting hand #156  (No Limit Texas Hold'em) (dealer: ""Stevo @ aL5upxHjBA"") --",2021-06-11T02:00:53.720Z,162337685372100
"""Jonah @ KdrqU8EIQ1"" shows a A♠, A♥.",2021-06-11T02:00:47.703Z,162337684770300
"-- ending hand #155 --",2021-06-11T02:00:47.217Z,162337684721901
"""eorgeg @ G4RdqDSm6Z"" collected 1690 from pot with Straight, J High (combination: J♥, 10♣, 9♦, 8♠, 7♠)",2021-06-11T02:00:47.217Z,162337684721900
"River: J♠, 8♠, 7♠, 9♦ [6♥]",2021-06-11T02:00:43.203Z,162337684320500
"""eorgeg @ G4RdqDSm6Z"" shows a 10♣, J♥.",2021-06-11T02:00:39.174Z,162337683917601
"""Stevo @ aL5upxHjBA"" shows a 3♣, 3♠.",2021-06-11T02:00:39.174Z,162337683917600
"""Stevo @ aL5upxHjBA"" calls 625",2021-06-11T02:00:38.364Z,162337683836500
"""Jonah @ KdrqU8EIQ1"" folds",2021-06-11T02:00:31.926Z,162337683192600
"""eorgeg @ G4RdqDSm6Z"" raises to 625 and go all in",2021-06-11T02:00:27.225Z,162337682722500
"""Stevo @ aL5upxHjBA"" bets 100",2021-06-11T02:00:24.415Z,162337682441500
"Turn: J♠, 8♠, 7♠ [9♦]",2021-06-11T02:00:20.764Z,162337682076500
"""peelic @ c2JqQCu6sT"" folds",2021-06-11T02:00:19.879Z,162337681987900
"""Jonah @ KdrqU8EIQ1"" calls 80",2021-06-11T02:00:18.993Z,162337681899400
"""arash @ huBdniBdCU"" folds",2021-06-11T02:00:18.127Z,162337681812800
"""eorgeg @ G4RdqDSm6Z"" calls 80",2021-06-11T02:00:17.234Z,162337681723500
"""Stevo @ aL5upxHjBA"" bets 80",2021-06-11T02:00:16.017Z,162337681601800
"Flop:  [J♠, 8♠, 7♠]",2021-06-11T02:00:10.765Z,162337681076600
"""peelic @ c2JqQCu6sT"" calls 40",2021-06-11T02:00:09.928Z,162337680992800
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-06-11T02:00:09.044Z,162337680904400
"""arash @ huBdniBdCU"" calls 40",2021-06-11T02:00:08.196Z,162337680819700
"""eorgeg @ G4RdqDSm6Z"" calls 40",2021-06-11T02:00:06.930Z,162337680693100
"""Stevo @ aL5upxHjBA"" raises to 40",2021-06-11T02:00:05.945Z,162337680594700
"""peelic @ c2JqQCu6sT"" calls 20",2021-06-11T02:00:03.649Z,162337680365000
"""Jonah @ KdrqU8EIQ1"" calls 20",2021-06-11T02:00:02.734Z,162337680274100
"""arash @ huBdniBdCU"" calls 20",2021-06-11T01:59:58.547Z,162337679854800
