entry,at,order
"""spange @ _e9FlRM2o-"" posts a big blind of 20",2021-07-09T02:02:56.726Z,162579617672613
"""jems @ d0vtDW3b-f"" posts a small blind of 10",2021-07-09T02:02:56.726Z,162579617672612
"Your hand is Q♥, 10♠",2021-07-09T02:02:56.726Z,162579617672607
"Player stacks: #1 ""jems @ d0vtDW3b-f"" (1631) | #2 ""spange @ _e9FlRM2o-"" (1422) | #3 ""Stevo @ aL5upxHjBA"" (2051) | #4 ""goegeooe @ G4RdqDSm6Z"" (1710) | #6 ""arash @ huBdniBdCU"" (1000) | #7 ""Sam @ jqRy3NVhsN"" (1298) | #8 ""Jonah @ KdrqU8EIQ1"" (2242) | #9 ""peelic @ c2JqQCu6sT"" (760) | #10 ""Spenny @ cu8vqwqurV"" (1886)",2021-07-09T02:02:56.726Z,162579617672602
"-- starting hand #71  (No Limit Texas Hold'em) (dealer: ""Spenny @ cu8vqwqurV"") --",2021-07-09T02:02:56.726Z,162579617672601
"The player ""arash @ huBdniBdCU"" joined the game with a stack of 1000.",2021-07-09T02:02:56.726Z,162579617672600
"""goegeooe @ G4RdqDSm6Z"" shows a 9♥, 9♦.",2021-07-09T02:02:54.259Z,162579617425900
"""jems @ d0vtDW3b-f"" shows a 9♣, 8♣.",2021-07-09T02:02:52.528Z,162579617252800
"""Stevo @ aL5upxHjBA"" shows a 5♦, 4♠.",2021-07-09T02:02:52.322Z,162579617232200
"""Spenny @ cu8vqwqurV"" shows a K♣, 10♥.",2021-07-09T02:02:52.306Z,162579617230600
"-- ending hand #70 --",2021-07-09T02:02:50.973Z,162579617097302
"""jems @ d0vtDW3b-f"" collected 320 from pot",2021-07-09T02:02:50.973Z,162579617097301
"Uncalled bet of 111 returned to ""jems @ d0vtDW3b-f""",2021-07-09T02:02:50.973Z,162579617097300
"""Spenny @ cu8vqwqurV"" folds",2021-07-09T02:02:50.161Z,162579617016100
"""peelic @ c2JqQCu6sT"" folds",2021-07-09T02:02:39.658Z,162579615965800
"""Jonah @ KdrqU8EIQ1"" folds",2021-07-09T02:02:38.759Z,162579615875900
"""Stevo @ aL5upxHjBA"" folds",2021-07-09T02:02:37.876Z,162579615787600
"""jems @ d0vtDW3b-f"" bets 111",2021-07-09T02:02:23.048Z,162579614304800
"""Spenny @ cu8vqwqurV"" checks",2021-07-09T02:02:17.319Z,162579613731900
"River: 5♣, Q♠, J♣, J♥ [3♣]",2021-07-09T02:02:14.468Z,162579613446800
"""peelic @ c2JqQCu6sT"" checks",2021-07-09T02:02:13.660Z,162579613366000
"""Jonah @ KdrqU8EIQ1"" checks",2021-07-09T02:02:12.294Z,162579613229400
"""Stevo @ aL5upxHjBA"" checks",2021-07-09T02:02:10.902Z,162579613090200
"""jems @ d0vtDW3b-f"" checks",2021-07-09T02:02:09.962Z,162579612996200
"""Spenny @ cu8vqwqurV"" checks",2021-07-09T02:02:08.127Z,162579612812700
