entry,at,order
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2022-01-28T03:01:07.413Z,164333886741309
"Dead Small Blind",2022-01-28T03:01:07.413Z,164333886741308
"Your hand is A♦, 8♠",2022-01-28T03:01:07.413Z,164333886741306
"Player stacks: #2 ""Spenny @ nR6Yv41Maz"" (2740) | #7 ""Jonah @ KdrqU8EIQ1"" (3370) | #9 ""arash @ huBdniBdCU"" (500) | #10 ""geege @ G4RdqDSm6Z"" (1390)",2022-01-28T03:01:07.413Z,164333886741303
"-- starting hand #88  (No Limit Texas Hold'em) (dealer: ""Spenny @ nR6Yv41Maz"") --",2022-01-28T03:01:07.413Z,164333886741302
"The player ""peelic @ c2JqQCu6sT"" quits the game with a stack of 0.",2022-01-28T03:01:07.413Z,164333886741301
"The player ""Stevo @ 5Ep7Sc0sJg"" quits the game with a stack of 0.",2022-01-28T03:01:07.413Z,164333886741300
"""Stevo @ 5Ep7Sc0sJg"" shows a 6♦, 6♣.",2022-01-28T03:01:03.103Z,164333886310300
"""geege @ G4RdqDSm6Z"" shows a 5♥, 4♥.",2022-01-28T03:01:00.758Z,164333886075800
"-- ending hand #87 --",2022-01-28T03:01:00.399Z,164333886039904
"""Jonah @ KdrqU8EIQ1"" collected 420 from pot with Two Pair, 10's & 4's (combination: 10♦, 10♣, 4♣, 4♦, Q♠)",2022-01-28T03:01:00.399Z,164333886039903
"""peelic @ c2JqQCu6sT"" shows a 7♥, 3♥.",2022-01-28T03:01:00.399Z,164333886039902
"""Jonah @ KdrqU8EIQ1"" collected 1670 from pot with Two Pair, 10's & 4's (combination: 10♦, 10♣, 4♣, 4♦, Q♠)",2022-01-28T03:01:00.399Z,164333886039901
"""Jonah @ KdrqU8EIQ1"" shows a 10♦, 10♣.",2022-01-28T03:01:00.399Z,164333886039900
"""arash @ huBdniBdCU"" checks",2022-01-28T03:00:59.509Z,164333885950900
"""Jonah @ KdrqU8EIQ1"" checks",2022-01-28T03:00:55.210Z,164333885521000
"River: 3♦, 2♥, 4♣, Q♠ [4♦]",2022-01-28T03:00:52.794Z,164333885279400
"""arash @ huBdniBdCU"" checks",2022-01-28T03:00:51.869Z,164333885186900
"""Jonah @ KdrqU8EIQ1"" checks",2022-01-28T03:00:50.627Z,164333885062700
"Turn: 3♦, 2♥, 4♣ [Q♠]",2022-01-28T03:00:49.201Z,164333884920100
"""arash @ huBdniBdCU"" checks",2022-01-28T03:00:48.384Z,164333884838400
"""Jonah @ KdrqU8EIQ1"" checks",2022-01-28T03:00:47.175Z,164333884717500
"Flop:  [3♦, 2♥, 4♣]",2022-01-28T03:00:43.646Z,164333884364600
"""Stevo @ 5Ep7Sc0sJg"" calls 410 and go all in",2022-01-28T03:00:42.754Z,164333884275400
"""geege @ G4RdqDSm6Z"" folds",2022-01-28T03:00:41.806Z,164333884180600
"""arash @ huBdniBdCU"" calls 550",2022-01-28T03:00:36.715Z,164333883671500
"""Jonah @ KdrqU8EIQ1"" calls 550",2022-01-28T03:00:20.877Z,164333882087700
"""peelic @ c2JqQCu6sT"" raises to 550 and go all in",2022-01-28T03:00:18.086Z,164333881808600
"""Spenny @ nR6Yv41Maz"" folds",2022-01-28T03:00:15.949Z,164333881594900
"""Stevo @ 5Ep7Sc0sJg"" raises to 200",2022-01-28T03:00:13.053Z,164333881305300
"""geege @ G4RdqDSm6Z"" calls 20",2022-01-28T03:00:10.147Z,164333881014700
"""arash @ huBdniBdCU"" calls 20",2022-01-28T03:00:09.239Z,164333880923900
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-01-28T03:00:08.254Z,164333880825400
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2022-01-28T03:00:02.966Z,164333880296609
"""Spenny @ nR6Yv41Maz"" posts a small blind of 10",2022-01-28T03:00:02.966Z,164333880296608
"Your hand is 5♦, J♦",2022-01-28T03:00:02.966Z,164333880296606
"Player stacks: #1 ""Stevo @ 5Ep7Sc0sJg"" (410) | #2 ""Spenny @ nR6Yv41Maz"" (2750) | #4 ""peelic @ c2JqQCu6sT"" (550) | #7 ""Jonah @ KdrqU8EIQ1"" (1830) | #9 ""arash @ huBdniBdCU"" (1050) | #10 ""geege @ G4RdqDSm6Z"" (1410)",2022-01-28T03:00:02.966Z,164333880296601
"-- starting hand #87  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2022-01-28T03:00:02.966Z,164333880296600
"-- ending hand #86 --",2022-01-28T02:59:56.902Z,164333879690202
"""Spenny @ nR6Yv41Maz"" collected 1400 from pot with Full House, 4's over K's (combination: 4♥, 4♠, 4♣, K♥, K♠)",2022-01-28T02:59:56.902Z,164333879690201
"""Spenny @ nR6Yv41Maz"" shows a 4♥, 4♠.",2022-01-28T02:59:56.902Z,164333879690200
"""peelic @ c2JqQCu6sT"" calls 350",2022-01-28T02:59:56.011Z,164333879601100
"""Spenny @ nR6Yv41Maz"" bets 350",2022-01-28T02:59:53.160Z,164333879316000
"River: K♥, 4♣, 10♠, K♠ [2♣]",2022-01-28T02:59:47.500Z,164333878750000
"""Spenny @ nR6Yv41Maz"" calls 200",2022-01-28T02:59:46.664Z,164333878666400
"""peelic @ c2JqQCu6sT"" raises to 200",2022-01-28T02:59:44.862Z,164333878486200
"""Spenny @ nR6Yv41Maz"" bets 80",2022-01-28T02:59:39.355Z,164333877935500
"Turn: K♥, 4♣, 10♠ [K♠]",2022-01-28T02:59:31.641Z,164333877164100
"""Spenny @ nR6Yv41Maz"" calls 80",2022-01-28T02:59:30.826Z,164333877082600
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-01-28T02:59:29.933Z,164333876993300
"""geege @ G4RdqDSm6Z"" folds",2022-01-28T02:59:25.182Z,164333876518200
"""arash @ huBdniBdCU"" folds",2022-01-28T02:59:24.329Z,164333876432900
"""Jonah @ KdrqU8EIQ1"" folds",2022-01-28T02:59:23.398Z,164333876339800
"""peelic @ c2JqQCu6sT"" raises to 80",2022-01-28T02:59:21.782Z,164333876178200
"""Spenny @ nR6Yv41Maz"" calls 20",2022-01-28T02:59:19.623Z,164333875962300
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2022-01-28T02:59:18.052Z,164333875805200
"Flop:  [K♥, 4♣, 10♠]",2022-01-28T02:59:16.344Z,164333875634400
"""Spenny @ nR6Yv41Maz"" checks",2022-01-28T02:59:15.429Z,164333875542900
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-01-28T02:59:14.533Z,164333875453300
"""geege @ G4RdqDSm6Z"" calls 20",2022-01-28T02:59:13.608Z,164333875360800
"""arash @ huBdniBdCU"" calls 20",2022-01-28T02:59:12.636Z,164333875263600
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-01-28T02:59:11.532Z,164333875153200
"""peelic @ c2JqQCu6sT"" calls 20",2022-01-28T02:59:10.543Z,164333875054300
"""Spenny @ nR6Yv41Maz"" posts a big blind of 20",2022-01-28T02:59:08.744Z,164333874874409
