entry,at,order
"The game's big blind was changed from 640 to 20.",2022-01-07T01:49:50.616Z,164152019061601
"The game's small blind was changed from 320 to 10.",2022-01-07T01:49:50.616Z,164152019061600
"The admin approved the player ""arash @ huBdniBdCU"" participation with a stack of 1000.",2022-01-07T01:49:35.465Z,164152017546500
"The player ""arash @ huBdniBdCU"" requested a seat.",2022-01-07T01:49:30.870Z,164152017087000
"The player ""arash @ huBdniBdCU"" quits the game with a stack of 0.",2022-01-07T01:49:15.275Z,164152015527500
"-- ending hand #57 --",2022-01-07T01:49:09.215Z,164152014921501
"""goero @ G4RdqDSm6Z"" collected 3240 from pot with A High (combination: A♣, J♥, 9♣, 8♣, 6♣)",2022-01-07T01:49:09.215Z,164152014921500
"River: J♥, 3♦, 4♥, 9♣ [6♣]",2022-01-07T01:49:05.112Z,164152014511200
"Turn: J♥, 3♦, 4♥ [9♣]",2022-01-07T01:49:01.013Z,164152014101300
"Flop:  [J♥, 3♦, 4♥]",2022-01-07T01:48:57.002Z,164152013700200
"""goero @ G4RdqDSm6Z"" shows a 8♣, A♣.",2022-01-07T01:48:52.896Z,164152013289601
"""arash @ huBdniBdCU"" shows a A♠, 5♦.",2022-01-07T01:48:52.896Z,164152013289600
"""goero @ G4RdqDSm6Z"" calls 1620",2022-01-07T01:48:52.069Z,164152013206900
"""arash @ huBdniBdCU"" raises to 1620 and go all in",2022-01-07T01:48:50.979Z,164152013097900
"""goero @ G4RdqDSm6Z"" calls 640",2022-01-07T01:48:48.474Z,164152012847400
"""arash @ huBdniBdCU"" posts a big blind of 640",2022-01-07T01:48:47.093Z,164152012709305
"""goero @ G4RdqDSm6Z"" posts a small blind of 320",2022-01-07T01:48:47.093Z,164152012709304
"Your hand is A♠, 5♦",2022-01-07T01:48:47.093Z,164152012709302
"Player stacks: #1 ""arash @ huBdniBdCU"" (1620) | #6 ""goero @ G4RdqDSm6Z"" (4380)",2022-01-07T01:48:47.093Z,164152012709301
"-- starting hand #57  (No Limit Texas Hold'em) (dealer: ""goero @ G4RdqDSm6Z"") --",2022-01-07T01:48:47.093Z,164152012709300
"""goero @ G4RdqDSm6Z"" shows a A♣, 7♥.",2022-01-07T01:48:44.129Z,164152012412900
"Undealt cards:  [10♦, 9♠, 3♣, 7♣, J♣]",2022-01-07T01:48:42.615Z,164152012261500
"-- ending hand #56 --",2022-01-07T01:48:40.405Z,164152012040502
"""goero @ G4RdqDSm6Z"" collected 640 from pot",2022-01-07T01:48:40.405Z,164152012040501
"Uncalled bet of 320 returned to ""goero @ G4RdqDSm6Z""",2022-01-07T01:48:40.405Z,164152012040500
"""arash @ huBdniBdCU"" folds",2022-01-07T01:48:39.546Z,164152011954600
"""goero @ G4RdqDSm6Z"" posts a big blind of 640",2022-01-07T01:48:36.398Z,164152011639807
"""arash @ huBdniBdCU"" posts a small blind of 320",2022-01-07T01:48:36.398Z,164152011639806
"Your hand is 3♦, 9♣",2022-01-07T01:48:36.398Z,164152011639804
"Player stacks: #1 ""arash @ huBdniBdCU"" (1940) | #6 ""goero @ G4RdqDSm6Z"" (4060)",2022-01-07T01:48:36.398Z,164152011639803
"-- starting hand #56  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2022-01-07T01:48:36.398Z,164152011639802
"The game's big blind was changed from 320 to 640.",2022-01-07T01:48:36.398Z,164152011639801
"The game's small blind was changed from 160 to 320.",2022-01-07T01:48:36.398Z,164152011639800
"-- ending hand #55 --",2022-01-07T01:48:33.400Z,164152011340002
"""goero @ G4RdqDSm6Z"" collected 2560 from pot",2022-01-07T01:48:33.400Z,164152011340001
"Uncalled bet of 640 returned to ""goero @ G4RdqDSm6Z""",2022-01-07T01:48:33.400Z,164152011340000
"""arash @ huBdniBdCU"" folds",2022-01-07T01:48:32.535Z,164152011253500
"""goero @ G4RdqDSm6Z"" bets 640",2022-01-07T01:48:31.129Z,164152011112900
