entry,at,order
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2021-11-26T03:00:54.068Z,163789565406807
"""Spenny @ JLl85HIr5u"" posts a small blind of 10",2021-11-26T03:00:54.068Z,163789565406806
"Your hand is 2♥, 10♥",2021-11-26T03:00:54.068Z,163789565406803
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (620) | #4 ""Stevo @ 5Ep7Sc0sJg"" (1090) | #5 ""Jonah @ KdrqU8EIQ1"" (2210) | #9 ""Spenny @ JLl85HIr5u"" (2080)",2021-11-26T03:00:54.068Z,163789565406801
"-- starting hand #87  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2021-11-26T03:00:54.068Z,163789565406800
"""peelic @ c2JqQCu6sT"" shows a 4♠, K♥.",2021-11-26T03:00:49.746Z,163789564974600
"-- ending hand #86 --",2021-11-26T03:00:47.473Z,163789564747304
"""Spenny @ JLl85HIr5u"" collected 440 from pot with Full House, 3's over J's (combination: 3♥, 3♣, 3♠, J♦, J♠)",2021-11-26T03:00:47.473Z,163789564747303
"""Spenny @ JLl85HIr5u"" shows a 3♥, K♣.",2021-11-26T03:00:47.473Z,163789564747302
"""Jonah @ KdrqU8EIQ1"" collected 440 from pot with Full House, 3's over J's (combination: 3♦, 3♣, 3♠, J♦, J♠)",2021-11-26T03:00:47.473Z,163789564747301
"""Jonah @ KdrqU8EIQ1"" shows a 4♣, 3♦.",2021-11-26T03:00:47.473Z,163789564747300
"""peelic @ c2JqQCu6sT"" calls 40",2021-11-26T03:00:46.647Z,163789564664700
"""Spenny @ JLl85HIr5u"" calls 40",2021-11-26T03:00:45.334Z,163789564533400
"""Jonah @ KdrqU8EIQ1"" bets 40",2021-11-26T03:00:43.260Z,163789564326000
"River: 3♣, J♦, 3♠, J♠ [A♥]",2021-11-26T03:00:37.256Z,163789563725600
"""Jonah @ KdrqU8EIQ1"" calls 120",2021-11-26T03:00:36.425Z,163789563642500
"""peelic @ c2JqQCu6sT"" calls 120",2021-11-26T03:00:34.780Z,163789563478000
"""Spenny @ JLl85HIr5u"" raises to 120",2021-11-26T03:00:30.955Z,163789563095500
"""Jonah @ KdrqU8EIQ1"" bets 20",2021-11-26T03:00:25.836Z,163789562583600
"Turn: 3♣, J♦, 3♠ [J♠]",2021-11-26T03:00:21.219Z,163789562121900
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-11-26T03:00:20.304Z,163789562030400
"""Stevo @ 5Ep7Sc0sJg"" folds",2021-11-26T03:00:15.696Z,163789561569600
"""peelic @ c2JqQCu6sT"" calls 40",2021-11-26T03:00:11.488Z,163789561148800
"""Spenny @ JLl85HIr5u"" bets 40",2021-11-26T03:00:10.367Z,163789561036700
"""Jonah @ KdrqU8EIQ1"" checks",2021-11-26T03:00:06.234Z,163789560623400
"Flop:  [3♣, J♦, 3♠]",2021-11-26T03:00:01.799Z,163789560179900
"""Spenny @ JLl85HIr5u"" calls 70",2021-11-26T03:00:00.974Z,163789560097400
"""Jonah @ KdrqU8EIQ1"" calls 70",2021-11-26T02:59:56.619Z,163789559661900
"""Stevo @ 5Ep7Sc0sJg"" calls 70",2021-11-26T02:59:53.186Z,163789559318600
"""peelic @ c2JqQCu6sT"" raises to 70",2021-11-26T02:59:51.777Z,163789559177700
"""Spenny @ JLl85HIr5u"" posts a big blind of 20",2021-11-26T02:59:46.597Z,163789558659707
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2021-11-26T02:59:46.597Z,163789558659706
"Your hand is Q♦, 10♠",2021-11-26T02:59:46.597Z,163789558659703
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (890) | #4 ""Stevo @ 5Ep7Sc0sJg"" (1160) | #5 ""Jonah @ KdrqU8EIQ1"" (2040) | #9 ""Spenny @ JLl85HIr5u"" (1910)",2021-11-26T02:59:46.597Z,163789558659701
"-- starting hand #86  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2021-11-26T02:59:46.597Z,163789558659700
"-- ending hand #85 --",2021-11-26T02:59:40.481Z,163789558048102
"""Spenny @ JLl85HIr5u"" collected 160 from pot with Two Pair, K's & 9's (combination: K♦, K♣, 9♦, 9♣, 10♣)",2021-11-26T02:59:40.481Z,163789558048101
"""Spenny @ JLl85HIr5u"" shows a 3♠, K♦.",2021-11-26T02:59:40.481Z,163789558048100
