entry,at,order
"""arash @ huBdniBdCU"" posts a big blind of 20",2021-08-13T02:02:04.308Z,162882012430808
"""Stevo @ aL5upxHjBA"" posts a small blind of 10",2021-08-13T02:02:04.308Z,162882012430807
"Your hand is 2♥, 6♣",2021-08-13T02:02:04.308Z,162882012430802
"Player stacks: #1 ""arash @ huBdniBdCU"" (1570) | #3 ""Spenny @ cu8vqwqurV"" (1410) | #4 ""gegr @ G4RdqDSm6Z"" (1430) | #5 ""Jonah @ KdrqU8EIQ1"" (1840) | #10 ""Stevo @ aL5upxHjBA"" (1750)",2021-08-13T02:02:04.308Z,162882012430801
"-- starting hand #119  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2021-08-13T02:02:04.308Z,162882012430800
"-- ending hand #118 --",2021-08-13T02:01:58.271Z,162882011827103
"""arash @ huBdniBdCU"" shows a 7♣, 7♠.",2021-08-13T02:01:58.271Z,162882011827102
"""Spenny @ cu8vqwqurV"" collected 970 from pot with Two Pair, 9's & 5's (combination: 9♥, 9♦, 5♣, 5♥, A♠)",2021-08-13T02:01:58.271Z,162882011827101
"""Spenny @ cu8vqwqurV"" shows a Q♠, 9♥.",2021-08-13T02:01:58.271Z,162882011827100
"""gegr @ G4RdqDSm6Z"" checks",2021-08-13T02:01:57.463Z,162882011746300
"""Spenny @ cu8vqwqurV"" checks",2021-08-13T02:01:56.608Z,162882011660800
"""arash @ huBdniBdCU"" checks",2021-08-13T02:01:53.606Z,162882011360600
"River: 5♣, 9♦, 5♥, 10♦ [A♠]",2021-08-13T02:01:40.007Z,162882010000700
"""Stevo @ aL5upxHjBA"" folds",2021-08-13T02:01:39.196Z,162882009919600
"""gegr @ G4RdqDSm6Z"" calls 150",2021-08-13T02:01:38.291Z,162882009829100
"""Spenny @ cu8vqwqurV"" calls 150",2021-08-13T02:01:19.041Z,162882007904100
"""arash @ huBdniBdCU"" bets 150",2021-08-13T02:01:13.126Z,162882007312600
"""Stevo @ aL5upxHjBA"" checks",2021-08-13T02:01:09.852Z,162882006985200
"Turn: 5♣, 9♦, 5♥ [10♦]",2021-08-13T02:01:08.491Z,162882006849100
"""Stevo @ aL5upxHjBA"" calls 80",2021-08-13T02:01:07.669Z,162882006766900
"""Jonah @ KdrqU8EIQ1"" folds",2021-08-13T02:01:06.445Z,162882006644500
"""gegr @ G4RdqDSm6Z"" calls 80",2021-08-13T02:01:05.588Z,162882006558800
"""Spenny @ cu8vqwqurV"" calls 80",2021-08-13T02:01:02.241Z,162882006224100
"""arash @ huBdniBdCU"" bets 80",2021-08-13T02:00:56.590Z,162882005659000
"""Stevo @ aL5upxHjBA"" checks",2021-08-13T02:00:54.041Z,162882005404100
"""Jonah @ KdrqU8EIQ1"" checks",2021-08-13T02:00:53.134Z,162882005313400
"Flop:  [5♣, 9♦, 5♥]",2021-08-13T02:00:50.547Z,162882005054700
"""Stevo @ aL5upxHjBA"" calls 40",2021-08-13T02:00:49.713Z,162882004971300
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-08-13T02:00:48.706Z,162882004870600
"""gegr @ G4RdqDSm6Z"" calls 40",2021-08-13T02:00:47.853Z,162882004785300
"""Spenny @ cu8vqwqurV"" calls 40",2021-08-13T02:00:47.000Z,162882004700000
"""arash @ huBdniBdCU"" raises to 40",2021-08-13T02:00:45.318Z,162882004531800
"""Stevo @ aL5upxHjBA"" posts a big blind of 20",2021-08-13T02:00:42.654Z,162882004265408
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2021-08-13T02:00:42.654Z,162882004265407
"Your hand is 7♣, 7♠",2021-08-13T02:00:42.654Z,162882004265402
"Player stacks: #1 ""arash @ huBdniBdCU"" (1840) | #3 ""Spenny @ cu8vqwqurV"" (710) | #4 ""gegr @ G4RdqDSm6Z"" (1700) | #5 ""Jonah @ KdrqU8EIQ1"" (1880) | #10 ""Stevo @ aL5upxHjBA"" (1870)",2021-08-13T02:00:42.654Z,162882004265401
"-- starting hand #118  (No Limit Texas Hold'em) (dealer: ""gegr @ G4RdqDSm6Z"") --",2021-08-13T02:00:42.654Z,162882004265400
"""Stevo @ aL5upxHjBA"" shows a K♠, Q♥.",2021-08-13T02:00:39.735Z,162882003973500
"-- ending hand #117 --",2021-08-13T02:00:39.009Z,162882003900902
"""Jonah @ KdrqU8EIQ1"" collected 380 from pot",2021-08-13T02:00:39.009Z,162882003900901
"Uncalled bet of 60 returned to ""Jonah @ KdrqU8EIQ1""",2021-08-13T02:00:39.009Z,162882003900900
"""Spenny @ cu8vqwqurV"" folds",2021-08-13T02:00:38.200Z,162882003820000
"""arash @ huBdniBdCU"" folds",2021-08-13T02:00:08.839Z,162882000883900
"""Jonah @ KdrqU8EIQ1"" bets 60",2021-08-13T02:00:06.648Z,162882000664800
"Turn: A♥, 6♣, 9♥ [J♠]",2021-08-13T02:00:02.004Z,162882000200400
"""Stevo @ aL5upxHjBA"" folds",2021-08-13T02:00:01.197Z,162882000119700
"""Jonah @ KdrqU8EIQ1"" calls 60",2021-08-13T02:00:00.255Z,162882000025500
"""gegr @ G4RdqDSm6Z"" folds",2021-08-13T01:59:59.401Z,162881999940100
"""Spenny @ cu8vqwqurV"" calls 60",2021-08-13T01:59:58.538Z,162881999853800
"""arash @ huBdniBdCU"" bets 60",2021-08-13T01:59:45.600Z,162881998560000
"""Stevo @ aL5upxHjBA"" checks",2021-08-13T01:59:42.666Z,162881998266600
"""Jonah @ KdrqU8EIQ1"" checks",2021-08-13T01:59:41.714Z,162881998171400
"""gegr @ G4RdqDSm6Z"" checks",2021-08-13T01:59:38.110Z,162881997811000
