entry,at,order
"""Spenny @ ZZglK7B7ZP"" posts a big blind of 20",2021-09-17T01:56:02.413Z,163184376241308
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2021-09-17T01:56:02.413Z,163184376241307
"Your hand is 2♣, 6♠",2021-09-17T01:56:02.413Z,163184376241304
"Player stacks: #1 ""Jonah @ KdrqU8EIQ1"" (1867) | #3 ""Spenny @ ZZglK7B7ZP"" (1125) | #5 ""arash @ huBdniBdCU"" (715) | #8 ""peelic @ c2JqQCu6sT"" (993) | #10 ""spange @ _e9FlRM2o-"" (1300)",2021-09-17T01:56:02.413Z,163184376241301
"-- starting hand #82  (No Limit Texas Hold'em) (dealer: ""spange @ _e9FlRM2o-"") --",2021-09-17T01:56:02.413Z,163184376241300
"-- ending hand #81 --",2021-09-17T01:55:56.399Z,163184375639904
"""arash @ huBdniBdCU"" shows a J♣, A♥.",2021-09-17T01:55:56.399Z,163184375639903
"""Jonah @ KdrqU8EIQ1"" shows a A♠, 3♦.",2021-09-17T01:55:56.399Z,163184375639902
"""peelic @ c2JqQCu6sT"" collected 993 from pot with Pair, 10's (combination: 10♠, 10♦, K♥, 8♣, 7♠)",2021-09-17T01:55:56.399Z,163184375639901
"""peelic @ c2JqQCu6sT"" shows a 8♣, 10♠.",2021-09-17T01:55:56.399Z,163184375639900
"""arash @ huBdniBdCU"" checks",2021-09-17T01:55:55.593Z,163184375559300
"""Jonah @ KdrqU8EIQ1"" checks",2021-09-17T01:55:54.394Z,163184375439400
"River: 10♦, 5♣, K♥, 7♠ [4♦]",2021-09-17T01:55:51.317Z,163184375131700
"""arash @ huBdniBdCU"" checks",2021-09-17T01:55:50.509Z,163184375050900
"""Jonah @ KdrqU8EIQ1"" checks",2021-09-17T01:55:49.086Z,163184374908600
"Turn: 10♦, 5♣, K♥ [7♠]",2021-09-17T01:55:47.790Z,163184374779000
"""arash @ huBdniBdCU"" checks",2021-09-17T01:55:46.984Z,163184374698400
"""Jonah @ KdrqU8EIQ1"" checks",2021-09-17T01:55:44.368Z,163184374436800
"Flop:  [10♦, 5♣, K♥]",2021-09-17T01:55:41.157Z,163184374115700
"""arash @ huBdniBdCU"" calls 321",2021-09-17T01:55:40.351Z,163184374035100
"""Spenny @ ZZglK7B7ZP"" folds",2021-09-17T01:55:35.088Z,163184373508800
"""Jonah @ KdrqU8EIQ1"" calls 321",2021-09-17T01:55:34.223Z,163184373422300
"""spange @ _e9FlRM2o-"" folds",2021-09-17T01:55:33.372Z,163184373337200
"""peelic @ c2JqQCu6sT"" raises to 321 and go all in",2021-09-17T01:55:23.851Z,163184372385100
"""arash @ huBdniBdCU"" raises to 70",2021-09-17T01:55:21.855Z,163184372185500
"""Spenny @ ZZglK7B7ZP"" calls 20",2021-09-17T01:55:18.015Z,163184371801500
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2021-09-17T01:55:12.096Z,163184371209608
"""spange @ _e9FlRM2o-"" posts a small blind of 10",2021-09-17T01:55:12.096Z,163184371209607
"Your hand is J♣, A♥",2021-09-17T01:55:12.096Z,163184371209604
"Player stacks: #1 ""Jonah @ KdrqU8EIQ1"" (2188) | #3 ""Spenny @ ZZglK7B7ZP"" (1145) | #5 ""arash @ huBdniBdCU"" (1036) | #8 ""peelic @ c2JqQCu6sT"" (321) | #10 ""spange @ _e9FlRM2o-"" (1310)",2021-09-17T01:55:12.096Z,163184371209601
"-- starting hand #81  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2021-09-17T01:55:12.096Z,163184371209600
