entry,at,order
"""Spenny @ nR6Yv41Maz"" posts a big blind of 20",2022-08-19T02:01:12.281Z,166087447228108
"""Stevo @ 5Ep7Sc0sJg"" posts a small blind of 10",2022-08-19T02:01:12.281Z,166087447228107
"Your hand is 7♥, 6♠",2022-08-19T02:01:12.281Z,166087447228104
"Player stacks: #1 ""Spenny @ nR6Yv41Maz"" (1470) | #3 ""peelic @ c2JqQCu6sT"" (1630) | #7 ""arash @ huBdniBdCU"" (1620) | #9 ""goeoe @ WJ-HPcQ09S"" (1880) | #10 ""Stevo @ 5Ep7Sc0sJg"" (1400)",2022-08-19T02:01:12.281Z,166087447228101
"-- starting hand #107  (No Limit Texas Hold'em) (dealer: ""goeoe @ WJ-HPcQ09S"") --",2022-08-19T02:01:12.281Z,166087447228100
"""arash @ huBdniBdCU"" shows a 2♥, 4♥.",2022-08-19T02:01:08.720Z,166087446872000
"""peelic @ c2JqQCu6sT"" shows a 8♥, 6♥.",2022-08-19T02:01:08.662Z,166087446866200
"""Stevo @ 5Ep7Sc0sJg"" shows a 4♠, K♣.",2022-08-19T02:01:07.766Z,166087446776600
"-- ending hand #106 --",2022-08-19T02:01:07.274Z,166087446727401
"""Stevo @ 5Ep7Sc0sJg"" collected 750 from pot",2022-08-19T02:01:07.274Z,166087446727400
"""arash @ huBdniBdCU"" folds",2022-08-19T02:01:06.423Z,166087446642300
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-08-19T02:01:02.717Z,166087446271700
"River: 10♦, K♥, 6♣, K♠ [A♣]",2022-08-19T02:01:01.773Z,166087446177300
"""arash @ huBdniBdCU"" checks",2022-08-19T02:01:00.957Z,166087446095700
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-08-19T02:00:59.831Z,166087445983100
"Turn: 10♦, K♥, 6♣ [K♠]",2022-08-19T02:00:58.764Z,166087445876400
"""arash @ huBdniBdCU"" checks",2022-08-19T02:00:57.876Z,166087445787600
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-08-19T02:00:56.731Z,166087445673100
"Flop:  [10♦, K♥, 6♣]",2022-08-19T02:00:54.863Z,166087445486300
"""arash @ huBdniBdCU"" calls 350",2022-08-19T02:00:53.981Z,166087445398100
"""peelic @ c2JqQCu6sT"" folds",2022-08-19T02:00:44.810Z,166087444481000
"""Spenny @ nR6Yv41Maz"" folds",2022-08-19T02:00:39.821Z,166087443982100
"""Stevo @ 5Ep7Sc0sJg"" raises to 350",2022-08-19T02:00:29.468Z,166087442946800
"""goeoe @ WJ-HPcQ09S"" folds",2022-08-19T02:00:25.758Z,166087442575800
"""arash @ huBdniBdCU"" calls 20",2022-08-19T02:00:24.876Z,166087442487600
"""peelic @ c2JqQCu6sT"" calls 20",2022-08-19T02:00:23.896Z,166087442389600
"""Spenny @ nR6Yv41Maz"" calls 20",2022-08-19T02:00:22.963Z,166087442296300
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2022-08-19T02:00:20.016Z,166087442001609
"""goeoe @ WJ-HPcQ09S"" posts a small blind of 10",2022-08-19T02:00:20.016Z,166087442001608
"Your hand is 2♥, 4♥",2022-08-19T02:00:20.016Z,166087442001605
"Player stacks: #1 ""Spenny @ nR6Yv41Maz"" (1490) | #3 ""peelic @ c2JqQCu6sT"" (1650) | #7 ""arash @ huBdniBdCU"" (1970) | #9 ""goeoe @ WJ-HPcQ09S"" (1890) | #10 ""Stevo @ 5Ep7Sc0sJg"" (1000)",2022-08-19T02:00:20.016Z,166087442001602
"-- starting hand #106  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2022-08-19T02:00:20.016Z,166087442001601
"The player ""Stevo @ 5Ep7Sc0sJg"" joined the game with a stack of 1000.",2022-08-19T02:00:20.016Z,166087442001600
"""arash @ huBdniBdCU"" shows a Q♠, A♣.",2022-08-19T02:00:16.553Z,166087441655300
"""goeoe @ WJ-HPcQ09S"" shows a 5♥, A♦.",2022-08-19T02:00:14.933Z,166087441493300
"Undealt cards: 6♥, 10♦, 5♠ [8♦, 3♣]",2022-08-19T02:00:13.268Z,166087441326800
"-- ending hand #105 --",2022-08-19T02:00:12.621Z,166087441262102
"""arash @ huBdniBdCU"" collected 120 from pot",2022-08-19T02:00:12.621Z,166087441262101
"Uncalled bet of 100 returned to ""arash @ huBdniBdCU""",2022-08-19T02:00:12.621Z,166087441262100
"""peelic @ c2JqQCu6sT"" folds",2022-08-19T02:00:11.773Z,166087441177300
"""goeoe @ WJ-HPcQ09S"" folds",2022-08-19T02:00:10.796Z,166087441079600
"""arash @ huBdniBdCU"" bets 100",2022-08-19T02:00:09.857Z,166087440985700
"Flop:  [6♥, 10♦, 5♠]",2022-08-19T02:00:06.812Z,166087440681200
"""peelic @ c2JqQCu6sT"" calls 40",2022-08-19T02:00:05.956Z,166087440595600
"""goeoe @ WJ-HPcQ09S"" calls 40",2022-08-19T02:00:03.632Z,166087440363200
"""arash @ huBdniBdCU"" raises to 40",2022-08-19T02:00:01.960Z,166087440196000
"""peelic @ c2JqQCu6sT"" calls 20",2022-08-19T01:59:59.737Z,166087439973700
"The admin approved the player ""Stevo @ 5Ep7Sc0sJg"" participation with a stack of 1000.",2022-08-19T01:59:59.014Z,166087439901401
"The player ""Stevo @ 5Ep7Sc0sJg"" requested a seat.",2022-08-19T01:59:59.014Z,166087439901400
"""Spenny @ nR6Yv41Maz"" folds",2022-08-19T01:59:58.845Z,166087439884500
"""goeoe @ WJ-HPcQ09S"" posts a big blind of 20",2022-08-19T01:59:53.452Z,166087439345208
"""arash @ huBdniBdCU"" posts a small blind of 10",2022-08-19T01:59:53.452Z,166087439345207
"Your hand is Q♠, A♣",2022-08-19T01:59:53.452Z,166087439345205
"Player stacks: #1 ""Spenny @ nR6Yv41Maz"" (1490) | #3 ""peelic @ c2JqQCu6sT"" (1690) | #7 ""arash @ huBdniBdCU"" (1890) | #9 ""goeoe @ WJ-HPcQ09S"" (1930)",2022-08-19T01:59:53.452Z,166087439345202
"-- starting hand #105  (No Limit Texas Hold'em) (dead button) --",2022-08-19T01:59:53.452Z,166087439345201
"The player ""Stevo @ 5Ep7Sc0sJg"" quits the game with a stack of 0.",2022-08-19T01:59:53.452Z,166087439345200
"-- ending hand #104 --",2022-08-19T01:59:47.411Z,166087438741101
"""goeoe @ WJ-HPcQ09S"" collected 1840 from pot with Three of a Kind, 8's (combination: 8♦, 8♥, 8♣, Q♠, 10♥)",2022-08-19T01:59:47.411Z,166087438741100
"River: 10♥, 8♣, Q♠, 3♠ [5♦]",2022-08-19T01:59:43.299Z,166087438329900
"Turn: 10♥, 8♣, Q♠ [3♠]",2022-08-19T01:59:39.208Z,166087437920800
"""goeoe @ WJ-HPcQ09S"" shows a 8♦, 8♥.",2022-08-19T01:59:35.097Z,166087437509701
"""Stevo @ 5Ep7Sc0sJg"" shows a A♣, A♠.",2022-08-19T01:59:35.097Z,166087437509700
"""peelic @ c2JqQCu6sT"" folds",2022-08-19T01:59:34.287Z,166087437428700
"""Spenny @ nR6Yv41Maz"" folds",2022-08-19T01:59:33.345Z,166087437334500
"""goeoe @ WJ-HPcQ09S"" calls 770",2022-08-19T01:59:32.427Z,166087437242700
"""arash @ huBdniBdCU"" folds",2022-08-19T01:59:13.016Z,166087435301600
"""Stevo @ 5Ep7Sc0sJg"" bets 770 and go all in",2022-08-19T01:59:06.594Z,166087434659400
"Flop:  [10♥, 8♣, Q♠]",2022-08-19T01:59:03.388Z,166087434338800
"""peelic @ c2JqQCu6sT"" calls 60",2022-08-19T01:59:02.515Z,166087434251500
"""Spenny @ nR6Yv41Maz"" calls 60",2022-08-19T01:59:01.558Z,166087434155800
"""goeoe @ WJ-HPcQ09S"" calls 60",2022-08-19T01:58:59.207Z,166087433920700
"""arash @ huBdniBdCU"" calls 60",2022-08-19T01:58:58.331Z,166087433833100
"""Stevo @ 5Ep7Sc0sJg"" raises to 60",2022-08-19T01:58:54.950Z,166087433495000
"""peelic @ c2JqQCu6sT"" calls 20",2022-08-19T01:58:52.462Z,166087433246200
"""Spenny @ nR6Yv41Maz"" calls 20",2022-08-19T01:58:51.505Z,166087433150500
"""goeoe @ WJ-HPcQ09S"" calls 20",2022-08-19T01:58:50.115Z,166087433011500
