entry,at,order
"""Max @ jwP-J03GOx"" posts a big blind of 20",2022-05-13T02:02:01.731Z,165240732173109
"""Spenny @ nR6Yv41Maz"" posts a small blind of 10",2022-05-13T02:02:01.731Z,165240732173108
"Your hand is 9♠, A♥",2022-05-13T02:02:01.731Z,165240732173103
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (2200) | #2 ""arash @ huBdniBdCU"" (985) | #4 ""Jonah @ KdrqU8EIQ1"" (720) | #5 ""Spenny @ nR6Yv41Maz"" (3720) | #8 ""Max @ jwP-J03GOx"" (765) | #10 ""roerroerge @ G4RdqDSm6Z"" (610)",2022-05-13T02:02:01.731Z,165240732173101
"-- starting hand #64  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2022-05-13T02:02:01.731Z,165240732173100
"-- ending hand #63 --",2022-05-13T02:01:55.636Z,165240731563604
"""roerroerge @ G4RdqDSm6Z"" collected 610 from pot with Straight, K High (combination: K♣, Q♦, J♣, 10♣, 9♠)",2022-05-13T02:01:55.636Z,165240731563603
"""roerroerge @ G4RdqDSm6Z"" shows a 5♦, K♣.",2022-05-13T02:01:55.636Z,165240731563602
"""arash @ huBdniBdCU"" collected 610 from pot with Straight, K High (combination: K♠, Q♦, J♣, 10♣, 9♠)",2022-05-13T02:01:55.636Z,165240731563601
"""arash @ huBdniBdCU"" shows a 2♦, K♠.",2022-05-13T02:01:55.636Z,165240731563600
"""Spenny @ nR6Yv41Maz"" folds",2022-05-13T02:01:54.819Z,165240731481900
"""arash @ huBdniBdCU"" calls 430",2022-05-13T02:01:53.217Z,165240731321700
"""peelic @ c2JqQCu6sT"" folds",2022-05-13T02:01:51.909Z,165240731190900
"""roerroerge @ G4RdqDSm6Z"" raises to 430 and go all in",2022-05-13T02:01:48.017Z,165240730801700
"""Spenny @ nR6Yv41Maz"" bets 20",2022-05-13T02:01:43.802Z,165240730380200
"River: 10♣, J♣, 6♠, 9♠ [Q♦]",2022-05-13T02:01:36.619Z,165240729661900
"""roerroerge @ G4RdqDSm6Z"" calls 40",2022-05-13T02:01:35.731Z,165240729573100
"""Spenny @ nR6Yv41Maz"" calls 40",2022-05-13T02:01:34.885Z,165240729488500
"""arash @ huBdniBdCU"" calls 40",2022-05-13T02:01:28.785Z,165240728878500
"""peelic @ c2JqQCu6sT"" bets 40",2022-05-13T02:01:22.095Z,165240728209500
"""roerroerge @ G4RdqDSm6Z"" checks",2022-05-13T02:01:17.575Z,165240727757500
"""Spenny @ nR6Yv41Maz"" checks",2022-05-13T02:01:16.669Z,165240727666900
"Turn: 10♣, J♣, 6♠ [9♠]",2022-05-13T02:01:09.094Z,165240726909400
"""roerroerge @ G4RdqDSm6Z"" calls 20",2022-05-13T02:01:08.234Z,165240726823400
"""Spenny @ nR6Yv41Maz"" calls 20",2022-05-13T02:01:07.352Z,165240726735200
"""Jonah @ KdrqU8EIQ1"" folds",2022-05-13T02:01:02.295Z,165240726229500
"""arash @ huBdniBdCU"" calls 20",2022-05-13T02:01:01.301Z,165240726130100
"""peelic @ c2JqQCu6sT"" bets 20",2022-05-13T02:00:52.586Z,165240725258600
"""roerroerge @ G4RdqDSm6Z"" checks",2022-05-13T02:00:50.508Z,165240725050800
"""Spenny @ nR6Yv41Maz"" checks",2022-05-13T02:00:49.518Z,165240724951800
"""Jonah @ KdrqU8EIQ1"" checks",2022-05-13T02:00:45.290Z,165240724529000
"Flop:  [10♣, J♣, 6♠]",2022-05-13T02:00:41.074Z,165240724107400
"""Spenny @ nR6Yv41Maz"" checks",2022-05-13T02:00:40.251Z,165240724025100
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-05-13T02:00:39.273Z,165240723927300
"""arash @ huBdniBdCU"" calls 20",2022-05-13T02:00:38.280Z,165240723828000
"""peelic @ c2JqQCu6sT"" calls 20",2022-05-13T02:00:37.353Z,165240723735300
"""roerroerge @ G4RdqDSm6Z"" calls 20",2022-05-13T02:00:36.424Z,165240723642400
"""Max @ jwP-J03GOx"" folds",2022-05-13T02:00:35.527Z,165240723552700
"""Spenny @ nR6Yv41Maz"" posts a big blind of 20",2022-05-13T02:00:15.644Z,165240721564409
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2022-05-13T02:00:15.644Z,165240721564408
"Your hand is 2♦, K♠",2022-05-13T02:00:15.644Z,165240721564403
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (2280) | #2 ""arash @ huBdniBdCU"" (885) | #4 ""Jonah @ KdrqU8EIQ1"" (740) | #5 ""Spenny @ nR6Yv41Maz"" (3820) | #8 ""Max @ jwP-J03GOx"" (765) | #10 ""roerroerge @ G4RdqDSm6Z"" (510)",2022-05-13T02:00:15.644Z,165240721564401
"-- starting hand #63  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2022-05-13T02:00:15.644Z,165240721564400
"-- ending hand #62 --",2022-05-13T02:00:09.580Z,165240720958003
"""Spenny @ nR6Yv41Maz"" shows a A♣, 3♦.",2022-05-13T02:00:09.580Z,165240720958002
"""peelic @ c2JqQCu6sT"" collected 600 from pot with Pair, 10's (combination: 10♣, 10♠, K♣, Q♣, J♦)",2022-05-13T02:00:09.580Z,165240720958001
"""peelic @ c2JqQCu6sT"" shows a 10♣, Q♣.",2022-05-13T02:00:09.580Z,165240720958000
"""Jonah @ KdrqU8EIQ1"" folds",2022-05-13T02:00:08.667Z,165240720866700
"""peelic @ c2JqQCu6sT"" calls 120",2022-05-13T02:00:07.766Z,165240720776600
"""Spenny @ nR6Yv41Maz"" bets 120",2022-05-13T02:00:03.927Z,165240720392700
"""Jonah @ KdrqU8EIQ1"" checks",2022-05-13T01:59:59.090Z,165240719909000
"River: 4♦, K♣, J♦, 10♠ [5♥]",2022-05-13T01:59:56.917Z,165240719691700
"""arash @ huBdniBdCU"" folds",2022-05-13T01:59:56.090Z,165240719609000
"""peelic @ c2JqQCu6sT"" calls 40",2022-05-13T01:59:50.214Z,165240719021400
"""Spenny @ nR6Yv41Maz"" calls 40",2022-05-13T01:59:49.268Z,165240718926800
"""Jonah @ KdrqU8EIQ1"" bets 40",2022-05-13T01:59:32.176Z,165240717217600
"""arash @ huBdniBdCU"" checks",2022-05-13T01:59:26.469Z,165240716646900
"Turn: 4♦, K♣, J♦ [10♠]",2022-05-13T01:59:25.082Z,165240716508200
"""peelic @ c2JqQCu6sT"" checks",2022-05-13T01:59:24.180Z,165240716418000
"""Spenny @ nR6Yv41Maz"" checks",2022-05-13T01:59:21.568Z,165240716156800
"""Jonah @ KdrqU8EIQ1"" checks",2022-05-13T01:59:13.803Z,165240715380300
"""arash @ huBdniBdCU"" checks",2022-05-13T01:59:12.208Z,165240715220800
"Flop:  [4♦, K♣, J♦]",2022-05-13T01:59:10.237Z,165240715023700
"""arash @ huBdniBdCU"" calls 60",2022-05-13T01:59:09.368Z,165240714936800
"""peelic @ c2JqQCu6sT"" calls 60",2022-05-13T01:59:08.340Z,165240714834000
"""Spenny @ nR6Yv41Maz"" calls 60",2022-05-13T01:59:00.849Z,165240714084900
"""Jonah @ KdrqU8EIQ1"" raises to 60",2022-05-13T01:58:41.221Z,165240712122100
"""arash @ huBdniBdCU"" calls 20",2022-05-13T01:58:37.294Z,165240711729400
"""peelic @ c2JqQCu6sT"" calls 20",2022-05-13T01:58:35.705Z,165240711570500
"""roerroerge @ G4RdqDSm6Z"" folds",2022-05-13T01:58:34.721Z,165240711472100
