entry,at,order
"""goeorgeo @ Bmh0Oaaybv"" posts a big blind of 20",2025-10-09T02:31:25.239Z,175997708523908
"""Stevo @ GBEr6xd4D5"" posts a small blind of 10",2025-10-09T02:31:25.239Z,175997708523907
"Your hand is K♠, 5♦",2025-10-09T02:31:25.239Z,175997708523904
"Player stacks: #1 ""goeorgeo @ Bmh0Oaaybv"" (890) | #2 ""spenny @ ujRgmhBD9T"" (610) | #4 ""peelic @ vOeqrOXpLT"" (2080) | #6 ""Jonah @ xrBY5OZYCv"" (420) | #10 ""Stevo @ GBEr6xd4D5"" (1020)",2025-10-09T02:31:25.239Z,175997708523901
"-- starting hand #126 (id: moa4uoy6zkpx)  (No Limit Texas Hold'em) (dealer: ""Jonah @ xrBY5OZYCv"") --",2025-10-09T02:31:25.239Z,175997708523900
"""goeorgeo @ Bmh0Oaaybv"" shows a 6♣, 4♦.",2025-10-09T02:31:19.433Z,175997707943300
"-- ending hand #125 --",2025-10-09T02:31:18.715Z,175997707871501
"""Jonah @ xrBY5OZYCv"" collected 420 from pot with Pair, Q's (combination: Q♥, Q♦, K♣, 9♣, 5♣)",2025-10-09T02:31:18.715Z,175997707871500
"River: Q♦, 5♣, 2♥, K♣ [9♣]",2025-10-09T02:31:14.710Z,175997707471000
"Turn: Q♦, 5♣, 2♥ [K♣]",2025-10-09T02:31:10.692Z,175997707069200
"""Jonah @ xrBY5OZYCv"" shows a Q♥, 3♥.",2025-10-09T02:31:06.684Z,175997706668401
"""spenny @ ujRgmhBD9T"" shows a 2♦, A♦.",2025-10-09T02:31:06.684Z,175997706668400
"""peelic @ vOeqrOXpLT"" folds",2025-10-09T02:31:05.851Z,175997706585100
"""spenny @ ujRgmhBD9T"" calls 170",2025-10-09T02:31:03.675Z,175997706367500
"""Stevo @ GBEr6xd4D5"" folds",2025-10-09T02:31:01.575Z,175997706157500
"""Jonah @ xrBY5OZYCv"" bets 170 and go all in",2025-10-09T02:31:00.627Z,175997706062700
"Flop:  [Q♦, 5♣, 2♥]",2025-10-09T02:30:57.419Z,175997705741900
"""Stevo @ GBEr6xd4D5"" checks",2025-10-09T02:30:56.532Z,175997705653200
"""Jonah @ xrBY5OZYCv"" calls 20",2025-10-09T02:30:55.607Z,175997705560700
"""peelic @ vOeqrOXpLT"" calls 20",2025-10-09T02:30:54.650Z,175997705465000
"""spenny @ ujRgmhBD9T"" calls 20",2025-10-09T02:30:53.809Z,175997705380900
"""goeorgeo @ Bmh0Oaaybv"" folds",2025-10-09T02:30:48.137Z,175997704813700
"""Stevo @ GBEr6xd4D5"" posts a big blind of 20",2025-10-09T02:30:47.016Z,175997704701608
"""Jonah @ xrBY5OZYCv"" posts a small blind of 10",2025-10-09T02:30:47.016Z,175997704701607
"Your hand is J♦, 8♣",2025-10-09T02:30:47.016Z,175997704701604
"Player stacks: #1 ""goeorgeo @ Bmh0Oaaybv"" (890) | #2 ""spenny @ ujRgmhBD9T"" (800) | #4 ""peelic @ vOeqrOXpLT"" (2100) | #6 ""Jonah @ xrBY5OZYCv"" (190) | #10 ""Stevo @ GBEr6xd4D5"" (1040)",2025-10-09T02:30:47.016Z,175997704701601
"-- starting hand #125 (id: 5ovmsiw6rfmv)  (No Limit Texas Hold'em) (dealer: ""peelic @ vOeqrOXpLT"") --",2025-10-09T02:30:47.016Z,175997704701600
"-- ending hand #124 --",2025-10-09T02:30:41.008Z,175997704100804
"""spenny @ ujRgmhBD9T"" collected 800 from pot with Three of a Kind, 2's (combination: 2♠, 2♣, 2♦, Q♠, J♣)",2025-10-09T02:30:41.008Z,175997704100803
"""spenny @ ujRgmhBD9T"" shows a 2♠, 2♣.",2025-10-09T02:30:41.008Z,175997704100802
"""Jonah @ xrBY5OZYCv"" shows a 4♣, Q♥.",2025-10-09T02:30:41.008Z,175997704100801
"Uncalled bet of 180 returned to ""Jonah @ xrBY5OZYCv""",2025-10-09T02:30:41.008Z,175997704100800
"""spenny @ ujRgmhBD9T"" calls 110 and go all in",2025-10-09T02:30:40.188Z,175997704018800
"""Stevo @ GBEr6xd4D5"" folds",2025-10-09T02:30:37.728Z,175997703772800
"""Jonah @ xrBY5OZYCv"" bets 290",2025-10-09T02:30:36.727Z,175997703672700
"River: J♣, Q♠, 2♦, 5♦ [10♥]",2025-10-09T02:30:30.605Z,175997703060500
"""spenny @ ujRgmhBD9T"" calls 120",2025-10-09T02:30:29.787Z,175997702978700
"""Stevo @ GBEr6xd4D5"" calls 120",2025-10-09T02:30:26.633Z,175997702663300
"""Jonah @ xrBY5OZYCv"" bets 120",2025-10-09T02:30:22.478Z,175997702247800
"Turn: J♣, Q♠, 2♦ [5♦]",2025-10-09T02:30:19.394Z,175997701939400
"""peelic @ vOeqrOXpLT"" folds",2025-10-09T02:30:18.517Z,175997701851700
"""spenny @ ujRgmhBD9T"" calls 40",2025-10-09T02:30:14.944Z,175997701494400
"""goeorgeo @ Bmh0Oaaybv"" folds",2025-10-09T02:30:11.786Z,175997701178600
"""Stevo @ GBEr6xd4D5"" calls 40",2025-10-09T02:30:10.936Z,175997701093600
"""Jonah @ xrBY5OZYCv"" bets 40",2025-10-09T02:30:09.719Z,175997700971900
"""peelic @ vOeqrOXpLT"" checks",2025-10-09T02:30:07.275Z,175997700727500
"Flop:  [J♣, Q♠, 2♦]",2025-10-09T02:30:04.017Z,175997700401700
"""Jonah @ xrBY5OZYCv"" checks",2025-10-09T02:30:03.177Z,175997700317700
