entry,at,order
"""arash @ huBdniBdCU"" folds",2022-04-15T01:16:39.347Z,164998539934700
"""gegre @ G4RdqDSm6Z"" folds",2022-04-15T01:16:38.145Z,164998539814500
"""spange @ dmhAX-vkbI"" posts a big blind of 20",2022-04-15T01:16:33.649Z,164998539364907
"""Stevo @ 5Ep7Sc0sJg"" posts a small blind of 10",2022-04-15T01:16:33.649Z,164998539364906
"Your hand is 9♣, 6♦",2022-04-15T01:16:33.649Z,164998539364902
"Player stacks: #1 ""arash @ huBdniBdCU"" (1876) | #3 ""Stevo @ 5Ep7Sc0sJg"" (210) | #4 ""spange @ dmhAX-vkbI"" (1461) | #10 ""gegre @ G4RdqDSm6Z"" (1453)",2022-04-15T01:16:33.649Z,164998539364901
"-- starting hand #76  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2022-04-15T01:16:33.649Z,164998539364900
"""Stevo @ 5Ep7Sc0sJg"" shows a K♦, 8♣.",2022-04-15T01:16:29.868Z,164998538986800
"Undealt cards:  [8♠, J♦, 4♣, 6♥, 10♥]",2022-04-15T01:16:27.992Z,164998538799200
"-- ending hand #75 --",2022-04-15T01:16:26.949Z,164998538694902
"""Stevo @ 5Ep7Sc0sJg"" collected 60 from pot",2022-04-15T01:16:26.949Z,164998538694901
"Uncalled bet of 150 returned to ""Stevo @ 5Ep7Sc0sJg""",2022-04-15T01:16:26.949Z,164998538694900
"""arash @ huBdniBdCU"" folds",2022-04-15T01:16:26.043Z,164998538604300
"""gegre @ G4RdqDSm6Z"" folds",2022-04-15T01:16:25.130Z,164998538513000
"""Stevo @ 5Ep7Sc0sJg"" raises to 170 and go all in",2022-04-15T01:16:23.974Z,164998538397400
"""arash @ huBdniBdCU"" calls 20",2022-04-15T01:16:21.401Z,164998538140100
"""gegre @ G4RdqDSm6Z"" calls 20",2022-04-15T01:16:20.320Z,164998538032000
"""spange @ dmhAX-vkbI"" folds",2022-04-15T01:16:19.346Z,164998537934600
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2022-04-15T01:16:16.321Z,164998537632107
"""arash @ huBdniBdCU"" posts a small blind of 10",2022-04-15T01:16:16.321Z,164998537632106
"Your hand is 6♣, 3♦",2022-04-15T01:16:16.321Z,164998537632102
"Player stacks: #1 ""arash @ huBdniBdCU"" (1896) | #3 ""Stevo @ 5Ep7Sc0sJg"" (170) | #4 ""spange @ dmhAX-vkbI"" (1461) | #10 ""gegre @ G4RdqDSm6Z"" (1473)",2022-04-15T01:16:16.321Z,164998537632101
"-- starting hand #75  (No Limit Texas Hold'em) (dealer: ""gegre @ G4RdqDSm6Z"") --",2022-04-15T01:16:16.321Z,164998537632100
"""Stevo @ 5Ep7Sc0sJg"" shows a K♠, J♥.",2022-04-15T01:16:12.219Z,164998537221900
"Undealt cards:  [9♣, K♥, 10♦, A♠, 8♣]",2022-04-15T01:16:10.713Z,164998537071300
"-- ending hand #74 --",2022-04-15T01:16:09.633Z,164998536963302
"""Stevo @ 5Ep7Sc0sJg"" collected 50 from pot",2022-04-15T01:16:09.633Z,164998536963301
"Uncalled bet of 120 returned to ""Stevo @ 5Ep7Sc0sJg""",2022-04-15T01:16:09.633Z,164998536963300
"""arash @ huBdniBdCU"" folds",2022-04-15T01:16:08.805Z,164998536880500
"""gegre @ G4RdqDSm6Z"" folds",2022-04-15T01:16:07.859Z,164998536785900
"""spange @ dmhAX-vkbI"" folds",2022-04-15T01:16:06.926Z,164998536692600
"""Stevo @ 5Ep7Sc0sJg"" raises to 140 and go all in",2022-04-15T01:16:03.251Z,164998536325100
"""arash @ huBdniBdCU"" posts a big blind of 20",2022-04-15T01:16:00.629Z,164998536062907
"""gegre @ G4RdqDSm6Z"" posts a small blind of 10",2022-04-15T01:16:00.629Z,164998536062906
"Your hand is 7♥, 2♠",2022-04-15T01:16:00.629Z,164998536062902
"Player stacks: #1 ""arash @ huBdniBdCU"" (1916) | #3 ""Stevo @ 5Ep7Sc0sJg"" (140) | #4 ""spange @ dmhAX-vkbI"" (1461) | #10 ""gegre @ G4RdqDSm6Z"" (1483)",2022-04-15T01:16:00.629Z,164998536062901
"-- starting hand #74  (No Limit Texas Hold'em) (dealer: ""spange @ dmhAX-vkbI"") --",2022-04-15T01:16:00.629Z,164998536062900
"Undealt cards: A♥, 2♦, 2♠, K♠ [4♦]",2022-04-15T01:15:56.491Z,164998535649100
"-- ending hand #73 --",2022-04-15T01:15:54.629Z,164998535462902
"""spange @ dmhAX-vkbI"" collected 300 from pot",2022-04-15T01:15:54.629Z,164998535462901
"Uncalled bet of 125 returned to ""spange @ dmhAX-vkbI""",2022-04-15T01:15:54.629Z,164998535462900
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-04-15T01:15:53.793Z,164998535379300
"""gegre @ G4RdqDSm6Z"" folds",2022-04-15T01:15:52.831Z,164998535283100
"""spange @ dmhAX-vkbI"" bets 125",2022-04-15T01:15:11.948Z,164998531194800
"Turn: A♥, 2♦, 2♠ [K♠]",2022-04-15T01:15:05.083Z,164998530508300
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-04-15T01:15:04.230Z,164998530423000
"""gegre @ G4RdqDSm6Z"" checks",2022-04-15T01:15:03.242Z,164998530324200
"""spange @ dmhAX-vkbI"" checks",2022-04-15T01:15:02.194Z,164998530219400
"Flop:  [A♥, 2♦, 2♠]",2022-04-15T01:14:55.171Z,164998529517100
"""gegre @ G4RdqDSm6Z"" calls 100",2022-04-15T01:14:54.292Z,164998529429200
"""spange @ dmhAX-vkbI"" calls 100",2022-04-15T01:14:53.387Z,164998529338700
"""Stevo @ 5Ep7Sc0sJg"" raises to 100",2022-04-15T01:14:50.679Z,164998529067900
"""arash @ huBdniBdCU"" folds",2022-04-15T01:14:47.581Z,164998528758100
"""gegre @ G4RdqDSm6Z"" posts a big blind of 20",2022-04-15T01:14:44.763Z,164998528476307
"""spange @ dmhAX-vkbI"" posts a small blind of 10",2022-04-15T01:14:44.763Z,164998528476306
"Your hand is 6♣, 9♥",2022-04-15T01:14:44.763Z,164998528476302
"Player stacks: #1 ""arash @ huBdniBdCU"" (1916) | #3 ""Stevo @ 5Ep7Sc0sJg"" (240) | #4 ""spange @ dmhAX-vkbI"" (1261) | #10 ""gegre @ G4RdqDSm6Z"" (1583)",2022-04-15T01:14:44.763Z,164998528476301
"-- starting hand #73  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2022-04-15T01:14:44.763Z,164998528476300
"-- ending hand #72 --",2022-04-15T01:14:41.763Z,164998528176302
"""arash @ huBdniBdCU"" collected 204 from pot",2022-04-15T01:14:41.763Z,164998528176301
"Uncalled bet of 78 returned to ""arash @ huBdniBdCU""",2022-04-15T01:14:41.763Z,164998528176300
"""spange @ dmhAX-vkbI"" folds",2022-04-15T01:14:40.903Z,164998528090300
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-04-15T01:14:32.130Z,164998527213000
"""arash @ huBdniBdCU"" raises to 120",2022-04-15T01:14:31.213Z,164998527121300
"""spange @ dmhAX-vkbI"" bets 42",2022-04-15T01:14:25.680Z,164998526568000
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-04-15T01:14:18.481Z,164998525848100
"River: 5♣, 10♦, 9♥, A♣ [J♣]",2022-04-15T01:14:17.239Z,164998525723900
"""arash @ huBdniBdCU"" checks",2022-04-15T01:14:16.343Z,164998525634300
"""spange @ dmhAX-vkbI"" checks",2022-04-15T01:14:14.987Z,164998525498700
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-04-15T01:14:11.543Z,164998525154300
"Turn: 5♣, 10♦, 9♥ [A♣]",2022-04-15T01:14:10.637Z,164998525063700
"""arash @ huBdniBdCU"" checks",2022-04-15T01:14:09.744Z,164998524974400
"""spange @ dmhAX-vkbI"" checks",2022-04-15T01:14:08.228Z,164998524822800
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-04-15T01:14:00.677Z,164998524067700
"Flop:  [5♣, 10♦, 9♥]",2022-04-15T01:13:59.040Z,164998523904000
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2022-04-15T01:13:58.208Z,164998523820800
"""arash @ huBdniBdCU"" calls 40",2022-04-15T01:13:57.285Z,164998523728500
"""spange @ dmhAX-vkbI"" raises to 40",2022-04-15T01:13:55.652Z,164998523565200
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-04-15T01:13:52.321Z,164998523232100
"""arash @ huBdniBdCU"" calls 20",2022-04-15T01:13:51.360Z,164998523136000
"""gegre @ G4RdqDSm6Z"" folds",2022-04-15T01:13:48.950Z,164998522895000
"""spange @ dmhAX-vkbI"" posts a big blind of 20",2022-04-15T01:13:44.718Z,164998522471807
"""Stevo @ 5Ep7Sc0sJg"" posts a small blind of 10",2022-04-15T01:13:44.718Z,164998522471806
"Your hand is Q♣, K♠",2022-04-15T01:13:44.718Z,164998522471802
"Player stacks: #1 ""arash @ huBdniBdCU"" (1794) | #3 ""Stevo @ 5Ep7Sc0sJg"" (280) | #4 ""spange @ dmhAX-vkbI"" (1343) | #10 ""gegre @ G4RdqDSm6Z"" (1583)",2022-04-15T01:13:44.718Z,164998522471801
"-- starting hand #72  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2022-04-15T01:13:44.718Z,164998522471800
"""Stevo @ 5Ep7Sc0sJg"" shows a 8♣, 7♦.",2022-04-15T01:13:42.294Z,164998522229400
"-- ending hand #71 --",2022-04-15T01:13:41.105Z,164998522110502
"""gegre @ G4RdqDSm6Z"" collected 580 from pot",2022-04-15T01:13:41.105Z,164998522110501
"Uncalled bet of 120 returned to ""gegre @ G4RdqDSm6Z""",2022-04-15T01:13:41.105Z,164998522110500
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-04-15T01:13:40.257Z,164998522025700
"""gegre @ G4RdqDSm6Z"" raises to 140",2022-04-15T01:13:37.896Z,164998521789600
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2022-04-15T01:13:34.907Z,164998521490700
"River: J♠, 5♠, 4♦, 7♣ [3♦]",2022-04-15T01:13:33.502Z,164998521350200
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2022-04-15T01:13:32.625Z,164998521262500
"""gegre @ G4RdqDSm6Z"" raises to 40",2022-04-15T01:13:31.667Z,164998521166700
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2022-04-15T01:13:27.314Z,164998520731400
"Turn: J♠, 5♠, 4♦ [7♣]",2022-04-15T01:13:26.099Z,164998520609900
"""Stevo @ 5Ep7Sc0sJg"" calls 140",2022-04-15T01:13:25.278Z,164998520527800
"""arash @ huBdniBdCU"" folds",2022-04-15T01:13:24.145Z,164998520414500
"""gegre @ G4RdqDSm6Z"" raises to 140",2022-04-15T01:13:20.394Z,164998520039400
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2022-04-15T01:13:17.956Z,164998519795600
"""arash @ huBdniBdCU"" checks",2022-04-15T01:13:16.713Z,164998519671300
"Flop:  [J♠, 5♠, 4♦]",2022-04-15T01:13:14.414Z,164998519441400
"""arash @ huBdniBdCU"" calls 60",2022-04-15T01:13:13.568Z,164998519356800
"""gegre @ G4RdqDSm6Z"" calls 60",2022-04-15T01:13:12.299Z,164998519229900
"""Stevo @ 5Ep7Sc0sJg"" raises to 60",2022-04-15T01:13:11.105Z,164998519110500
"""arash @ huBdniBdCU"" calls 20",2022-04-15T01:13:08.810Z,164998518881000
"""gegre @ G4RdqDSm6Z"" calls 20",2022-04-15T01:13:07.721Z,164998518772100
"""spange @ dmhAX-vkbI"" folds",2022-04-15T01:13:06.818Z,164998518681800
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2022-04-15T01:13:00.465Z,164998518046507
"""arash @ huBdniBdCU"" posts a small blind of 10",2022-04-15T01:13:00.465Z,164998518046506
"Your hand is Q♦, A♦",2022-04-15T01:13:00.465Z,164998518046502
"Player stacks: #1 ""arash @ huBdniBdCU"" (1854) | #3 ""Stevo @ 5Ep7Sc0sJg"" (540) | #4 ""spange @ dmhAX-vkbI"" (1343) | #10 ""gegre @ G4RdqDSm6Z"" (1263)",2022-04-15T01:13:00.465Z,164998518046501
"-- starting hand #71  (No Limit Texas Hold'em) (dealer: ""gegre @ G4RdqDSm6Z"") --",2022-04-15T01:13:00.465Z,164998518046500
"Undealt cards:  [6♠, 10♠, 5♣, Q♦, Q♣]",2022-04-15T01:12:55.276Z,164998517527600
"-- ending hand #70 --",2022-04-15T01:12:54.552Z,164998517455202
"""Stevo @ 5Ep7Sc0sJg"" collected 50 from pot",2022-04-15T01:12:54.552Z,164998517455201
"Uncalled bet of 80 returned to ""Stevo @ 5Ep7Sc0sJg""",2022-04-15T01:12:54.552Z,164998517455200
"""arash @ huBdniBdCU"" folds",2022-04-15T01:12:53.747Z,164998517374700
"""gegre @ G4RdqDSm6Z"" folds",2022-04-15T01:12:52.778Z,164998517277800
"""spange @ dmhAX-vkbI"" folds",2022-04-15T01:12:51.869Z,164998517186900
"""Stevo @ 5Ep7Sc0sJg"" raises to 100",2022-04-15T01:12:45.306Z,164998516530600
"""arash @ huBdniBdCU"" posts a big blind of 20",2022-04-15T01:12:42.462Z,164998516246207
"""gegre @ G4RdqDSm6Z"" posts a small blind of 10",2022-04-15T01:12:42.462Z,164998516246206
"Your hand is 7♦, 2♣",2022-04-15T01:12:42.462Z,164998516246202
"Player stacks: #1 ""arash @ huBdniBdCU"" (1874) | #3 ""Stevo @ 5Ep7Sc0sJg"" (510) | #4 ""spange @ dmhAX-vkbI"" (1343) | #10 ""gegre @ G4RdqDSm6Z"" (1273)",2022-04-15T01:12:42.462Z,164998516246201
"-- starting hand #70  (No Limit Texas Hold'em) (dealer: ""spange @ dmhAX-vkbI"") --",2022-04-15T01:12:42.462Z,164998516246200
"Undealt cards: 4♠, 8♣, K♣, 5♣ [3♣]",2022-04-15T01:12:37.720Z,164998515772000
"-- ending hand #69 --",2022-04-15T01:12:36.545Z,164998515654502
"""gegre @ G4RdqDSm6Z"" collected 60 from pot",2022-04-15T01:12:36.545Z,164998515654501
"Uncalled bet of 60 returned to ""gegre @ G4RdqDSm6Z""",2022-04-15T01:12:36.545Z,164998515654500
"""spange @ dmhAX-vkbI"" folds",2022-04-15T01:12:35.735Z,164998515573500
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-04-15T01:12:03.433Z,164998512343300
"""gegre @ G4RdqDSm6Z"" bets 60",2022-04-15T01:12:02.512Z,164998512251200
"""spange @ dmhAX-vkbI"" checks",2022-04-15T01:12:00.074Z,164998512007400
"Turn: 4♠, 8♣, K♣ [5♣]",2022-04-15T01:11:53.824Z,164998511382400
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-04-15T01:11:52.924Z,164998511292400
"""gegre @ G4RdqDSm6Z"" checks",2022-04-15T01:11:51.996Z,164998511199600
"""spange @ dmhAX-vkbI"" checks",2022-04-15T01:11:50.836Z,164998511083600
"Flop:  [4♠, 8♣, K♣]",2022-04-15T01:11:44.114Z,164998510411400
"""gegre @ G4RdqDSm6Z"" checks",2022-04-15T01:11:43.261Z,164998510326100
"""spange @ dmhAX-vkbI"" calls 20",2022-04-15T01:11:41.649Z,164998510164900
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-04-15T01:11:39.809Z,164998509980900
"""arash @ huBdniBdCU"" folds",2022-04-15T01:11:38.815Z,164998509881500
"""gegre @ G4RdqDSm6Z"" posts a big blind of 20",2022-04-15T01:11:37.012Z,164998509701207
"""spange @ dmhAX-vkbI"" posts a small blind of 10",2022-04-15T01:11:37.012Z,164998509701206
"Your hand is 5♠, 7♥",2022-04-15T01:11:37.012Z,164998509701202
"Player stacks: #1 ""arash @ huBdniBdCU"" (1874) | #3 ""Stevo @ 5Ep7Sc0sJg"" (530) | #4 ""spange @ dmhAX-vkbI"" (1363) | #10 ""gegre @ G4RdqDSm6Z"" (1233)",2022-04-15T01:11:37.012Z,164998509701201
"-- starting hand #69  (No Limit Texas Hold'em) (dealer: ""Stevo @ 5Ep7Sc0sJg"") --",2022-04-15T01:11:37.012Z,164998509701200
"""Stevo @ 5Ep7Sc0sJg"" shows a 10♥, Q♣.",2022-04-15T01:11:32.115Z,164998509211500
"""gegre @ G4RdqDSm6Z"" shows a J♣, K♥.",2022-04-15T01:11:32.053Z,164998509205300
"Undealt cards: 4♥, 2♠, A♣ [K♦, J♥]",2022-04-15T01:11:31.106Z,164998509110600
"-- ending hand #68 --",2022-04-15T01:11:29.608Z,164998508960802
"""spange @ dmhAX-vkbI"" collected 160 from pot",2022-04-15T01:11:29.608Z,164998508960801
"Uncalled bet of 62 returned to ""spange @ dmhAX-vkbI""",2022-04-15T01:11:29.608Z,164998508960800
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-04-15T01:11:28.743Z,164998508874300
"""arash @ huBdniBdCU"" folds",2022-04-15T01:11:27.802Z,164998508780200
"""gegre @ G4RdqDSm6Z"" folds",2022-04-15T01:11:25.934Z,164998508593400
"""spange @ dmhAX-vkbI"" bets 62",2022-04-15T01:11:24.860Z,164998508486000
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-04-15T01:11:16.618Z,164998507661800
"Flop:  [4♥, 2♠, A♣]",2022-04-15T01:11:14.800Z,164998507480000
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2022-04-15T01:11:13.933Z,164998507393300
"""arash @ huBdniBdCU"" calls 40",2022-04-15T01:11:12.945Z,164998507294500
"""gegre @ G4RdqDSm6Z"" calls 40",2022-04-15T01:11:11.404Z,164998507140400
"""spange @ dmhAX-vkbI"" raises to 40",2022-04-15T01:11:09.331Z,164998506933100
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-04-15T01:10:59.607Z,164998505960700
"""arash @ huBdniBdCU"" calls 20",2022-04-15T01:10:58.614Z,164998505861400
"""gegre @ G4RdqDSm6Z"" calls 20",2022-04-15T01:10:56.832Z,164998505683200
"""spange @ dmhAX-vkbI"" posts a big blind of 20",2022-04-15T01:10:54.876Z,164998505487607
"""Stevo @ 5Ep7Sc0sJg"" posts a small blind of 10",2022-04-15T01:10:54.876Z,164998505487606
"Your hand is K♣, 8♣",2022-04-15T01:10:54.876Z,164998505487602
"Player stacks: #1 ""arash @ huBdniBdCU"" (1914) | #3 ""Stevo @ 5Ep7Sc0sJg"" (570) | #4 ""spange @ dmhAX-vkbI"" (1243) | #10 ""gegre @ G4RdqDSm6Z"" (1273)",2022-04-15T01:10:54.876Z,164998505487601
"-- starting hand #68  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2022-04-15T01:10:54.876Z,164998505487600
"""Stevo @ 5Ep7Sc0sJg"" shows a 3♦, J♣.",2022-04-15T01:10:50.245Z,164998505024500
"Undealt cards: Q♣, J♦, Q♠ [7♦, J♥]",2022-04-15T01:10:49.118Z,164998504911800
"-- ending hand #67 --",2022-04-15T01:10:48.188Z,164998504818802
"""Stevo @ 5Ep7Sc0sJg"" collected 60 from pot",2022-04-15T01:10:48.188Z,164998504818801
"Uncalled bet of 20 returned to ""Stevo @ 5Ep7Sc0sJg""",2022-04-15T01:10:48.188Z,164998504818800
"""arash @ huBdniBdCU"" folds",2022-04-15T01:10:47.351Z,164998504735100
"""spange @ dmhAX-vkbI"" folds",2022-04-15T01:10:46.400Z,164998504640000
