entry,at,order
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2022-05-20T02:01:13.083Z,165301207308308
"""Stevo @ 5Ep7Sc0sJg"" posts a small blind of 10",2022-05-20T02:01:13.083Z,165301207308307
"Your hand is A♥, J♥",2022-05-20T02:01:13.083Z,165301207308304
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (1820) | #7 ""Spenny @ nR6Yv41Maz"" (3648) | #8 ""arash @ huBdniBdCU"" (2197) | #9 ""geoeeorge @ G4RdqDSm6Z"" (2427) | #10 ""Stevo @ 5Ep7Sc0sJg"" (1908)",2022-05-20T02:01:13.083Z,165301207308301
"-- starting hand #100  (No Limit Texas Hold'em) (dealer: ""geoeeorge @ G4RdqDSm6Z"") --",2022-05-20T02:01:13.083Z,165301207308300
"""peelic @ c2JqQCu6sT"" shows a K♥, 5♠.",2022-05-20T02:01:10.678Z,165301207067800
"-- ending hand #99 --",2022-05-20T02:01:06.491Z,165301206649104
"""Spenny @ nR6Yv41Maz"" shows a A♥, 3♦.",2022-05-20T02:01:06.491Z,165301206649103
"""Stevo @ 5Ep7Sc0sJg"" shows a 7♣, A♣.",2022-05-20T02:01:06.491Z,165301206649102
"""arash @ huBdniBdCU"" collected 850 from pot with Pair, J's (combination: J♠, J♦, K♠, Q♦, 10♣)",2022-05-20T02:01:06.491Z,165301206649101
"""arash @ huBdniBdCU"" shows a J♠, 10♣.",2022-05-20T02:01:06.491Z,165301206649100
"""arash @ huBdniBdCU"" checks",2022-05-20T02:01:05.654Z,165301206565400
"""Spenny @ nR6Yv41Maz"" checks",2022-05-20T02:01:03.762Z,165301206376200
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-05-20T02:01:01.292Z,165301206129200
"River: Q♦, J♦, K♠, 3♠ [2♠]",2022-05-20T02:00:58.960Z,165301205896000
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2022-05-20T02:00:58.145Z,165301205814500
"""arash @ huBdniBdCU"" calls 40",2022-05-20T02:00:57.253Z,165301205725300
"""Spenny @ nR6Yv41Maz"" bets 40",2022-05-20T02:00:56.095Z,165301205609500
"""Stevo @ 5Ep7Sc0sJg"" checks",2022-05-20T02:00:52.807Z,165301205280700
"Turn: Q♦, J♦, K♠ [3♠]",2022-05-20T02:00:51.564Z,165301205156400
"""Stevo @ 5Ep7Sc0sJg"" calls 80",2022-05-20T02:00:50.742Z,165301205074200
"""arash @ huBdniBdCU"" calls 80",2022-05-20T02:00:49.817Z,165301204981700
"""Spenny @ nR6Yv41Maz"" raises to 80",2022-05-20T02:00:48.627Z,165301204862700
"""Stevo @ 5Ep7Sc0sJg"" bets 20",2022-05-20T02:00:45.048Z,165301204504800
"Flop:  [Q♦, J♦, K♠]",2022-05-20T02:00:42.726Z,165301204272600
"""geoeeorge @ G4RdqDSm6Z"" folds",2022-05-20T02:00:41.907Z,165301204190700
"""arash @ huBdniBdCU"" calls 150",2022-05-20T02:00:40.953Z,165301204095300
"""Spenny @ nR6Yv41Maz"" calls 150",2022-05-20T02:00:39.584Z,165301203958400
"""peelic @ c2JqQCu6sT"" folds",2022-05-20T02:00:38.708Z,165301203870800
"""Stevo @ 5Ep7Sc0sJg"" raises to 150",2022-05-20T02:00:34.593Z,165301203459300
"""geoeeorge @ G4RdqDSm6Z"" calls 20",2022-05-20T02:00:31.909Z,165301203190900
"""arash @ huBdniBdCU"" calls 20",2022-05-20T02:00:30.918Z,165301203091800
"""Spenny @ nR6Yv41Maz"" calls 20",2022-05-20T02:00:29.847Z,165301202984700
"""peelic @ c2JqQCu6sT"" calls 20",2022-05-20T02:00:28.587Z,165301202858700
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2022-05-20T02:00:23.053Z,165301202305308
"""geoeeorge @ G4RdqDSm6Z"" posts a small blind of 10",2022-05-20T02:00:23.053Z,165301202305307
