entry,at,order
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2022-02-25T03:00:31.813Z,164575803181307
"""arash @ huBdniBdCU"" posts a small blind of 10",2022-02-25T03:00:31.813Z,164575803181306
"Your hand is 4♥, 8♦",2022-02-25T03:00:31.813Z,164575803181304
"Player stacks: #1 ""peelic @ c2JqQCu6sT"" (380) | #2 ""Spenny @ -afoiXCW7F"" (620) | #8 ""arash @ huBdniBdCU"" (2870) | #10 ""Stevo @ 5Ep7Sc0sJg"" (2130)",2022-02-25T03:00:31.813Z,164575803181301
"-- starting hand #97  (No Limit Texas Hold'em) (dealer: ""Spenny @ -afoiXCW7F"") --",2022-02-25T03:00:31.813Z,164575803181300
"""Spenny @ -afoiXCW7F"" shows a 4♠, 3♦.",2022-02-25T03:00:28.443Z,164575802844300
"""Stevo @ 5Ep7Sc0sJg"" shows a 4♦, 7♠.",2022-02-25T03:00:28.084Z,164575802808400
"""peelic @ c2JqQCu6sT"" shows a 4♥, 5♣.",2022-02-25T03:00:27.537Z,164575802753700
"-- ending hand #96 --",2022-02-25T03:00:26.691Z,164575802669102
"""Spenny @ -afoiXCW7F"" collected 160 from pot",2022-02-25T03:00:26.691Z,164575802669101
"Uncalled bet of 40 returned to ""Spenny @ -afoiXCW7F""",2022-02-25T03:00:26.691Z,164575802669100
"""peelic @ c2JqQCu6sT"" folds",2022-02-25T03:00:25.841Z,164575802584100
"""Spenny @ -afoiXCW7F"" bets 40",2022-02-25T03:00:21.803Z,164575802180300
"River: A♣, A♦, 8♠, 3♠ [K♦]",2022-02-25T03:00:15.794Z,164575801579400
"""peelic @ c2JqQCu6sT"" calls 20",2022-02-25T03:00:14.876Z,164575801487600
"""Spenny @ -afoiXCW7F"" bets 20",2022-02-25T03:00:13.900Z,164575801390000
"Turn: A♣, A♦, 8♠ [3♠]",2022-02-25T03:00:10.186Z,164575801018600
"""peelic @ c2JqQCu6sT"" calls 20",2022-02-25T03:00:09.349Z,164575800934900
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-02-25T03:00:08.089Z,164575800808900
"""arash @ huBdniBdCU"" folds",2022-02-25T03:00:07.132Z,164575800713200
"""Spenny @ -afoiXCW7F"" bets 20",2022-02-25T03:00:01.401Z,164575800140100
"Flop:  [A♣, A♦, 8♠]",2022-02-25T02:59:57.173Z,164575799717300
"""arash @ huBdniBdCU"" checks",2022-02-25T02:59:56.288Z,164575799628800
