entry,at,order
"""arash @ 0bo0jRLLVc"" posts a big blind of 20",2023-07-27T03:03:02.343Z,169042698234310
"""grere @ WJ-HPcQ09S"" posts a small blind of 10",2023-07-27T03:03:02.343Z,169042698234309
"Your hand is Q♥, 7♥",2023-07-27T03:03:02.343Z,169042698234307
"Player stacks: #3 ""Dave-eed @ MRdVhght7H"" (263) | #5 ""peelic @ iCz3PRIxwh"" (578) | #6 ""Spenny @ cu8vqwqurV"" (2412) | #7 ""Stevo @ kI2bCqDOyl"" (1019) | #8 ""grere @ WJ-HPcQ09S"" (1692) | #9 ""arash @ 0bo0jRLLVc"" (4434) | #10 ""Jonah @ VdEHFtBZzk"" (1602)",2023-07-27T03:03:02.343Z,169042698234301
"-- starting hand #105 (id: xiw05m6srefu)  (No Limit Texas Hold'em) (dealer: ""Stevo @ kI2bCqDOyl"") --",2023-07-27T03:03:02.343Z,169042698234300
"-- ending hand #104 --",2023-07-27T03:02:56.321Z,169042697632102
"""arash @ 0bo0jRLLVc"" collected 400 from pot with Pair, A's (combination: A♥, A♦, Q♦, 10♥, 8♠)",2023-07-27T03:02:56.321Z,169042697632101
"""arash @ 0bo0jRLLVc"" shows a A♥, 4♠.",2023-07-27T03:02:56.321Z,169042697632100
"""grere @ WJ-HPcQ09S"" calls 100",2023-07-27T03:02:55.469Z,169042697546900
"""peelic @ iCz3PRIxwh"" folds",2023-07-27T03:02:47.301Z,169042696730100
"""Jonah @ VdEHFtBZzk"" folds",2023-07-27T03:02:46.337Z,169042696633700
"""arash @ 0bo0jRLLVc"" bets 100",2023-07-27T03:02:44.880Z,169042696488000
"""grere @ WJ-HPcQ09S"" checks",2023-07-27T03:02:41.830Z,169042696183000
"River: 10♥, 5♠, A♦, 8♠ [Q♦]",2023-07-27T03:02:38.501Z,169042695850100
"""Stevo @ kI2bCqDOyl"" folds",2023-07-27T03:02:37.658Z,169042695765800
"""Spenny @ cu8vqwqurV"" folds",2023-07-27T03:02:36.676Z,169042695667600
"""peelic @ iCz3PRIxwh"" calls 20",2023-07-27T03:02:24.205Z,169042694420500
"""Jonah @ VdEHFtBZzk"" calls 20",2023-07-27T03:02:23.196Z,169042694319600
"""arash @ 0bo0jRLLVc"" calls 20",2023-07-27T03:02:22.301Z,169042694230100
"""grere @ WJ-HPcQ09S"" bets 20",2023-07-27T03:02:21.349Z,169042694134900
"""Stevo @ kI2bCqDOyl"" checks",2023-07-27T03:02:20.251Z,169042694025100
"Turn: 10♥, 5♠, A♦ [8♠]",2023-07-27T03:02:19.361Z,169042693936100
"""Spenny @ cu8vqwqurV"" checks",2023-07-27T03:02:18.541Z,169042693854100
"""peelic @ iCz3PRIxwh"" checks",2023-07-27T03:02:17.594Z,169042693759400
"""Jonah @ VdEHFtBZzk"" checks",2023-07-27T03:02:16.440Z,169042693644000
"""arash @ 0bo0jRLLVc"" checks",2023-07-27T03:02:15.532Z,169042693553200
"""grere @ WJ-HPcQ09S"" checks",2023-07-27T03:02:14.598Z,169042693459800
"""Stevo @ kI2bCqDOyl"" checks",2023-07-27T03:02:13.528Z,169042693352800
"Flop:  [10♥, 5♠, A♦]",2023-07-27T03:02:12.150Z,169042693215000
"""grere @ WJ-HPcQ09S"" checks",2023-07-27T03:02:11.330Z,169042693133000
"""Stevo @ kI2bCqDOyl"" calls 20",2023-07-27T03:02:10.398Z,169042693039800
"""Spenny @ cu8vqwqurV"" calls 20",2023-07-27T03:02:09.393Z,169042692939300
"""peelic @ iCz3PRIxwh"" calls 20",2023-07-27T03:02:05.880Z,169042692588000
"""Dave-eed @ MRdVhght7H"" folds",2023-07-27T03:02:04.939Z,169042692493900
"""Jonah @ VdEHFtBZzk"" calls 20",2023-07-27T03:02:04.079Z,169042692407900
"""arash @ 0bo0jRLLVc"" calls 20",2023-07-27T03:02:03.168Z,169042692316800
"""grere @ WJ-HPcQ09S"" posts a big blind of 20",2023-07-27T03:01:58.875Z,169042691887510
"""Stevo @ kI2bCqDOyl"" posts a small blind of 10",2023-07-27T03:01:58.875Z,169042691887509
"Your hand is A♥, 4♠",2023-07-27T03:01:58.875Z,169042691887507
