entry,at,order
"""Stevo @ 5Ep7Sc0sJg"" posts a big blind of 20",2022-10-07T02:00:46.639Z,166510804663909
"""Spenny @ nR6Yv41Maz"" posts a small blind of 10",2022-10-07T02:00:46.639Z,166510804663908
"Your hand is 3♠, 4♦",2022-10-07T02:00:46.639Z,166510804663903
"Player stacks: #1 ""Stevo @ 5Ep7Sc0sJg"" (1040) | #2 ""arash @ --uhQWY45j"" (3596) | #4 ""peelic @ 3PnIHduXVh"" (810) | #6 ""Jonah @ KdrqU8EIQ1"" (1062) | #7 ""grogeer @ WJ-HPcQ09S"" (798) | #9 ""Spenny @ nR6Yv41Maz"" (694)",2022-10-07T02:00:46.639Z,166510804663901
"-- starting hand #92  (No Limit Texas Hold'em) (dealer: ""grogeer @ WJ-HPcQ09S"") --",2022-10-07T02:00:46.639Z,166510804663900
"""Stevo @ 5Ep7Sc0sJg"" shows a 10♥, 2♦.",2022-10-07T02:00:41.147Z,166510804114700
"-- ending hand #91 --",2022-10-07T02:00:40.034Z,166510804003402
"""Jonah @ KdrqU8EIQ1"" collected 240 from pot with Two Pair, 6's & 4's (combination: 6♣, 6♠, 4♥, 4♣, 7♦)",2022-10-07T02:00:40.034Z,166510804003401
"""peelic @ 3PnIHduXVh"" collected 810 from pot with Full House, 2's over 6's (combination: 2♣, 2♠, 2♥, 6♣, 6♠)",2022-10-07T02:00:40.034Z,166510804003400
"River: 6♣, 6♠, 2♠, 2♥ [7♦]",2022-10-07T02:00:35.900Z,166510803590000
"""Jonah @ KdrqU8EIQ1"" shows a 4♥, 4♣.",2022-10-07T02:00:31.841Z,166510803184102
"""peelic @ 3PnIHduXVh"" shows a Q♦, 2♣.",2022-10-07T02:00:31.841Z,166510803184101
"Uncalled bet of 82 returned to ""Jonah @ KdrqU8EIQ1""",2022-10-07T02:00:31.841Z,166510803184100
"""Spenny @ nR6Yv41Maz"" folds",2022-10-07T02:00:30.906Z,166510803090600
"""grogeer @ WJ-HPcQ09S"" folds",2022-10-07T02:00:29.948Z,166510802994800
"""Jonah @ KdrqU8EIQ1"" bets 82",2022-10-07T02:00:14.403Z,166510801440300
"""Spenny @ nR6Yv41Maz"" checks",2022-10-07T02:00:08.638Z,166510800863800
"""grogeer @ WJ-HPcQ09S"" checks",2022-10-07T02:00:07.154Z,166510800715400
"Turn: 6♣, 6♠, 2♠ [2♥]",2022-10-07T02:00:03.641Z,166510800364100
"""arash @ --uhQWY45j"" folds",2022-10-07T02:00:02.781Z,166510800278100
"""Spenny @ nR6Yv41Maz"" calls 80",2022-10-07T02:00:01.822Z,166510800182200
"""grogeer @ WJ-HPcQ09S"" calls 80",2022-10-07T02:00:00.166Z,166510800016600
"""Jonah @ KdrqU8EIQ1"" bets 80",2022-10-07T01:59:57.721Z,166510799772100
"""arash @ --uhQWY45j"" checks",2022-10-07T01:59:51.258Z,166510799125800
"""Spenny @ nR6Yv41Maz"" checks",2022-10-07T01:59:50.342Z,166510799034200
"""grogeer @ WJ-HPcQ09S"" checks",2022-10-07T01:59:49.434Z,166510798943400
"Flop:  [6♣, 6♠, 2♠]",2022-10-07T01:59:45.464Z,166510798546400
"""arash @ --uhQWY45j"" calls 158",2022-10-07T01:59:44.658Z,166510798465800
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-10-07T01:59:43.717Z,166510798371700
"""Spenny @ nR6Yv41Maz"" calls 158",2022-10-07T01:59:42.790Z,166510798279000
"""grogeer @ WJ-HPcQ09S"" calls 158",2022-10-07T01:59:37.579Z,166510797757900
"""Jonah @ KdrqU8EIQ1"" calls 158",2022-10-07T01:59:34.421Z,166510797442100
"""peelic @ 3PnIHduXVh"" raises to 158 and go all in",2022-10-07T01:59:32.151Z,166510797215100
"""arash @ --uhQWY45j"" calls 20",2022-10-07T01:59:30.037Z,166510797003700
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-10-07T01:59:28.757Z,166510796875700
"""Spenny @ nR6Yv41Maz"" posts a big blind of 20",2022-10-07T01:59:27.562Z,166510796756209
"""grogeer @ WJ-HPcQ09S"" posts a small blind of 10",2022-10-07T01:59:27.562Z,166510796756208
"Your hand is J♣, 8♣",2022-10-07T01:59:27.562Z,166510796756203
"Player stacks: #1 ""Stevo @ 5Ep7Sc0sJg"" (1060) | #2 ""arash @ --uhQWY45j"" (3754) | #4 ""peelic @ 3PnIHduXVh"" (158) | #6 ""Jonah @ KdrqU8EIQ1"" (1060) | #7 ""grogeer @ WJ-HPcQ09S"" (1036) | #9 ""Spenny @ nR6Yv41Maz"" (932)",2022-10-07T01:59:27.562Z,166510796756201
"-- starting hand #91  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2022-10-07T01:59:27.562Z,166510796756200
"""Stevo @ 5Ep7Sc0sJg"" shows a 5♦, 5♠.",2022-10-07T01:59:23.457Z,166510796345700
"Undealt cards:  [10♦, J♥, 7♣, 3♥, 8♦]",2022-10-07T01:59:21.440Z,166510796144000
"-- ending hand #90 --",2022-10-07T01:59:20.870Z,166510796087002
"""Jonah @ KdrqU8EIQ1"" collected 80 from pot",2022-10-07T01:59:20.870Z,166510796087001
"Uncalled bet of 40 returned to ""Jonah @ KdrqU8EIQ1""",2022-10-07T01:59:20.870Z,166510796087000
"""arash @ --uhQWY45j"" folds",2022-10-07T01:59:20.041Z,166510796004100
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-10-07T01:59:19.112Z,166510795911200
"""grogeer @ WJ-HPcQ09S"" folds",2022-10-07T01:59:16.455Z,166510795645500
"""Jonah @ KdrqU8EIQ1"" raises to 60",2022-10-07T01:59:12.953Z,166510795295300
"""peelic @ 3PnIHduXVh"" folds",2022-10-07T01:59:09.194Z,166510794919400
"""arash @ --uhQWY45j"" calls 20",2022-10-07T01:59:08.104Z,166510794810400
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-10-07T01:59:07.209Z,166510794720900
"""Spenny @ nR6Yv41Maz"" folds",2022-10-07T01:59:06.302Z,166510794630200
"""grogeer @ WJ-HPcQ09S"" posts a big blind of 20",2022-10-07T01:59:00.038Z,166510794003809
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2022-10-07T01:59:00.038Z,166510794003808
"Your hand is 7♦, J♠",2022-10-07T01:59:00.038Z,166510794003803
"Player stacks: #1 ""Stevo @ 5Ep7Sc0sJg"" (1080) | #2 ""arash @ --uhQWY45j"" (3774) | #4 ""peelic @ 3PnIHduXVh"" (158) | #6 ""Jonah @ KdrqU8EIQ1"" (1000) | #7 ""grogeer @ WJ-HPcQ09S"" (1056) | #9 ""Spenny @ nR6Yv41Maz"" (932)",2022-10-07T01:59:00.038Z,166510794003801
"-- starting hand #90  (No Limit Texas Hold'em) (dealer: ""peelic @ 3PnIHduXVh"") --",2022-10-07T01:59:00.038Z,166510794003800
