entry,at,order
"""arash @ --uhQWY45j"" posts a big blind of 20",2022-09-16T02:00:45.388Z,166329364538809
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2022-09-16T02:00:45.388Z,166329364538808
"Your hand is 4♦, 5♠",2022-09-16T02:00:45.388Z,166329364538807
"Player stacks: #1 ""Spenny @ nR6Yv41Maz"" (1460) | #3 ""Stevo @ 5Ep7Sc0sJg"" (1500) | #4 ""gegreeger @ WJ-HPcQ09S"" (2850) | #6 ""peelic @ c2JqQCu6sT"" (2400) | #8 ""Jonah @ KdrqU8EIQ1"" (960) | #10 ""arash @ --uhQWY45j"" (830)",2022-09-16T02:00:45.388Z,166329364538801
"-- starting hand #97  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2022-09-16T02:00:45.388Z,166329364538800
"Undealt cards: 6♦, K♦, K♠ [3♦, 6♠]",2022-09-16T02:00:40.942Z,166329364094200
"-- ending hand #96 --",2022-09-16T02:00:39.396Z,166329363939602
"""arash @ --uhQWY45j"" collected 160 from pot",2022-09-16T02:00:39.396Z,166329363939601
"Uncalled bet of 60 returned to ""arash @ --uhQWY45j""",2022-09-16T02:00:39.396Z,166329363939600
"""Jonah @ KdrqU8EIQ1"" folds",2022-09-16T02:00:38.575Z,166329363857500
"""peelic @ c2JqQCu6sT"" folds",2022-09-16T02:00:37.661Z,166329363766100
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-09-16T02:00:36.719Z,166329363671900
"""arash @ --uhQWY45j"" bets 60",2022-09-16T02:00:35.422Z,166329363542200
"""Jonah @ KdrqU8EIQ1"" checks",2022-09-16T02:00:32.739Z,166329363273900
"""peelic @ c2JqQCu6sT"" checks",2022-09-16T02:00:31.764Z,166329363176400
"Flop:  [6♦, K♦, K♠]",2022-09-16T02:00:29.388Z,166329362938800
"""Jonah @ KdrqU8EIQ1"" calls 40",2022-09-16T02:00:28.561Z,166329362856100
"""peelic @ c2JqQCu6sT"" calls 40",2022-09-16T02:00:27.656Z,166329362765600
"""gegreeger @ WJ-HPcQ09S"" folds",2022-09-16T02:00:26.696Z,166329362669600
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2022-09-16T02:00:25.861Z,166329362586100
"""Spenny @ nR6Yv41Maz"" folds",2022-09-16T02:00:24.897Z,166329362489700
"""arash @ --uhQWY45j"" raises to 40",2022-09-16T02:00:16.060Z,166329361606000
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2022-09-16T02:00:14.056Z,166329361405610
"""peelic @ c2JqQCu6sT"" posts a small blind of 10",2022-09-16T02:00:14.056Z,166329361405609
"Your hand is 5♠, A♦",2022-09-16T02:00:14.056Z,166329361405608
"Player stacks: #1 ""Spenny @ nR6Yv41Maz"" (1460) | #3 ""Stevo @ 5Ep7Sc0sJg"" (1540) | #4 ""gegreeger @ WJ-HPcQ09S"" (2850) | #6 ""peelic @ c2JqQCu6sT"" (2440) | #8 ""Jonah @ KdrqU8EIQ1"" (1000) | #10 ""arash @ --uhQWY45j"" (710)",2022-09-16T02:00:14.056Z,166329361405602
"-- starting hand #96  (No Limit Texas Hold'em) (dealer: ""gegreeger @ WJ-HPcQ09S"") --",2022-09-16T02:00:14.056Z,166329361405601
"The player ""Jonah @ KdrqU8EIQ1"" joined the game with a stack of 1000.",2022-09-16T02:00:14.056Z,166329361405600
"""Stevo @ 5Ep7Sc0sJg"" shows a 10♦, J♣.",2022-09-16T02:00:09.752Z,166329360975200
"Undealt cards: 2♦, J♥, 6♥, K♦ [10♥]",2022-09-16T02:00:08.301Z,166329360830100
"-- ending hand #95 --",2022-09-16T02:00:07.371Z,166329360737102
"""gegreeger @ WJ-HPcQ09S"" collected 240 from pot",2022-09-16T02:00:07.371Z,166329360737101
"Uncalled bet of 80 returned to ""gegreeger @ WJ-HPcQ09S""",2022-09-16T02:00:07.371Z,166329360737100
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-09-16T02:00:06.553Z,166329360655300
"""gegreeger @ WJ-HPcQ09S"" bets 80",2022-09-16T02:00:01.751Z,166329360175100
"Turn: 2♦, J♥, 6♥ [K♦]",2022-09-16T01:59:58.116Z,166329359811600
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2022-09-16T01:59:57.251Z,166329359725100
"The admin approved the player ""Jonah @ KdrqU8EIQ1"" participation with a stack of 1000.",2022-09-16T01:59:55.140Z,166329359514000
"""arash @ --uhQWY45j"" folds",2022-09-16T01:59:52.755Z,166329359275500
"The player ""Jonah @ KdrqU8EIQ1"" requested a seat.",2022-09-16T01:59:51.804Z,166329359180400
"""peelic @ c2JqQCu6sT"" folds",2022-09-16T01:59:51.584Z,166329359158400
"""gegreeger @ WJ-HPcQ09S"" bets 40",2022-09-16T01:59:49.415Z,166329358941500
"Flop:  [2♦, J♥, 6♥]",2022-09-16T01:59:44.703Z,166329358470300
"""peelic @ c2JqQCu6sT"" calls 40",2022-09-16T01:59:43.885Z,166329358388500
"""gegreeger @ WJ-HPcQ09S"" calls 40",2022-09-16T01:59:42.921Z,166329358292100
"""Stevo @ 5Ep7Sc0sJg"" calls 40",2022-09-16T01:59:42.017Z,166329358201700
"""Spenny @ nR6Yv41Maz"" folds",2022-09-16T01:59:40.617Z,166329358061700
"""arash @ --uhQWY45j"" raises to 40",2022-09-16T01:59:38.042Z,166329357804200
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2022-09-16T01:59:33.608Z,166329357360809
"""gegreeger @ WJ-HPcQ09S"" posts a small blind of 10",2022-09-16T01:59:33.608Z,166329357360808
"Your hand is 3♥, A♠",2022-09-16T01:59:33.608Z,166329357360807
"Player stacks: #1 ""Spenny @ nR6Yv41Maz"" (1460) | #3 ""Stevo @ 5Ep7Sc0sJg"" (1620) | #4 ""gegreeger @ WJ-HPcQ09S"" (2690) | #6 ""peelic @ c2JqQCu6sT"" (2480) | #10 ""arash @ --uhQWY45j"" (750)",2022-09-16T01:59:33.608Z,166329357360802
