entry,at,order
"""Jonah @ KdrqU8EIQ1"" posts a straddle of 40",2022-06-17T01:17:21.854Z,165542864185406
"""arash @ huBdniBdCU"" posts a big blind of 20",2022-06-17T01:17:21.854Z,165542864185405
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2022-06-17T01:17:21.854Z,165542864185404
"Your hand is 8♠, 2♠",2022-06-17T01:17:21.854Z,165542864185402
"Player stacks: #1 ""arash @ huBdniBdCU"" (5180) | #3 ""Jonah @ KdrqU8EIQ1"" (2820)",2022-06-17T01:17:21.854Z,165542864185401
"-- starting hand #82  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2022-06-17T01:17:21.854Z,165542864185400
"-- ending hand #81 --",2022-06-17T01:17:15.787Z,165542863578703
"""Jonah @ KdrqU8EIQ1"" shows a A♣, 8♣.",2022-06-17T01:17:15.787Z,165542863578702
"""arash @ huBdniBdCU"" collected 480 from pot with Two Pair, 10's & 9's (combination: 10♠, 10♥, 9♥, 9♣, 7♦)",2022-06-17T01:17:15.787Z,165542863578701
"""arash @ huBdniBdCU"" shows a 9♥, 5♥.",2022-06-17T01:17:15.787Z,165542863578700
"""arash @ huBdniBdCU"" calls 80",2022-06-17T01:17:14.931Z,165542863493100
"""Jonah @ KdrqU8EIQ1"" bets 80",2022-06-17T01:17:13.244Z,165542863324400
"River: 10♠, 7♦, 10♥, 9♣ [3♠]",2022-06-17T01:17:10.049Z,165542863004900
"""arash @ huBdniBdCU"" calls 80",2022-06-17T01:17:09.214Z,165542862921400
"""Jonah @ KdrqU8EIQ1"" bets 80",2022-06-17T01:17:07.455Z,165542862745500
"Turn: 10♠, 7♦, 10♥ [9♣]",2022-06-17T01:17:03.178Z,165542862317800
"""arash @ huBdniBdCU"" checks",2022-06-17T01:17:02.329Z,165542862232900
"""Jonah @ KdrqU8EIQ1"" checks",2022-06-17T01:17:00.910Z,165542862091000
"Flop:  [10♠, 7♦, 10♥]",2022-06-17T01:16:55.774Z,165542861577400
"""arash @ huBdniBdCU"" calls 80",2022-06-17T01:16:54.902Z,165542861490200
"""Jonah @ KdrqU8EIQ1"" raises to 80",2022-06-17T01:16:53.579Z,165542861357900
"""arash @ huBdniBdCU"" posts a straddle of 40",2022-06-17T01:16:49.769Z,165542860976906
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2022-06-17T01:16:49.769Z,165542860976905
"""arash @ huBdniBdCU"" posts a small blind of 10",2022-06-17T01:16:49.769Z,165542860976904
"Your hand is 9♥, 5♥",2022-06-17T01:16:49.769Z,165542860976902
"Player stacks: #1 ""arash @ huBdniBdCU"" (4940) | #3 ""Jonah @ KdrqU8EIQ1"" (3060)",2022-06-17T01:16:49.769Z,165542860976901
"-- starting hand #81  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2022-06-17T01:16:49.769Z,165542860976900
"Undealt cards:  [Q♠, 8♦, 3♥, 7♥, 2♠]",2022-06-17T01:16:44.383Z,165542860438300
"-- ending hand #80 --",2022-06-17T01:16:43.769Z,165542860376902
"""arash @ huBdniBdCU"" collected 80 from pot",2022-06-17T01:16:43.769Z,165542860376901
"Uncalled bet of 20 returned to ""arash @ huBdniBdCU""",2022-06-17T01:16:43.769Z,165542860376900
"""Jonah @ KdrqU8EIQ1"" folds",2022-06-17T01:16:42.854Z,165542860285400
"""arash @ huBdniBdCU"" raises to 60",2022-06-17T01:16:41.887Z,165542860188700
"""Jonah @ KdrqU8EIQ1"" posts a straddle of 40",2022-06-17T01:16:38.972Z,165542859897206
"""arash @ huBdniBdCU"" posts a big blind of 20",2022-06-17T01:16:38.972Z,165542859897205
"""Jonah @ KdrqU8EIQ1"" posts a small blind of 10",2022-06-17T01:16:38.972Z,165542859897204
"Your hand is K♦, K♠",2022-06-17T01:16:38.972Z,165542859897202
"Player stacks: #1 ""arash @ huBdniBdCU"" (4900) | #3 ""Jonah @ KdrqU8EIQ1"" (3100)",2022-06-17T01:16:38.972Z,165542859897201
"-- starting hand #80  (No Limit Texas Hold'em) (dealer: ""Jonah @ KdrqU8EIQ1"") --",2022-06-17T01:16:38.972Z,165542859897200
"Undealt cards: 3♦, 10♥, J♠ [3♣, 5♠]",2022-06-17T01:16:33.404Z,165542859340400
"-- ending hand #79 --",2022-06-17T01:16:32.968Z,165542859296802
"""Jonah @ KdrqU8EIQ1"" collected 160 from pot",2022-06-17T01:16:32.968Z,165542859296801
"Uncalled bet of 140 returned to ""Jonah @ KdrqU8EIQ1""",2022-06-17T01:16:32.968Z,165542859296800
"""arash @ huBdniBdCU"" folds",2022-06-17T01:16:32.133Z,165542859213300
"""Jonah @ KdrqU8EIQ1"" bets 140",2022-06-17T01:16:23.470Z,165542858347000
"Flop:  [3♦, 10♥, J♠]",2022-06-17T01:16:19.355Z,165542857935500
"""Jonah @ KdrqU8EIQ1"" calls 80",2022-06-17T01:16:18.427Z,165542857842700
"""arash @ huBdniBdCU"" raises to 80",2022-06-17T01:16:16.302Z,165542857630200
"""Jonah @ KdrqU8EIQ1"" calls 40",2022-06-17T01:16:12.136Z,165542857213600
"""arash @ huBdniBdCU"" posts a straddle of 40",2022-06-17T01:16:09.552Z,165542856955206
"""Jonah @ KdrqU8EIQ1"" posts a big blind of 20",2022-06-17T01:16:09.552Z,165542856955205
"""arash @ huBdniBdCU"" posts a small blind of 10",2022-06-17T01:16:09.552Z,165542856955204
"Your hand is 7♣, Q♠",2022-06-17T01:16:09.552Z,165542856955202
"Player stacks: #1 ""arash @ huBdniBdCU"" (4980) | #3 ""Jonah @ KdrqU8EIQ1"" (3020)",2022-06-17T01:16:09.552Z,165542856955201
"-- starting hand #79  (No Limit Texas Hold'em) (dealer: ""arash @ huBdniBdCU"") --",2022-06-17T01:16:09.552Z,165542856955200
"-- ending hand #78 --",2022-06-17T01:16:03.539Z,165542856353902
"""arash @ huBdniBdCU"" collected 1280 from pot with Two Pair, 10's & 2's (combination: 10♠, 10♦, 2♠, 2♣, K♦)",2022-06-17T01:16:03.539Z,165542856353901
"""arash @ huBdniBdCU"" shows a 10♠, 6♥.",2022-06-17T01:16:03.539Z,165542856353900
"""Jonah @ KdrqU8EIQ1"" calls 400",2022-06-17T01:16:02.678Z,165542856267800
"""arash @ huBdniBdCU"" bets 400",2022-06-17T01:15:59.279Z,165542855927900
"River: 10♦, 2♠, 2♣, 4♦ [K♦]",2022-06-17T01:15:55.914Z,165542855591400
"""Jonah @ KdrqU8EIQ1"" calls 200",2022-06-17T01:15:55.093Z,165542855509300
"""arash @ huBdniBdCU"" bets 200",2022-06-17T01:15:52.439Z,165542855243900
"Turn: 10♦, 2♠, 2♣ [4♦]",2022-06-17T01:15:50.511Z,165542855051100
"""Jonah @ KdrqU8EIQ1"" checks",2022-06-17T01:15:49.600Z,165542854960000
"""arash @ huBdniBdCU"" checks",2022-06-17T01:15:48.662Z,165542854866200
"Flop:  [10♦, 2♠, 2♣]",2022-06-17T01:15:47.308Z,165542854730800
