entry,at,order
"""peelic @ c2JqQCu6sT"" posts a big blind of 20",2021-09-24T02:02:05.039Z,163244892503908
"""Spenny @ cu8vqwqurV"" posts a small blind of 10",2021-09-24T02:02:05.039Z,163244892503907
"Player stacks: #1 ""Spenny @ cu8vqwqurV"" (1543) | #2 ""peelic @ c2JqQCu6sT"" (3043) | #3 ""Jonah @ KdrqU8EIQ1"" (2850) | #4 ""goregrgoeeere @ G4RdqDSm6Z"" (2464) | #10 ""Stevo @ aL5upxHjBA"" (1100)",2021-09-24T02:02:05.039Z,163244892503901
"-- starting hand #97  (No Limit Texas Hold'em) (dealer: ""Stevo @ aL5upxHjBA"") --",2021-09-24T02:02:05.039Z,163244892503900
"""Stevo @ aL5upxHjBA"" shows a J♠, J♦.",2021-09-24T02:02:02.651Z,163244892265100
"""Jonah @ KdrqU8EIQ1"" shows a Q♣, 4♣.",2021-09-24T02:02:01.588Z,163244892158800
"-- ending hand #96 --",2021-09-24T02:02:00.658Z,163244892065802
"""Jonah @ KdrqU8EIQ1"" collected 720 from pot",2021-09-24T02:02:00.658Z,163244892065801
"Uncalled bet of 330 returned to ""Jonah @ KdrqU8EIQ1""",2021-09-24T02:02:00.658Z,163244892065800
"""Stevo @ aL5upxHjBA"" folds",2021-09-24T02:01:59.851Z,163244891985100
"""Jonah @ KdrqU8EIQ1"" raises to 400",2021-09-24T02:01:58.193Z,163244891819300
"""peelic @ c2JqQCu6sT"" folds",2021-09-24T02:01:07.563Z,163244886756300
"""Stevo @ aL5upxHjBA"" bets 70",2021-09-24T02:01:06.675Z,163244886667500
"River: 5♠, 2♦, 6♦, K♥ [8♠]",2021-09-24T02:01:01.908Z,163244886190800
"""peelic @ c2JqQCu6sT"" calls 60",2021-09-24T02:01:01.094Z,163244886109400
"""Spenny @ cu8vqwqurV"" folds",2021-09-24T02:01:00.201Z,163244886020100
"""Stevo @ aL5upxHjBA"" calls 60",2021-09-24T02:00:58.663Z,163244885866300
"""Jonah @ KdrqU8EIQ1"" bets 60",2021-09-24T02:00:57.445Z,163244885744500
"""peelic @ c2JqQCu6sT"" checks",2021-09-24T02:00:53.311Z,163244885331100
"""Spenny @ cu8vqwqurV"" checks",2021-09-24T02:00:51.541Z,163244885154100
"""Stevo @ aL5upxHjBA"" checks",2021-09-24T02:00:50.285Z,163244885028500
"Turn: 5♠, 2♦, 6♦ [K♥]",2021-09-24T02:00:48.348Z,163244884834800
"""Jonah @ KdrqU8EIQ1"" calls 60",2021-09-24T02:00:47.539Z,163244884753900
"""peelic @ c2JqQCu6sT"" calls 60",2021-09-24T02:00:46.676Z,163244884667600
"""Spenny @ cu8vqwqurV"" calls 60",2021-09-24T02:00:43.593Z,163244884359300
"""Stevo @ aL5upxHjBA"" bets 60",2021-09-24T02:00:41.599Z,163244884159900
"Flop:  [5♠, 2♦, 6♦]",2021-09-24T02:00:38.099Z,163244883809900
"""Spenny @ cu8vqwqurV"" calls 40",2021-09-24T02:00:37.291Z,163244883729100
"""Stevo @ aL5upxHjBA"" calls 40",2021-09-24T02:00:34.662Z,163244883466200
"""goregrgoeeere @ G4RdqDSm6Z"" folds",2021-09-24T02:00:31.889Z,163244883188900
"""Jonah @ KdrqU8EIQ1"" calls 40",2021-09-24T02:00:31.043Z,163244883104300
"""peelic @ c2JqQCu6sT"" raises to 40",2021-09-24T02:00:27.780Z,163244882778000
"""Spenny @ cu8vqwqurV"" posts a big blind of 20",2021-09-24T02:00:22.860Z,163244882286008
"""Stevo @ aL5upxHjBA"" posts a small blind of 10",2021-09-24T02:00:22.860Z,163244882286007
"Player stacks: #1 ""Spenny @ cu8vqwqurV"" (1643) | #2 ""peelic @ c2JqQCu6sT"" (3203) | #3 ""Jonah @ KdrqU8EIQ1"" (2360) | #4 ""goregrgoeeere @ G4RdqDSm6Z"" (2464) | #10 ""Stevo @ aL5upxHjBA"" (1330)",2021-09-24T02:00:22.860Z,163244882286001
"-- starting hand #96  (No Limit Texas Hold'em) (dealer: ""goregrgoeeere @ G4RdqDSm6Z"") --",2021-09-24T02:00:22.860Z,163244882286000
"""Stevo @ aL5upxHjBA"" shows a 2♣, 6♣.",2021-09-24T02:00:20.133Z,163244882013300
"-- ending hand #95 --",2021-09-24T02:00:19.253Z,163244881925302
"""Spenny @ cu8vqwqurV"" collected 280 from pot",2021-09-24T02:00:19.253Z,163244881925301
"Uncalled bet of 21 returned to ""Spenny @ cu8vqwqurV""",2021-09-24T02:00:19.253Z,163244881925300
"""Stevo @ aL5upxHjBA"" folds",2021-09-24T02:00:18.439Z,163244881843900
"""Spenny @ cu8vqwqurV"" bets 21",2021-09-24T02:00:17.502Z,163244881750200
"""Stevo @ aL5upxHjBA"" checks",2021-09-24T02:00:04.167Z,163244880416700
"River: K♥, J♠, 6♥, 3♦ [8♣]",2021-09-24T02:00:02.979Z,163244880297900
"""Stevo @ aL5upxHjBA"" calls 20",2021-09-24T02:00:02.168Z,163244880216800
"""Spenny @ cu8vqwqurV"" bets 20",2021-09-24T02:00:01.088Z,163244880108800
"""Stevo @ aL5upxHjBA"" checks",2021-09-24T01:59:59.526Z,163244879952600
"Turn: K♥, J♠, 6♥ [3♦]",2021-09-24T01:59:58.253Z,163244879825300
"""Stevo @ aL5upxHjBA"" calls 20",2021-09-24T01:59:57.447Z,163244879744700
"""goregrgoeeere @ G4RdqDSm6Z"" folds",2021-09-24T01:59:56.147Z,163244879614700
"""Jonah @ KdrqU8EIQ1"" folds",2021-09-24T01:59:55.309Z,163244879530900
"""peelic @ c2JqQCu6sT"" folds",2021-09-24T01:59:54.444Z,163244879444400
"""Spenny @ cu8vqwqurV"" bets 20",2021-09-24T01:59:53.554Z,163244879355400
"""Stevo @ aL5upxHjBA"" checks",2021-09-24T01:59:51.415Z,163244879141500
