entry,at,order
"""Spenny @ cu8vqwqurV"" posts a big blind of 20",2022-01-14T03:02:03.079Z,164212932307909
"""arash @ huBdniBdCU"" posts a small blind of 10",2022-01-14T03:02:03.079Z,164212932307908
"Your hand is A♠, 3♦",2022-01-14T03:02:03.079Z,164212932307904
"Player stacks: #1 ""grgeeoeeg @ G4RdqDSm6Z"" (680) | #4 ""peelic @ c2JqQCu6sT"" (1420) | #7 ""arash @ huBdniBdCU"" (3440) | #8 ""Spenny @ cu8vqwqurV"" (980) | #9 ""Jonah @ KdrqU8EIQ1"" (1030) | #10 ""Stevo @ 5Ep7Sc0sJg"" (1450)",2022-01-14T03:02:03.079Z,164212932307901
"-- starting hand #100  (No Limit Texas Hold'em) (dealer: ""peelic @ c2JqQCu6sT"") --",2022-01-14T03:02:03.079Z,164212932307900
"""grgeeoeeg @ G4RdqDSm6Z"" shows a 10♥, 8♠.",2022-01-14T03:02:01.135Z,164212932113500
"""Stevo @ 5Ep7Sc0sJg"" shows a K♦, 6♥.",2022-01-14T03:01:59.891Z,164212931989100
"-- ending hand #99 --",2022-01-14T03:01:58.677Z,164212931867702
"""Jonah @ KdrqU8EIQ1"" collected 260 from pot",2022-01-14T03:01:58.677Z,164212931867701
"Uncalled bet of 70 returned to ""Jonah @ KdrqU8EIQ1""",2022-01-14T03:01:58.677Z,164212931867700
"""arash @ huBdniBdCU"" folds",2022-01-14T03:01:57.775Z,164212931777500
"""peelic @ c2JqQCu6sT"" folds",2022-01-14T03:01:56.867Z,164212931686700
"""Jonah @ KdrqU8EIQ1"" bets 70",2022-01-14T03:01:55.967Z,164212931596700
"""arash @ huBdniBdCU"" checks",2022-01-14T03:01:50.761Z,164212931076100
"""peelic @ c2JqQCu6sT"" checks",2022-01-14T03:01:49.234Z,164212930923400
"River: 2♥, Q♥, 9♠, 2♣ [A♣]",2022-01-14T03:01:48.076Z,164212930807600
"""arash @ huBdniBdCU"" calls 20",2022-01-14T03:01:47.114Z,164212930711400
"""peelic @ c2JqQCu6sT"" calls 20",2022-01-14T03:01:41.571Z,164212930157100
"""grgeeoeeg @ G4RdqDSm6Z"" folds",2022-01-14T03:01:39.823Z,164212929982300
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-01-14T03:01:36.764Z,164212929676400
"""Jonah @ KdrqU8EIQ1"" bets 20",2022-01-14T03:01:35.826Z,164212929582600
"""arash @ huBdniBdCU"" checks",2022-01-14T03:01:33.436Z,164212929343600
"""peelic @ c2JqQCu6sT"" checks",2022-01-14T03:01:29.360Z,164212928936000
"Turn: 2♥, Q♥, 9♠ [2♣]",2022-01-14T03:01:27.868Z,164212928786800
"""arash @ huBdniBdCU"" calls 20",2022-01-14T03:01:26.978Z,164212928697800
"""peelic @ c2JqQCu6sT"" calls 20",2022-01-14T03:01:23.343Z,164212928334300
"""grgeeoeeg @ G4RdqDSm6Z"" calls 20",2022-01-14T03:01:22.315Z,164212928231500
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-01-14T03:01:21.387Z,164212928138700
"""Jonah @ KdrqU8EIQ1"" bets 20",2022-01-14T03:01:20.025Z,164212928002500
"""arash @ huBdniBdCU"" checks",2022-01-14T03:01:16.927Z,164212927692700
"""peelic @ c2JqQCu6sT"" checks",2022-01-14T03:01:14.486Z,164212927448600
"Flop:  [2♥, Q♥, 9♠]",2022-01-14T03:01:12.584Z,164212927258400
"""arash @ huBdniBdCU"" checks",2022-01-14T03:01:11.742Z,164212927174200
"""peelic @ c2JqQCu6sT"" calls 20",2022-01-14T03:01:08.711Z,164212926871100
"""grgeeoeeg @ G4RdqDSm6Z"" calls 20",2022-01-14T03:01:07.821Z,164212926782100
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-01-14T03:01:06.904Z,164212926690400
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-01-14T03:01:05.885Z,164212926588500
"""Spenny @ cu8vqwqurV"" folds",2022-01-14T03:01:04.915Z,164212926491500
"""arash @ huBdniBdCU"" posts a big blind of 20",2022-01-14T03:01:01.181Z,164212926118109
"""peelic @ c2JqQCu6sT"" posts a small blind of 10",2022-01-14T03:01:01.181Z,164212926118108
"Your hand is K♥, 8♣",2022-01-14T03:01:01.181Z,164212926118104
"Player stacks: #1 ""grgeeoeeg @ G4RdqDSm6Z"" (720) | #4 ""peelic @ c2JqQCu6sT"" (1480) | #7 ""arash @ huBdniBdCU"" (3500) | #8 ""Spenny @ cu8vqwqurV"" (980) | #9 ""Jonah @ KdrqU8EIQ1"" (830) | #10 ""Stevo @ 5Ep7Sc0sJg"" (1490)",2022-01-14T03:01:01.181Z,164212926118101
"-- starting hand #99  (No Limit Texas Hold'em) (dealer: ""grgeeoeeg @ G4RdqDSm6Z"") --",2022-01-14T03:01:01.181Z,164212926118100
"""Spenny @ cu8vqwqurV"" shows a 7♦, K♣.",2022-01-14T03:00:59.283Z,164212925928300
"""Stevo @ 5Ep7Sc0sJg"" shows a Q♥, K♥.",2022-01-14T03:00:57.769Z,164212925776900
"-- ending hand #98 --",2022-01-14T03:00:56.770Z,164212925677002
"""peelic @ c2JqQCu6sT"" collected 260 from pot",2022-01-14T03:00:56.770Z,164212925677001
"Uncalled bet of 400 returned to ""peelic @ c2JqQCu6sT""",2022-01-14T03:00:56.770Z,164212925677000
"""Stevo @ 5Ep7Sc0sJg"" folds",2022-01-14T03:00:55.859Z,164212925585900
"""Jonah @ KdrqU8EIQ1"" folds",2022-01-14T03:00:54.820Z,164212925482000
"""Spenny @ cu8vqwqurV"" folds",2022-01-14T03:00:53.586Z,164212925358600
"""peelic @ c2JqQCu6sT"" bets 400",2022-01-14T03:00:12.101Z,164212921210100
"River: 3♣, 6♦, K♠, 2♣ [6♣]",2022-01-14T03:00:03.512Z,164212920351200
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-01-14T03:00:02.692Z,164212920269200
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-01-14T03:00:01.737Z,164212920173700
"""Spenny @ cu8vqwqurV"" calls 20",2022-01-14T03:00:00.785Z,164212920078500
"""peelic @ c2JqQCu6sT"" bets 20",2022-01-14T02:59:59.486Z,164212919948600
"Turn: 3♣, 6♦, K♠ [2♣]",2022-01-14T02:59:56.511Z,164212919651100
"""peelic @ c2JqQCu6sT"" calls 20",2022-01-14T02:59:55.671Z,164212919567100
"""grgeeoeeg @ G4RdqDSm6Z"" folds",2022-01-14T02:59:54.737Z,164212919473700
"""Stevo @ 5Ep7Sc0sJg"" calls 20",2022-01-14T02:59:53.872Z,164212919387200
"""Jonah @ KdrqU8EIQ1"" calls 20",2022-01-14T02:59:52.972Z,164212919297200
"""Spenny @ cu8vqwqurV"" bets 20",2022-01-14T02:59:51.901Z,164212919190100
"""peelic @ c2JqQCu6sT"" checks",2022-01-14T02:59:50.604Z,164212919060400
